t,topico,FL,FR,dpad_x
4.457,rodas,0.0,-0.0,
4.480,dpad,,,0.0
4.497,rodas,0.0,-0.0,
4.497,rodas,-7.0,-0.0,
4.557,rodas,-7.0,-0.0,
4.557,rodas,-18.0,-0.0,
4.557,rodas,-18.0,-0.0,
4.597,rodas,-18.0,-13.0,
4.597,rodas,-15.0,-13.0,
4.657,rodas,-15.0,-12.0,
4.657,rodas,-15.0,-12.0,
4.657,rodas,-11.0,-12.0,
4.697,rodas,-11.0,-12.0,
4.697,rodas,-11.0,-11.0,
4.757,rodas,-10.0,-11.0,
4.757,rodas,-10.0,-11.0,
4.757,rodas,-10.0,-8.0,
4.797,rodas,-10.0,-8.0,
4.797,rodas,-10.0,-8.0,
4.857,rodas,-10.0,-8.0,
4.857,rodas,-10.0,-8.0,
4.857,rodas,-6.0,-8.0,
4.897,rodas,-6.0,-6.0,
4.897,rodas,-6.0,-6.0,
4.957,rodas,-6.0,-6.0,
4.957,rodas,-6.0,-6.0,
4.957,rodas,-6.0,-6.0,
4.997,rodas,0.0,-6.0,
4.997,rodas,0.0,-0.0,
5.057,rodas,0.0,-0.0,
5.057,rodas,0.0,-0.0,
5.057,rodas,0.0,-0.0,
5.098,rodas,0.0,-0.0,
5.098,rodas,0.0,-0.0,
5.156,rodas,0.0,-0.0,
5.157,rodas,0.0,-0.0,
5.157,rodas,0.0,-0.0,
5.197,rodas,0.0,-0.0,
5.197,rodas,0.0,-0.0,
5.257,rodas,0.0,-0.0,
5.258,rodas,0.0,-0.0,
5.258,rodas,0.0,-0.0,
5.297,rodas,0.0,-0.0,
5.297,rodas,0.0,-0.0,
5.357,rodas,0.0,-0.0,
5.358,rodas,0.0,-0.0,
5.359,rodas,0.0,-0.0,
5.397,rodas,0.0,-0.0,
5.398,rodas,0.0,-0.0,
5.457,rodas,0.0,-0.0,
5.458,rodas,0.0,-0.0,
5.458,rodas,0.0,-0.0,
5.497,rodas,0.0,-0.0,
5.497,rodas,0.0,-0.0,
5.557,rodas,0.0,-0.0,
5.557,rodas,0.0,-0.0,
5.557,rodas,0.0,-0.0,
5.597,rodas,0.0,-0.0,
5.597,rodas,0.0,-0.0,
5.657,rodas,0.0,-0.0,
5.657,rodas,0.0,-0.0,
5.657,rodas,0.0,-0.0,
5.697,rodas,0.0,-0.0,
5.697,rodas,0.0,-0.0,
5.757,rodas,0.0,-0.0,
5.757,rodas,0.0,-0.0,
5.757,rodas,0.0,-0.0,
5.797,rodas,0.0,-0.0,
5.797,rodas,0.0,-0.0,
5.857,rodas,0.0,-0.0,
5.857,rodas,0.0,-0.0,
5.858,rodas,0.0,-0.0,
5.897,rodas,0.0,-0.0,
5.897,rodas,0.0,-0.0,
5.957,rodas,0.0,-0.0,
5.958,rodas,0.0,-0.0,
5.959,rodas,0.0,-0.0,
5.997,rodas,0.0,-0.0,
5.997,rodas,0.0,-0.0,
6.057,rodas,0.0,-0.0,
6.057,rodas,0.0,-0.0,
6.057,rodas,0.0,-0.0,
6.097,rodas,0.0,-0.0,
6.097,rodas,0.0,-0.0,
6.157,rodas,0.0,-0.0,
6.157,rodas,0.0,-0.0,
6.157,rodas,0.0,-0.0,
6.197,rodas,0.0,-0.0,
6.197,rodas,0.0,-0.0,
6.257,rodas,0.0,-0.0,
6.257,rodas,0.0,-0.0,
6.257,rodas,0.0,-0.0,
6.297,rodas,0.0,-0.0,
6.297,rodas,0.0,-0.0,
6.357,rodas,0.0,-0.0,
6.357,rodas,0.0,-0.0,
6.357,rodas,0.0,-0.0,
6.397,rodas,0.0,-0.0,
6.397,rodas,0.0,-0.0,
6.456,rodas,0.0,-0.0,
6.457,rodas,0.0,-0.0,
6.457,rodas,0.0,-0.0,
6.497,rodas,0.0,-0.0,
6.497,rodas,0.0,-0.0,
6.557,rodas,0.0,-0.0,
6.557,rodas,0.0,-0.0,
6.557,rodas,0.0,-0.0,
6.597,rodas,0.0,-0.0,
6.598,rodas,0.0,-0.0,
6.657,rodas,0.0,-0.0,
6.657,rodas,0.0,-0.0,
6.657,rodas,0.0,-0.0,
6.697,rodas,0.0,-0.0,
6.697,rodas,0.0,-0.0,
6.757,rodas,0.0,-0.0,
6.757,rodas,0.0,-0.0,
6.757,rodas,0.0,-0.0,
6.797,rodas,0.0,-0.0,
6.797,rodas,0.0,-0.0,
6.857,rodas,0.0,-0.0,
6.857,rodas,0.0,-0.0,
6.858,rodas,0.0,-0.0,
6.897,rodas,0.0,-0.0,
6.897,rodas,0.0,-0.0,
6.957,rodas,0.0,-0.0,
6.957,rodas,0.0,-0.0,
6.958,rodas,0.0,-0.0,
6.997,rodas,0.0,-0.0,
6.997,rodas,0.0,-0.0,
7.057,rodas,0.0,-0.0,
7.057,rodas,0.0,-0.0,
7.057,rodas,0.0,-0.0,
7.097,rodas,0.0,-0.0,
7.097,rodas,0.0,-0.0,
7.157,rodas,0.0,-0.0,
7.157,rodas,0.0,-0.0,
7.157,rodas,0.0,-0.0,
7.196,rodas,0.0,-0.0,
7.197,rodas,0.0,-0.0,
7.257,rodas,0.0,-0.0,
7.257,rodas,0.0,-0.0,
7.258,rodas,0.0,-0.0,
7.297,rodas,0.0,-0.0,
7.297,rodas,0.0,-0.0,
7.357,rodas,0.0,-0.0,
7.357,rodas,0.0,-0.0,
7.358,rodas,0.0,-0.0,
7.397,rodas,0.0,-0.0,
7.397,rodas,0.0,-0.0,
7.457,rodas,0.0,-0.0,
7.457,rodas,0.0,-0.0,
7.457,rodas,0.0,-0.0,
7.497,rodas,0.0,-0.0,
7.497,rodas,0.0,-0.0,
7.557,rodas,0.0,-0.0,
7.557,rodas,0.0,-0.0,
7.557,rodas,0.0,-0.0,
7.597,rodas,0.0,-0.0,
7.597,rodas,0.0,-0.0,
7.657,rodas,0.0,-0.0,
7.657,rodas,0.0,-0.0,
7.658,rodas,0.0,-0.0,
7.717,rodas,0.0,-0.0,
7.717,rodas,0.0,-0.0,
7.757,rodas,0.0,-0.0,
7.757,rodas,0.0,-0.0,
7.757,rodas,0.0,-0.0,
7.817,rodas,0.0,-0.0,
7.817,rodas,0.0,-0.0,
7.856,rodas,0.0,-0.0,
7.857,rodas,0.0,-0.0,
7.857,rodas,0.0,-0.0,
7.917,rodas,0.0,-0.0,
7.917,rodas,0.0,-0.0,
7.957,rodas,0.0,-0.0,
7.957,rodas,0.0,-0.0,
7.958,rodas,0.0,-0.0,
8.017,rodas,0.0,-0.0,
8.017,rodas,0.0,-0.0,
8.057,rodas,0.0,-0.0,
8.057,rodas,0.0,-0.0,
8.058,rodas,0.0,-0.0,
8.117,rodas,0.0,-0.0,
8.117,rodas,0.0,-0.0,
8.157,rodas,0.0,-0.0,
8.157,rodas,0.0,-0.0,
8.157,rodas,0.0,-0.0,
8.217,rodas,0.0,-0.0,
8.217,rodas,0.0,-0.0,
8.257,rodas,0.0,-0.0,
8.257,rodas,0.0,-0.0,
8.257,rodas,0.0,-0.0,
8.317,rodas,0.0,-0.0,
8.318,rodas,0.0,-0.0,
8.356,rodas,0.0,-0.0,
8.357,rodas,0.0,-0.0,
8.357,rodas,0.0,-0.0,
8.417,rodas,0.0,-0.0,
8.417,rodas,0.0,-0.0,
8.456,rodas,0.0,-0.0,
8.457,rodas,0.0,-0.0,
8.457,rodas,0.0,-0.0,
8.517,rodas,0.0,-0.0,
8.517,rodas,0.0,-0.0,
8.557,rodas,0.0,-0.0,
8.557,rodas,0.0,-0.0,
8.558,rodas,0.0,-0.0,
8.617,rodas,0.0,-0.0,
8.617,rodas,0.0,-0.0,
8.657,rodas,0.0,-0.0,
8.657,rodas,0.0,-0.0,
8.657,rodas,0.0,-0.0,
8.717,rodas,0.0,-0.0,
8.717,rodas,0.0,-0.0,
8.756,rodas,0.0,-0.0,
8.757,rodas,0.0,-0.0,
8.757,rodas,0.0,-0.0,
8.817,rodas,0.0,-0.0,
8.817,rodas,0.0,-0.0,
8.857,rodas,0.0,-0.0,
8.858,rodas,0.0,-0.0,
8.858,rodas,0.0,-0.0,
8.917,rodas,0.0,-0.0,
8.917,rodas,0.0,-0.0,
8.956,rodas,0.0,-0.0,
8.957,rodas,0.0,-0.0,
8.957,rodas,0.0,-0.0,
9.017,rodas,-7.0,-0.0,
9.017,rodas,-7.0,-0.0,
9.057,rodas,-18.0,14.0,
9.057,rodas,-23.0,19.0,
9.057,rodas,-25.0,19.0,
9.116,rodas,-30.0,24.0,
9.117,rodas,-32.0,25.0,
9.157,rodas,-34.0,33.0,
9.157,rodas,-32.0,28.0,
9.157,rodas,-38.0,33.0,
9.217,rodas,-35.0,35.0,
9.217,rodas,-39.0,33.0,
9.257,rodas,-38.0,41.0,
9.257,rodas,-39.0,36.0,
9.258,rodas,-39.0,41.0,
9.317,rodas,-40.0,39.0,
9.317,rodas,-40.0,39.0,
9.356,rodas,-41.0,45.0,
9.357,rodas,-41.0,39.0,
9.357,rodas,-40.0,44.0,
9.417,rodas,-40.0,43.0,
9.417,rodas,-40.0,43.0,
9.457,rodas,-35.0,43.0,
9.457,rodas,-37.0,39.0,
9.457,rodas,-37.0,42.0,
9.516,rodas,-35.0,40.0,
9.517,rodas,-34.0,39.0,
9.557,rodas,-33.0,39.0,
9.557,rodas,-26.0,37.0,
9.557,rodas,-29.0,36.0,
9.617,rodas,-29.0,35.0,
9.617,rodas,-27.0,34.0,
9.656,rodas,-25.0,33.0,
9.657,rodas,-25.0,32.0,
9.657,rodas,-19.0,32.0,
9.717,rodas,-21.0,31.0,
9.717,rodas,-21.0,31.0,
9.757,rodas,-18.0,28.0,
9.757,rodas,-18.0,30.0,
9.757,rodas,-20.0,30.0,
9.816,rodas,-22.0,30.0,
9.817,rodas,-22.0,30.0,
9.857,rodas,-28.0,36.0,
9.857,rodas,-26.0,32.0,
9.857,rodas,-31.0,36.0,
9.917,rodas,-30.0,34.0,
9.917,rodas,-29.0,34.0,
9.957,rodas,-29.0,34.0,
9.957,rodas,-26.0,34.0,
9.958,rodas,-28.0,33.0,
10.017,rodas,-23.0,33.0,
10.017,rodas,-23.0,30.0,
10.057,rodas,-25.0,31.0,
10.057,rodas,-21.0,27.0,
10.057,rodas,-21.0,27.0,
10.117,rodas,-19.0,29.0,
10.117,rodas,-19.0,24.0,
10.157,rodas,-17.0,26.0,
10.157,rodas,-17.0,26.0,
10.157,rodas,-18.0,21.0,
10.217,rodas,-18.0,21.0,
10.217,rodas,-18.0,22.0,
10.257,rodas,-13.0,22.0,
10.257,rodas,-13.0,17.0,
10.257,rodas,-16.0,20.0,
10.317,rodas,-16.0,20.0,
10.317,rodas,-17.0,20.0,
10.357,rodas,-22.0,23.0,
10.357,rodas,-22.0,23.0,
10.357,rodas,-23.0,22.0,
10.417,rodas,-25.0,28.0,
10.417,rodas,-25.0,24.0,
10.457,rodas,-22.0,24.0,
10.457,rodas,-23.0,26.0,
10.457,rodas,-23.0,26.0,
10.517,rodas,-20.0,25.0,
10.517,rodas,-20.0,25.0,
10.557,rodas,-18.0,22.0,
10.557,rodas,-18.0,24.0,
10.557,rodas,-16.0,24.0,
10.617,rodas,-16.0,19.0,
10.617,rodas,-16.0,19.0,
10.657,rodas,-16.0,20.0,
10.657,rodas,-16.0,20.0,
