t,estado,modo,x,y,rumo,rumo_alvo,rumo_geometrico,wz_real,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
15.151,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.201,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.25,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.3,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.35,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.4,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.45,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.5,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.55,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.6,seguindo,normal,2.0,5.0,0.0,-0.9532,-0.9532,0.0,-0.9532,0.5,8.6419,4.635,1.0,2.6037,4.15,-0.0
15.65,seguindo,normal,2.0027,5.0003,-0.0037,-0.9555,-0.9555,-0.0308,-0.9518,0.5,8.6391,4.635,1.0,2.6037,4.15,0.0024
15.701,seguindo,normal,2.0075,5.0009,-0.0114,-0.9596,-0.9596,-0.0951,-0.9482,0.5,8.6343,4.635,1.0,2.6037,4.15,0.0067
15.75,seguindo,normal,2.0135,5.0015,-0.0202,-0.9647,-0.9647,-0.1639,-0.9444,0.5,8.6283,4.635,1.0,2.6037,4.15,0.012
15.8,seguindo,normal,2.0199,5.0022,-0.0305,-0.9701,-0.9701,-0.2169,-0.9396,0.5,8.6219,4.635,1.0,2.6037,4.15,0.0177
15.85,seguindo,normal,2.0312,5.0034,-0.0506,-0.9799,-0.9799,-0.3063,-0.9293,0.5,8.6105,4.635,1.0,2.6037,4.15,0.0276
15.9,seguindo,normal,2.0437,5.0045,-0.0738,-0.9906,-0.9906,-0.3605,-0.9168,0.5,8.598,4.635,1.0,2.6037,4.15,0.0386
15.95,seguindo,normal,2.0521,5.0054,-0.0942,-0.998,-0.998,-0.4362,-0.9038,0.5,8.5895,4.635,1.0,2.6037,4.15,0.046
