t,x,y,yaw,dist
2.1459,2.31883,4.72209,-1.51134,8.54019
2.1666,2.31855,4.71781,-1.50459,8.54141
2.1868,2.3183,4.71353,-1.49784,8.5426
2.2079,2.31807,4.70925,-1.49109,8.54377
2.2275,2.31768,4.70502,-1.48195,8.54509
2.2469,2.31731,4.70078,-1.47263,8.54638
2.2671,2.31699,4.69655,-1.46331,8.54764
2.2869,2.3167,4.69231,-1.454,8.54887
2.3074,2.31645,4.68806,-1.44468,8.55006
2.3271,2.31613,4.68376,-1.4338,8.55134
2.348,2.31585,4.67945,-1.42287,8.55258
2.367,2.31561,4.67513,-1.41194,8.55378
2.387,2.31542,4.67081,-1.401,8.55494
2.4073,2.31528,4.66649,-1.39007,8.55605
2.4279,2.3152,4.66215,-1.37924,8.55711
2.4467,2.31518,4.6578,-1.36856,8.55812
2.4675,2.31521,4.65344,-1.3579,8.55908
2.4871,2.31528,4.64908,-1.34723,8.56
2.5075,2.3154,4.64472,-1.33656,8.56088
2.527,2.31558,4.64035,-1.32598,8.5617
2.547,2.31581,4.63598,-1.31543,8.56248
2.567,2.31608,4.63162,-1.30487,8.56322
2.5871,2.3164,4.62725,-1.29432,8.56391
2.6071,2.31677,4.62289,-1.28377,8.56456
2.6268,2.31718,4.61854,-1.27323,8.56517
2.6478,2.31764,4.61418,-1.26269,8.56573
2.6669,2.31814,4.60983,-1.25215,8.56625
2.6866,2.31869,4.60549,-1.24161,8.56672
2.7075,2.31929,4.60116,-1.23107,8.56715
2.7267,2.31995,4.59681,-1.22066,8.56753
2.7474,2.32066,4.59247,-1.21031,8.56785
2.767,2.32142,4.58813,-1.19996,8.56813
2.7868,2.32222,4.5838,-1.18961,8.56837
2.8069,2.32306,4.57948,-1.17926,8.56857
2.8268,2.32398,4.57515,-1.16905,8.56871
2.8477,2.32497,4.5708,-1.15914,8.56877
2.8718,2.32602,4.56644,-1.14937,8.56878
2.8917,2.32712,4.56209,-1.1396,8.56874
2.9118,2.32826,4.55775,-1.12982,8.56867
2.9317,2.32947,4.55341,-1.12021,8.56853
2.9517,2.33076,4.54905,-1.1109,8.56832
2.9718,2.33212,4.54468,-1.10178,8.56805
2.9919,2.33351,4.54032,-1.09266,8.56774
3.0119,2.33495,4.53598,-1.08354,8.56739
3.0316,2.33645,4.53163,-1.07458,8.56699
3.0514,2.33804,4.52726,-1.06595,8.5665
3.0717,2.3397,4.52288,-1.05759,8.56595
3.0916,2.3414,4.51851,-1.04925,8.56536
3.1122,2.34314,4.51416,-1.04092,8.56473
3.1316,2.34494,4.5098,-1.03276,8.56405
3.1536,2.34683,4.50543,-1.02494,8.56328
3.1717,2.3488,4.50104,-1.01741,8.56245
3.1917,2.3508,4.49667,-1.00992,8.56158
3.2119,2.35284,4.49231,-1.00243,8.56068
3.2317,2.35496,4.48794,-0.99526,8.5597
3.2516,2.35716,4.48355,-0.98845,8.55865
3.2717,2.35945,4.47915,-0.98199,8.55752
3.2915,2.36179,4.47474,-0.97571,8.55635
3.3121,2.36417,4.47035,-0.96943,8.55514
3.3316,2.3666,4.46596,-0.96338,8.55388
3.3519,2.36912,4.46155,-0.95771,8.55254
3.3728,2.37171,4.45713,-0.95235,8.55114
3.3931,2.37433,4.45272,-0.94702,8.54971
3.4139,2.37698,4.44832,-0.94169,8.54825
3.4328,2.3802,4.44339,-0.93791,8.54638
3.4527,2.38354,4.43844,-0.93502,8.54439
3.4735,2.38693,4.43349,-0.93226,8.54238
3.4932,2.39032,4.42855,-0.92951,8.54035
3.5136,2.39373,4.42362,-0.92675,8.5383
3.5325,2.39729,4.41882,-0.92641,8.53608
3.5527,2.40087,4.41403,-0.9262,8.53385
3.5729,2.40445,4.40924,-0.92599,8.53162
3.5927,2.40803,4.40446,-0.92578,8.52939
3.6141,2.41161,4.39967,-0.92557,8.52717
3.6331,2.41519,4.39491,-0.92561,8.52493
3.6529,2.41878,4.39015,-0.92564,8.5227
3.6729,2.42236,4.38539,-0.92568,8.52047
3.6934,2.42595,4.38064,-0.92572,8.51825
3.713,2.42953,4.37588,-0.92576,8.51603
3.7328,2.43309,4.37113,-0.92563,8.51384
3.753,2.43665,4.36638,-0.92551,8.51165
3.7731,2.44021,4.36164,-0.92539,8.50946
3.795,2.44377,4.35689,-0.92526,8.50727
3.8144,2.44733,4.35215,-0.92514,8.50509
3.834,2.45084,4.34743,-0.92465,8.50296
3.854,2.45434,4.34272,-0.92416,8.50083
3.8745,2.45785,4.33801,-0.92367,8.4987
3.8944,2.46136,4.3333,-0.92318,8.49657
3.9145,2.46488,4.32859,-0.92269,8.49444
3.9344,2.46832,4.32392,-0.92171,8.49238
3.954,2.47176,4.31925,-0.92076,8.49031
3.9741,2.47522,4.31459,-0.9198,8.48824
3.9938,2.47867,4.30993,-0.91885,8.48617
4.0159,2.48213,4.30527,-0.9179,8.48409
4.0369,2.48558,4.30062,-0.91686,8.48203
4.0564,2.48904,4.29598,-0.91582,8.47996
4.0774,2.4925,4.29134,-0.91478,8.4779
4.0967,2.49597,4.2867,-0.91374,8.47582
4.1162,2.49944,4.28207,-0.91269,8.47375
4.1364,2.50292,4.27744,-0.91167,8.47168
4.1563,2.5064,4.27281,-0.91065,8.4696
4.1773,2.50989,4.26819,-0.90963,8.46752
4.1965,2.51338,4.26357,-0.9086,8.46543
4.2166,2.51688,4.25895,-0.90758,8.46335
4.2367,2.52038,4.25433,-0.90659,8.46125
4.2561,2.52389,4.24972,-0.9056,8.45916
4.2766,2.52741,4.24511,-0.90461,8.45707
4.2966,2.53093,4.24051,-0.90362,8.45497
4.3169,2.53446,4.23591,-0.90263,8.45287
4.3376,2.53799,4.23131,-0.9017,8.45076
4.3578,2.54154,4.22671,-0.90076,8.44865
4.3777,2.54508,4.22211,-0.89983,8.44654
4.3978,2.54864,4.21752,-0.89889,8.44443
4.4178,2.55219,4.21293,-0.89795,8.44231
4.4381,2.55576,4.20834,-0.89706,8.44019
4.4578,2.55933,4.20376,-0.89617,8.43806
4.478,2.56291,4.19917,-0.89528,8.43594
4.4979,2.56648,4.19459,-0.89439,8.43381
4.5177,2.57007,4.19002,-0.89351,8.43169
4.5381,2.57366,4.18544,-0.89263,8.42955
4.5578,2.57725,4.18087,-0.89175,8.42742
4.579,2.58085,4.17631,-0.89087,8.42529
4.5978,2.58445,4.17174,-0.88999,8.42315
4.6182,2.58806,4.16718,-0.88912,8.42102
4.6384,2.59167,4.16262,-0.88824,8.41888
4.658,2.59528,4.15807,-0.88736,8.41674
4.6778,2.5989,4.15352,-0.88648,8.4146
4.6973,2.60252,4.14897,-0.88561,8.41246
4.7187,2.60614,4.14442,-0.88473,8.41032
4.7373,2.60977,4.13988,-0.88385,8.40818
4.7589,2.61341,4.13534,-0.88296,8.40603
4.7785,2.61704,4.13081,-0.88208,8.40389
4.7983,2.62068,4.12627,-0.88119,8.40174
4.8182,2.62433,4.12174,-0.88031,8.39959
4.8377,2.62797,4.11722,-0.87942,8.39745
4.8578,2.63163,4.1127,-0.87853,8.3953
4.8784,2.63528,4.10818,-0.87763,8.39315
4.8987,2.63894,4.10366,-0.87674,8.39099
4.9174,2.6426,4.09915,-0.87585,8.38884
4.9386,2.64627,4.09464,-0.87495,8.38669
4.9587,2.64994,4.09014,-0.87406,8.38453
4.9784,2.65362,4.08564,-0.87316,8.38237
4.9981,2.6573,4.08114,-0.87227,8.38021
5.0184,2.66098,4.07664,-0.87137,8.37805
5.0385,2.66467,4.07215,-0.87047,8.37589
5.0586,2.66836,4.06766,-0.86958,8.37373
5.0784,2.67205,4.06318,-0.86868,8.37157
5.098,2.67575,4.05869,-0.86778,8.3694
5.1196,2.67945,4.05422,-0.86689,8.36724
5.1395,2.68316,4.04974,-0.86599,8.36507
5.1587,2.68687,4.04527,-0.86509,8.3629
5.1787,2.69059,4.0408,-0.8642,8.36073
5.1983,2.6943,4.03633,-0.8633,8.35856
5.2189,2.69803,4.03187,-0.8624,8.35638
5.2387,2.70175,4.02741,-0.86151,8.35421
5.2583,2.70549,4.02296,-0.86061,8.35203
5.2796,2.70922,4.01851,-0.85971,8.34986
5.2988,2.71296,4.01406,-0.85882,8.34768
5.3185,2.7167,4.00961,-0.85792,8.3455
5.3383,2.72045,4.00517,-0.85703,8.34331
5.3585,2.7242,4.00073,-0.85613,8.34113
5.3788,2.72796,3.9963,-0.85524,8.33895
5.3986,2.73172,3.99186,-0.85434,8.33676
5.4192,2.73548,3.98744,-0.85345,8.33458
5.4387,2.73925,3.98301,-0.85255,8.33239
5.4594,2.74302,3.97859,-0.85166,8.3302
5.482,2.74679,3.97417,-0.85076,8.32801
5.5012,2.75057,3.96975,-0.84987,8.32581
5.5209,2.75435,3.96534,-0.84897,8.32362
5.5425,2.75814,3.96093,-0.84808,8.32143
5.5607,2.76193,3.95653,-0.84718,8.31923
5.5809,2.76573,3.95213,-0.84629,8.31703
5.6007,2.76952,3.94773,-0.84539,8.31483
5.6215,2.77333,3.94333,-0.8445,8.31263
5.6409,2.77713,3.93894,-0.84361,8.31043
5.6608,2.78094,3.93456,-0.84271,8.30823
5.6816,2.78476,3.93017,-0.84182,8.30602
5.7006,2.78858,3.92579,-0.84092,8.30382
5.7207,2.7924,3.92141,-0.84003,8.30161
5.7407,2.79658,3.91692,-0.84151,8.29911
5.7604,2.80079,3.91241,-0.84321,8.29658
5.7807,2.80499,3.9079,-0.84491,8.29407
5.8007,2.80918,3.90337,-0.84661,8.29158
5.8213,2.81337,3.89884,-0.84832,8.28909
5.8407,2.81766,3.89446,-0.85247,8.28647
5.8606,2.82193,3.89008,-0.85674,8.28386
5.881,2.82619,3.88568,-0.86102,8.28128
5.901,2.83043,3.88126,-0.86529,8.27872
5.9206,2.83465,3.87682,-0.86957,8.27619
5.9408,2.83891,3.87259,-0.87626,8.27357
5.9604,2.84314,3.86834,-0.88308,8.27097
5.9808,2.84734,3.86407,-0.8899,8.26842
6.0014,2.85152,3.85977,-0.89672,8.26591
6.0209,2.85566,3.85545,-0.90354,8.26343
6.0407,2.85989,3.85125,-0.91285,8.26084
6.0611,2.8641,3.84703,-0.92232,8.25827
6.0808,2.86828,3.84278,-0.93184,8.25575
6.101,2.87243,3.8385,-0.94139,8.25327
6.1209,2.87653,3.83419,-0.95099,8.25085
6.1407,2.88062,3.83001,-0.96236,8.2484
6.1603,2.88466,3.82581,-0.97385,8.246
6.1805,2.88867,3.82158,-0.9854,8.24366
6.2015,2.89264,3.81731,-0.99703,8.24136
6.2226,2.89657,3.81301,-1.00872,8.23912
6.2434,2.90043,3.80868,-1.02055,8.23695
6.2634,2.90425,3.80432,-1.03244,8.23483
6.283,2.90803,3.79994,-1.0444,8.23276
6.304,2.91177,3.79552,-1.05644,8.23076
6.3235,2.91546,3.79106,-1.06854,8.22881
6.3433,2.91904,3.7866,-1.08087,8.22696
6.363,2.92258,3.78211,-1.09326,8.22518
6.3833,2.92606,3.77759,-1.10572,8.22345
6.4034,2.9295,3.77304,-1.11824,8.22178
6.4231,2.93289,3.76846,-1.13084,8.22018
6.4439,2.9362,3.76386,-1.14358,8.21866
6.4633,2.93945,3.75924,-1.15638,8.2172
6.4833,2.94266,3.75458,-1.16924,8.21581
6.5036,2.94581,3.74989,-1.18217,8.21448
6.5238,2.9489,3.74518,-1.19516,8.21322
6.5438,2.95196,3.74043,-1.20816,8.212
6.5632,2.95497,3.73565,-1.22122,8.21085
6.5833,2.95792,3.73084,-1.23434,8.20976
6.6034,2.96081,3.726,-1.24751,8.20874
6.6236,2.96364,3.72114,-1.26074,8.2078
6.6435,2.96643,3.71625,-1.27398,8.2069
6.6633,2.96916,3.71133,-1.28727,8.20608
6.6832,2.97183,3.70638,-1.30061,8.20533
6.7035,2.97442,3.70141,-1.31399,8.20465
6.7233,2.97696,3.69641,-1.32742,8.20405
6.7436,2.97942,3.6913,-1.34044,8.20356
6.7634,2.9818,3.68617,-1.35344,8.20315
6.7834,2.98412,3.68101,-1.36644,8.20282
6.8036,2.98635,3.67582,-1.37944,8.20258
6.8236,2.98852,3.6706,-1.39244,8.20242
6.8432,2.99015,3.6664,-1.40348,8.20239
6.8632,2.99169,3.6623,-1.41384,8.20243
6.8831,2.99327,3.6583,-1.42558,8.20239
6.9035,2.99481,3.6543,-1.43746,8.20238
6.9239,2.9963,3.65029,-1.44934,8.20244
6.9434,2.99798,3.64508,-1.46182,8.20274
6.9633,2.99966,3.63944,-1.47526,8.20321
6.9832,3.00127,3.6338,-1.48873,8.20375
7.0031,3.0028,3.62813,-1.50219,8.20437
7.0236,3.00425,3.62244,-1.51562,8.20508
7.0439,3.0055,3.61628,-1.52725,8.20615
7.0635,3.00665,3.61005,-1.53834,8.20735
7.084,3.00772,3.60381,-1.5494,8.20863
7.1034,3.00872,3.59756,-1.56043,8.20998
7.1233,3.00965,3.59131,-1.57142,8.21141
7.1435,3.01039,3.58486,-1.58099,8.21308
7.1633,3.01106,3.57841,-1.5903,8.21483
7.1831,3.01166,3.57197,-1.59956,8.21665
7.2035,3.01219,3.56552,-1.60875,8.21852
7.2233,3.01266,3.55908,-1.61786,8.22047
7.2437,3.01323,3.55305,-1.62868,8.22217
7.2638,3.01378,3.54714,-1.63996,8.22385
7.2832,3.01428,3.54129,-1.6514,8.22557
7.3033,3.01472,3.53549,-1.66289,8.22731
7.3238,3.0151,3.52976,-1.67434,8.2291
7.3437,3.01543,3.52393,-1.68623,8.23097
7.3635,3.01568,3.51813,-1.69786,8.23291
7.3833,3.01585,3.51232,-1.70938,8.23492
7.4032,3.01595,3.50649,-1.72079,8.23703
7.4237,3.01596,3.50064,-1.73209,8.23921
7.4438,3.0158,3.49462,-1.74238,8.24163
7.4635,3.01555,3.48859,-1.75238,8.24413
7.4833,3.01523,3.48255,-1.76225,8.24671
7.5033,3.01484,3.47649,-1.77199,8.24936
7.5237,3.01437,3.47041,-1.78157,8.2521
7.5436,3.01369,3.46411,-1.78988,8.25513
7.5643,3.01292,3.45781,-1.79776,8.25823
7.5845,3.01208,3.45149,-1.80548,8.26141
7.6044,3.01118,3.44516,-1.81302,8.26466
7.6248,3.0102,3.43882,-1.82039,8.26799
7.6446,3.00916,3.43245,-1.82759,8.27138
7.6644,3.00806,3.42607,-1.8346,8.27485
7.6846,3.00688,3.41968,-1.84142,8.27839
7.7043,3.00564,3.41327,-1.84806,8.282
7.7245,3.00435,3.40685,-1.85459,8.28566
7.7446,3.003,3.40043,-1.86102,8.28938
7.7644,3.00159,3.39399,-1.86725,8.29317
7.7845,3.00012,3.38754,-1.87335,8.29702
7.8045,2.99861,3.3811,-1.87944,8.30091
7.8251,2.99706,3.37467,-1.88553,8.30483
7.8454,2.99558,3.36896,-1.88996,8.30842
7.8647,2.99412,3.36333,-1.89478,8.31195
7.8845,2.99263,3.35771,-1.89965,8.31551
7.9045,2.99112,3.3521,-1.90453,8.31909
7.9247,2.98959,3.34649,-1.9094,8.3227
7.9455,2.9878,3.34101,-1.91103,8.32649
