t,x,y,yaw,dist
2.1549,2.32289,4.90557,-1.20695,8.49776
2.1749,2.32595,4.90045,-1.21819,8.49578
2.195,2.32895,4.89531,-1.22934,8.49387
2.2154,2.33189,4.89014,-1.2405,8.49203
2.2361,2.33476,4.88494,-1.25165,8.49027
2.2549,2.33748,4.87924,-1.2607,8.48875
2.2749,2.34012,4.87348,-1.26903,8.48734
2.2957,2.34271,4.8677,-1.27729,8.48598
2.3149,2.34524,4.8619,-1.28554,8.48469
2.3355,2.34772,4.85607,-1.29375,8.48346
2.355,2.34979,4.85055,-1.29969,8.48257
2.3749,2.3518,4.84509,-1.30495,8.48174
2.3948,2.35376,4.8396,-1.31012,8.48095
2.4151,2.35569,4.83409,-1.31521,8.48021
2.4351,2.35759,4.82856,-1.32022,8.47951
2.4548,2.35925,4.82296,-1.32293,8.47905
2.4747,2.36087,4.81737,-1.32518,8.47865
2.495,2.36246,4.81175,-1.32732,8.47827
2.5153,2.36403,4.80611,-1.32933,8.47793
2.5364,2.36558,4.80046,-1.33132,8.47761
2.5548,2.36693,4.79479,-1.33086,8.4775
2.5749,2.36827,4.78912,-1.33025,8.4774
2.5952,2.36961,4.78345,-1.32964,8.4773
2.6149,2.37096,4.77778,-1.32903,8.47721
2.6352,2.37231,4.77211,-1.32842,8.47711
2.655,2.37361,4.76648,-1.32736,8.47705
2.6751,2.37493,4.76084,-1.3263,8.47699
2.6949,2.37625,4.75521,-1.32524,8.47693
2.715,2.37757,4.74958,-1.32418,8.47686
2.7351,2.3789,4.74395,-1.32311,8.47679
2.755,2.38023,4.73833,-1.32196,8.47673
2.7761,2.38156,4.73272,-1.32081,8.47666
2.7952,2.3829,4.7271,-1.31966,8.47659
2.8151,2.38425,4.72149,-1.31851,8.47652
2.836,2.3856,4.71588,-1.31735,8.47645
2.855,2.38697,4.71026,-1.31631,8.47636
2.875,2.38835,4.70463,-1.31531,8.47627
2.8956,2.38974,4.69901,-1.3143,8.47618
2.9172,2.39114,4.69338,-1.3133,8.47609
2.9373,2.39253,4.68776,-1.31229,8.47599
2.9563,2.39395,4.68213,-1.31137,8.47589
2.9762,2.39537,4.67649,-1.31045,8.47578
2.9963,2.39679,4.67086,-1.30953,8.47567
3.0169,2.39822,4.66523,-1.30862,8.47556
3.0376,2.39966,4.65961,-1.3077,8.47545
3.0566,2.4011,4.65398,-1.3068,8.47534
3.0765,2.40255,4.64835,-1.3059,8.47522
3.0965,2.404,4.64273,-1.30499,8.47511
3.1176,2.40546,4.6371,-1.30409,8.47499
3.1374,2.40692,4.63148,-1.30319,8.47487
3.1577,2.40839,4.62585,-1.30231,8.47475
3.1775,2.40987,4.62023,-1.30144,8.47462
3.1975,2.41135,4.6146,-1.30056,8.4745
3.2178,2.41284,4.60898,-1.29969,8.47438
3.2384,2.41433,4.60336,-1.29881,8.47425
3.2573,2.41582,4.59774,-1.29795,8.47412
3.2777,2.41732,4.59212,-1.29708,8.47399
3.2978,2.41883,4.58651,-1.29621,8.47386
3.3174,2.42034,4.58089,-1.29535,8.47373
3.3388,2.42186,4.57528,-1.29448,8.4736
3.3574,2.42338,4.56966,-1.2936,8.47346
3.3773,2.4249,4.56405,-1.29272,8.47333
3.3972,2.42643,4.55844,-1.29184,8.4732
3.4178,2.42796,4.55284,-1.29097,8.47306
3.4383,2.4295,4.54723,-1.29009,8.47292
