fonte,t,x,y
caminho_realizado,8.529,-0.0052,0.0011
caminho_realizado,8.629,-0.0053,0.0011
caminho_realizado,8.731,-0.0053,0.0011
caminho_realizado,8.832,-0.0054,0.0011
caminho_realizado,9.23,-0.0056,0.0011
caminho_realizado,9.264,-0.0057,0.0011
caminho_realizado,9.283,-0.0057,0.0011
caminho_realizado,9.297,-0.0057,0.0011
caminho_realizado,9.395,-0.0057,0.0012
caminho_realizado,9.495,-0.0058,0.0012
caminho_realizado,9.595,-0.0059,0.0012
caminho_realizado,9.699,-0.0059,0.0012
caminho_realizado,9.799,-0.006,0.0012
caminho_realizado,9.899,-0.0061,0.0012
caminho_realizado,9.999,-0.0061,0.0012
caminho_realizado,10.099,-0.0062,0.0012
caminho_realizado,10.199,-0.0062,0.0013
caminho_realizado,10.299,-0.0063,0.0013
caminho_realizado,10.399,-0.0064,0.0013
caminho_realizado,10.5,-0.0064,0.0013
caminho_realizado,10.6,-0.0065,0.0013
caminho_realizado,10.71,-0.0065,0.0013
caminho_realizado,10.81,-0.0066,0.0013
caminho_realizado,10.909,-0.0067,0.0013
caminho_realizado,11.009,-0.0067,0.0014
caminho_realizado,11.109,-0.0068,0.0014
caminho_realizado,11.209,-0.0069,0.0014
caminho_realizado,11.311,-0.0069,0.0014
caminho_realizado,11.412,-0.007,0.0014
caminho_realizado,11.511,-0.007,0.0014
caminho_realizado,11.611,-0.0071,0.0014
caminho_realizado,11.722,-0.0072,0.0014
caminho_realizado,11.824,-0.0072,0.0015
caminho_realizado,11.929,-0.0073,0.0015
caminho_realizado,12.031,-0.0074,0.0015
caminho_realizado,12.131,-0.0074,0.0015
caminho_realizado,12.231,-0.0075,0.0015
caminho_realizado,12.332,-0.0075,0.0015
caminho_realizado,12.432,-0.0076,0.0015
caminho_realizado,12.533,-0.0077,0.0016
caminho_realizado,12.634,-0.0077,0.0016
caminho_realizado,12.734,-0.0078,0.0016
caminho_realizado,12.834,-0.0078,0.0016
caminho_realizado,12.934,-0.0079,0.0016
caminho_realizado,13.036,-0.008,0.0016
caminho_realizado,13.138,-0.008,0.0016
caminho_realizado,13.238,-0.0081,0.0016
caminho_realizado,13.344,-0.0082,0.0017
caminho_realizado,13.444,-0.0082,0.0017
caminho_realizado,13.544,-0.0083,0.0017
caminho_realizado,13.647,-0.0083,0.0017
caminho_realizado,13.746,-0.0084,0.0017
caminho_realizado,13.847,-0.0085,0.0017
caminho_realizado,13.948,-0.0085,0.0017
caminho_realizado,14.049,-0.0086,0.0017
caminho_realizado,14.148,-0.0086,0.0017
caminho_realizado,14.249,-0.0087,0.0018
caminho_realizado,14.358,-0.0088,0.0018
caminho_realizado,14.457,-0.0088,0.0018
caminho_realizado,14.559,-0.0089,0.0018
caminho_realizado,14.66,-0.009,0.0018
caminho_realizado,14.761,-0.009,0.0018
caminho_realizado,14.861,-0.0091,0.0018
caminho_realizado,14.961,-0.0091,0.0019
caminho_realizado,15.062,-0.0092,0.0019
caminho_realizado,15.163,-0.0093,0.0019
caminho_realizado,15.283,-0.0066,0.0022
caminho_realizado,15.384,0.004,0.0035
caminho_realizado,15.486,0.0171,0.005
caminho_realizado,15.586,0.0281,0.0061
caminho_realizado,15.686,0.0477,0.0076
caminho_realizado,15.788,0.0751,0.0081
caminho_realizado,15.887,0.107,0.0062
caminho_realizado,15.987,0.1382,0.002
caminho_realizado,16.087,0.168,-0.0037
caminho_realizado,16.191,0.1942,-0.0102
caminho_realizado,16.294,0.2186,-0.017
caminho_realizado,16.393,0.242,-0.0237
caminho_realizado,16.494,0.2653,-0.0299
caminho_realizado,16.595,0.2887,-0.0352
caminho_realizado,16.694,0.3125,-0.0396
caminho_realizado,16.796,0.3366,-0.0429
caminho_realizado,16.896,0.3611,-0.0452
caminho_realizado,16.998,0.3833,-0.0465
caminho_realizado,17.098,0.4032,-0.0471
caminho_realizado,17.199,0.429,-0.0472
caminho_realizado,17.298,0.4554,-0.0461
caminho_realizado,17.4,0.4843,-0.0431
caminho_realizado,17.502,0.517,-0.0377
caminho_realizado,17.602,0.5492,-0.0313
caminho_realizado,17.703,0.5811,-0.0244
caminho_realizado,17.806,0.6128,-0.0181
caminho_realizado,17.906,0.6442,-0.0135
caminho_realizado,18.006,0.676,-0.0101
caminho_realizado,18.106,0.7082,-0.0077
caminho_realizado,18.205,0.7406,-0.0064
caminho_realizado,18.306,0.7729,-0.0061
caminho_realizado,18.406,0.8028,-0.007
caminho_realizado,18.506,0.8292,-0.0091
caminho_realizado,18.606,0.8542,-0.0121
caminho_realizado,18.706,0.8792,-0.016
caminho_realizado,18.806,0.904,-0.0197
caminho_realizado,18.906,0.9288,-0.0227
caminho_realizado,19.007,0.9539,-0.0247
caminho_realizado,19.106,0.9794,-0.0259
caminho_realizado,19.209,1.0052,-0.0262
caminho_realizado,19.309,1.0315,-0.0256
caminho_realizado,19.409,1.059,-0.0238
caminho_realizado,19.509,1.0879,-0.0208
caminho_realizado,19.609,1.1172,-0.0173
caminho_realizado,19.709,1.1473,-0.0135
caminho_realizado,19.809,1.1781,-0.01
caminho_realizado,19.909,1.2093,-0.007
caminho_realizado,20.01,1.2406,-0.0047
caminho_realizado,20.11,1.2719,-0.0032
caminho_realizado,20.211,1.3029,-0.0026
caminho_realizado,20.311,1.3337,-0.0028
caminho_realizado,20.411,1.3645,-0.0034
caminho_realizado,20.514,1.3971,-0.0031
caminho_realizado,20.614,1.431,-0.0029
caminho_realizado,20.714,1.4645,-0.0037
caminho_realizado,20.814,1.4977,-0.0052
caminho_realizado,20.915,1.5306,-0.0075
caminho_realizado,21.016,1.5627,-0.0106
caminho_realizado,21.116,1.5931,-0.0145
caminho_realizado,21.217,1.6215,-0.0189
caminho_realizado,21.317,1.6489,-0.0234
caminho_realizado,21.418,1.6748,-0.0281
caminho_realizado,21.517,1.7003,-0.0323
caminho_realizado,21.617,1.7258,-0.0358
caminho_realizado,21.718,1.7514,-0.0386
caminho_realizado,21.818,1.7773,-0.0407
caminho_realizado,21.919,1.8036,-0.0419
caminho_realizado,22.021,1.8302,-0.0424
caminho_realizado,22.126,1.8581,-0.0417
caminho_realizado,22.225,1.8876,-0.0399
caminho_realizado,22.325,1.9169,-0.038
caminho_realizado,22.425,1.9468,-0.0367
caminho_realizado,22.525,1.9784,-0.0348
caminho_realizado,22.627,2.008,-0.0338
caminho_realizado,22.731,2.0353,-0.0341
caminho_realizado,22.832,2.0638,-0.0347
caminho_realizado,22.933,2.0922,-0.0354
caminho_realizado,23.035,2.1205,-0.0361
caminho_realizado,23.136,2.149,-0.0367
caminho_realizado,23.236,2.1775,-0.0366
caminho_realizado,23.336,2.2051,-0.0343
caminho_realizado,23.436,2.2327,-0.0316
caminho_realizado,23.537,2.2611,-0.0281
caminho_realizado,23.638,2.29,-0.0242
caminho_realizado,23.739,2.3182,-0.0203
caminho_realizado,23.839,2.348,-0.0154
caminho_realizado,23.94,2.3781,-0.0103
caminho_realizado,24.047,2.4082,-0.0053
caminho_realizado,24.156,2.4391,-0.0005
caminho_realizado,24.256,2.4728,0.0024
caminho_realizado,24.356,2.5064,0.0048
caminho_realizado,24.459,2.5399,0.0065
caminho_realizado,24.557,2.5732,0.0076
caminho_realizado,24.657,2.605,0.0078
caminho_realizado,24.757,2.635,0.0072
caminho_realizado,24.857,2.665,0.0064
caminho_realizado,24.957,2.6951,0.0058
caminho_realizado,25.058,2.725,0.0051
caminho_realizado,25.158,2.7511,0.0026
caminho_realizado,25.265,2.7738,-0.0001
caminho_realizado,25.364,2.7986,-0.0038
caminho_realizado,25.464,2.8219,-0.0082
caminho_realizado,25.564,2.8453,-0.0128
caminho_realizado,25.665,2.8686,-0.0167
caminho_realizado,25.765,2.8914,-0.0203
caminho_realizado,25.866,2.913,-0.0238
caminho_realizado,25.981,2.9351,-0.0259
caminho_realizado,26.083,2.9604,-0.0226
caminho_realizado,26.185,2.9854,-0.018
caminho_realizado,26.287,3.0103,-0.0117
caminho_realizado,26.386,3.0347,-0.0043
caminho_realizado,26.491,3.0577,0.003
caminho_realizado,26.591,3.0803,0.0117
caminho_realizado,26.693,3.1027,0.0218
caminho_realizado,26.793,3.1251,0.0337
caminho_realizado,26.895,3.1475,0.0477
caminho_realizado,26.995,3.1694,0.0627
caminho_realizado,27.095,3.1898,0.0774
caminho_realizado,27.196,3.2098,0.0935
caminho_realizado,27.295,3.2293,0.1107
caminho_realizado,27.395,3.2488,0.1298
caminho_realizado,27.496,3.2685,0.1507
caminho_realizado,27.598,3.2858,0.1694
caminho_realizado,27.698,3.3014,0.1868
caminho_realizado,27.799,3.3207,0.2094
caminho_realizado,27.899,3.3412,0.2328
caminho_realizado,28.0,3.362,0.2562
caminho_realizado,28.101,3.3833,0.2796
caminho_realizado,28.202,3.4048,0.3023
caminho_realizado,28.304,3.4261,0.323
caminho_realizado,28.403,3.448,0.3418
caminho_realizado,28.503,3.47,0.3604
caminho_realizado,28.603,3.4915,0.3783
caminho_realizado,28.703,3.5123,0.3951
caminho_realizado,28.803,3.5325,0.4117
caminho_realizado,28.905,3.552,0.4278
caminho_realizado,29.005,3.5709,0.4446
caminho_realizado,29.105,3.5894,0.4621
caminho_realizado,29.205,3.6075,0.4804
caminho_realizado,29.304,3.625,0.4996
caminho_realizado,29.406,3.641,0.5199
caminho_realizado,29.507,3.6566,0.5422
caminho_realizado,29.607,3.6721,0.5673
caminho_realizado,29.708,3.6878,0.5943
caminho_realizado,29.808,3.7037,0.6223
caminho_realizado,29.908,3.7195,0.6491
caminho_realizado,30.008,3.7347,0.6728
caminho_realizado,30.108,3.7507,0.6956
caminho_realizado,30.208,3.7667,0.7182
caminho_realizado,30.308,3.7823,0.7409
caminho_realizado,30.408,3.7975,0.7642
caminho_realizado,30.508,3.8125,0.7884
caminho_realizado,30.608,3.8276,0.812
caminho_realizado,30.708,3.8426,0.8342
caminho_realizado,30.808,3.8571,0.8548
caminho_realizado,30.908,3.8706,0.8728
caminho_realizado,31.008,3.8842,0.8906
caminho_realizado,31.109,3.8973,0.9085
caminho_realizado,31.212,3.9097,0.9269
caminho_realizado,31.312,3.9215,0.9459
caminho_realizado,31.412,3.9326,0.9655
caminho_realizado,31.513,3.9433,0.9861
caminho_realizado,31.614,3.9542,1.0099
caminho_realizado,31.714,3.9641,1.0351
caminho_realizado,31.814,3.973,1.0622
caminho_realizado,31.914,3.9812,1.0921
caminho_realizado,32.014,3.989,1.1242
caminho_realizado,32.115,3.9964,1.1565
caminho_realizado,32.215,4.0041,1.1884
caminho_realizado,32.316,4.0122,1.2199
caminho_realizado,32.418,4.0209,1.2508
caminho_realizado,32.518,4.031,1.2814
caminho_realizado,32.618,4.0421,1.3115
caminho_realizado,32.72,4.0543,1.3412
caminho_realizado,32.826,4.0675,1.3705
caminho_realizado,32.926,4.0817,1.3993
caminho_realizado,33.026,4.0974,1.4278
caminho_realizado,33.127,4.1147,1.456
caminho_realizado,33.229,4.1328,1.4832
caminho_realizado,33.329,4.1519,1.5098
caminho_realizado,33.431,4.1731,1.5363
caminho_realizado,33.531,4.195,1.5623
caminho_realizado,33.631,4.2155,1.5854
caminho_realizado,33.731,4.2312,1.6018
caminho_realizado,33.831,4.2417,1.612
caminho_realizado,33.932,4.2465,1.6166
caminho_realizado,34.032,4.2456,1.6157
caminho_realizado,34.132,4.2388,1.6094
caminho_realizado,34.232,4.2262,1.5975
caminho_realizado,34.332,4.2112,1.5835
caminho_realizado,34.432,4.1998,1.5727
caminho_realizado,34.532,4.1926,1.5658
caminho_realizado,34.632,4.1895,1.5627
caminho_realizado,34.732,4.1893,1.5623
caminho_realizado,34.832,4.1896,1.5623
caminho_realizado,34.933,4.1899,1.5623
caminho_realizado,35.035,4.1903,1.5623
caminho_realizado,35.135,4.1906,1.5623
caminho_realizado,35.236,4.1909,1.5623
caminho_realizado,35.339,4.1912,1.5623
caminho_realizado,35.438,4.1915,1.5623
caminho_realizado,35.538,4.1918,1.5623
caminho_realizado,35.64,4.1921,1.5623
caminho_realizado,35.742,4.1925,1.5622
caminho_realizado,35.841,4.1928,1.5622
caminho_realizado,35.947,4.1931,1.5622
caminho_realizado,36.048,4.1934,1.5622
caminho_realizado,36.149,4.1937,1.5622
caminho_realizado,36.249,4.194,1.5622
caminho_realizado,36.35,4.1943,1.5622
caminho_realizado,36.449,4.1947,1.5622
caminho_realizado,36.555,4.195,1.5622
caminho_realizado,36.662,4.1953,1.5622
caminho_realizado,36.762,4.1956,1.5622
caminho_realizado,36.862,4.1959,1.5622
caminho_realizado,36.962,4.1962,1.5622
caminho_realizado,37.061,4.1966,1.5622
caminho_realizado,37.165,4.1969,1.5622
caminho_realizado,37.265,4.1972,1.5622
caminho_realizado,37.366,4.1975,1.5622
caminho_realizado,37.467,4.1978,1.5622
caminho_realizado,37.568,4.1981,1.5622
caminho_realizado,37.67,4.1984,1.5622
caminho_realizado,37.769,4.1988,1.5621
caminho_realizado,37.869,4.1991,1.5621
caminho_realizado,37.971,4.1994,1.5621
caminho_realizado,38.071,4.1997,1.5621
caminho_realizado,38.17,4.1977,1.5601
caminho_realizado,38.27,4.1897,1.5527
caminho_realizado,38.372,4.1758,1.5399
caminho_realizado,38.472,4.1566,1.5224
caminho_realizado,38.575,4.1352,1.5027
caminho_realizado,38.674,4.1137,1.4831
caminho_realizado,38.777,4.092,1.463
caminho_realizado,38.876,4.0706,1.4428
caminho_realizado,38.977,4.0493,1.4227
caminho_realizado,39.077,4.028,1.4025
caminho_realizado,39.177,4.0067,1.3822
caminho_realizado,39.277,3.9873,1.3641
caminho_realizado,39.377,3.9734,1.3518
caminho_realizado,39.477,3.9659,1.3445
caminho_realizado,39.577,3.9644,1.3424
caminho_realizado,39.677,3.9688,1.3457
caminho_realizado,39.779,3.9788,1.3546
caminho_realizado,39.88,3.9941,1.3696
caminho_realizado,39.983,4.0134,1.3887
caminho_realizado,40.085,4.0344,1.409
caminho_realizado,40.185,4.0584,1.4298
caminho_realizado,40.285,4.0839,1.4497
caminho_realizado,40.385,4.1091,1.4673
caminho_realizado,40.488,4.1326,1.4822
caminho_realizado,40.588,4.1528,1.4946
caminho_realizado,40.688,4.1712,1.506
caminho_realizado,40.788,4.195,1.5209
caminho_realizado,40.888,4.2199,1.5376
caminho_realizado,40.988,4.2452,1.5551
caminho_realizado,41.088,4.2719,1.574
caminho_realizado,41.188,4.2979,1.5917
caminho_realizado,41.288,4.3207,1.606
caminho_realizado,41.392,4.3367,1.6157
caminho_realizado,41.493,4.346,1.6212
caminho_realizado,41.593,4.3492,1.6237
caminho_realizado,41.693,4.3455,1.622
caminho_realizado,41.795,4.335,1.6162
caminho_realizado,41.897,4.3181,1.6067
caminho_realizado,41.998,4.2998,1.5962
caminho_realizado,42.1,4.2861,1.5885
caminho_realizado,42.202,4.2774,1.5838
caminho_realizado,42.302,4.2733,1.5817
caminho_realizado,42.404,4.2729,1.5817
caminho_realizado,42.526,4.2735,1.5822
caminho_realizado,42.627,4.2739,1.5827
caminho_realizado,42.726,4.2744,1.5832
caminho_realizado,42.828,4.2749,1.5837
caminho_realizado,42.928,4.2753,1.5842
caminho_realizado,43.028,4.2758,1.5846
caminho_realizado,43.128,4.2762,1.5851
caminho_realizado,43.228,4.2767,1.5856
