t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
43.1,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.15,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.2,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.25,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.3,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.35,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.4,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.45,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.5,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.55,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.6,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,8.7455,15887.5068,1.0,1.011,-0.044,0.044
43.65,seguindo,0.0027,0.0003,-0.0037,-0.0439,-0.0402,0.5,8.7433,15887.5068,1.0,1.011,-0.044,0.0443
43.7,seguindo,0.0059,0.0007,-0.0088,-0.0444,-0.0357,0.5,8.7408,15887.5068,1.0,1.011,-0.044,0.0447
43.75,seguindo,0.0134,0.0015,-0.02,-0.0456,-0.0255,0.5,8.7348,15887.5068,1.0,1.011,-0.044,0.0455
43.8,seguindo,0.0198,0.0022,-0.0302,-0.0465,-0.0163,0.5,8.7298,15887.5068,1.0,1.011,-0.044,0.0462
43.85,seguindo,0.0321,0.003,-0.046,-0.0479,-0.002,0.5,8.7204,15887.5068,1.0,1.011,-0.044,0.047
43.9,seguindo,0.0417,0.0033,-0.0562,-0.0464,0.0098,0.5,8.7133,8777.3191,1.0,1.061,-0.044,0.0473
43.95,seguindo,0.0588,0.0035,-0.0721,-0.0473,0.0248,0.5,8.701,8777.3191,1.0,1.061,-0.044,0.0475
44.0,seguindo,0.0716,0.0033,-0.0823,-0.0478,0.0345,0.5,8.692,8777.3191,1.0,1.061,-0.044,0.0473
44.05,seguindo,0.0913,0.0028,-0.0972,-0.0458,0.0513,0.5,8.6784,4890.1563,1.0,1.111,-0.044,0.0468
44.1,seguindo,0.1046,0.0021,-0.1062,-0.0458,0.0604,0.5,8.6694,4890.1563,1.0,1.111,-0.044,0.0461
44.151,seguindo,0.1241,0.0008,-0.1171,-0.0454,0.0717,0.5,8.6564,4890.1563,1.0,1.111,-0.044,0.0448
44.2,seguindo,0.137,-0.0002,-0.1231,-0.0428,0.0804,0.5,8.6481,2749.4918,1.0,1.161,-0.044,0.0438
44.25,seguindo,0.1556,-0.0021,-0.1296,-0.0417,0.0879,0.5,8.6362,2749.4918,1.0,1.161,-0.044,0.0419
44.3,seguindo,0.1679,-0.0034,-0.1327,-0.0409,0.0918,0.5,8.6285,2749.4918,1.0,1.161,-0.044,0.0406
