t_wall,topic,vx,wz,px,py,extra
1787273173.257,odom,0.0000,0.0000,6.140,10.000,
1787273173.277,odom,0.0000,0.0000,6.140,10.000,
1787273173.297,odom,0.0000,0.0000,6.140,10.000,
1787273173.299,/auto_vel_raw,0.0000,0.0000,,,
1787273173.321,odom,0.0000,0.0000,6.140,10.000,
1787273173.339,odom,0.0000,0.0000,6.140,10.000,
1787273173.349,/auto_vel_raw,0.0000,0.0000,,,
1787273173.358,odom,0.0000,0.0000,6.140,10.000,
1787273173.378,odom,0.0000,0.0000,6.140,10.000,
1787273173.399,/auto_vel_raw,0.0000,0.0000,,,
1787273173.400,odom,0.0000,0.0000,6.140,10.000,
1787273173.419,odom,0.0000,0.0000,6.140,10.000,
1787273173.439,odom,0.0000,0.0000,6.140,10.000,
1787273173.449,/auto_vel_raw,0.0000,0.0000,,,
1787273173.459,odom,0.0000,0.0000,6.140,10.000,
1787273173.478,odom,0.0000,0.0000,6.140,10.000,
1787273173.499,/auto_vel_raw,0.0000,0.0000,,,
1787273173.500,odom,0.0000,0.0000,6.140,10.000,
1787273173.519,odom,0.0000,0.0000,6.140,10.000,
1787273173.540,odom,0.0000,0.0000,6.140,10.000,
1787273173.551,/auto_vel_raw,0.0000,0.0000,,,
1787273173.560,odom,0.0000,0.0000,6.140,10.000,
1787273173.581,odom,0.0000,0.0000,6.140,10.000,
1787273173.604,odom,0.0000,0.0000,6.140,10.000,
1787273173.605,/auto_vel_raw,0.0000,0.0000,,,
1787273173.633,odom,0.0000,0.0000,6.140,10.000,
1787273173.657,odom,0.0000,0.0000,6.140,10.000,
1787273173.666,/auto_vel_raw,0.0000,0.0000,,,
1787273173.677,odom,0.0000,0.0000,6.140,10.000,
1787273173.697,odom,0.0000,0.0000,6.140,10.000,
1787273173.719,/auto_vel_raw,0.0000,0.0000,,,
1787273173.720,odom,0.0000,0.0000,6.140,10.000,
1787273173.737,odom,0.0000,0.0000,6.140,10.000,
1787273173.758,odom,0.0000,0.0000,6.140,10.000,
1787273173.769,/auto_vel_raw,0.0000,0.0000,,,
1787273173.782,odom,0.0000,0.0000,6.140,10.000,
1787273173.792,/auto_vel,0.0000,0.0000,,,
1787273173.793,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273173.794,/cmd_vel_bruto,0.0000,0.0000,,,
1787273173.795,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273173.802,odom,0.0000,0.0000,6.140,10.000,
1787273173.822,/auto_vel_raw,0.0000,0.0000,,,
1787273173.822,odom,0.0000,0.0000,6.140,10.000,
1787273173.842,odom,0.0000,0.0000,6.140,10.000,
1787273173.845,/auto_vel,0.0000,0.0000,,,
1787273173.847,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273173.847,/cmd_vel_bruto,0.0000,0.0000,,,
1787273173.848,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273173.863,odom,0.0000,0.0000,6.140,10.000,
1787273173.874,/auto_vel_raw,0.0000,0.0000,,,
1787273173.883,odom,0.0000,0.0000,6.140,10.000,
1787273173.886,/auto_vel,0.0000,0.0000,,,
1787273173.887,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273173.888,/cmd_vel_bruto,0.0000,0.0000,,,
1787273173.889,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273173.903,odom,0.0000,0.0000,6.140,10.000,
1787273173.923,odom,0.0000,0.0000,6.140,10.000,
1787273173.924,/auto_vel_raw,0.0000,0.0000,,,
1787273173.944,odom,0.0000,0.0000,6.140,10.000,
1787273173.946,/auto_vel,0.0000,0.0000,,,
1787273173.946,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273173.948,/cmd_vel_bruto,0.0000,0.0000,,,
1787273173.949,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273173.964,odom,0.0000,0.0000,6.140,10.000,
1787273173.975,/auto_vel_raw,0.0000,0.0000,,,
1787273173.988,odom,0.0000,0.0000,6.140,10.000,
1787273173.997,/auto_vel,0.0000,0.0000,,,
1787273173.997,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273173.999,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273173.999,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.008,odom,0.0000,0.0000,6.140,10.000,
1787273174.027,odom,0.0000,0.0000,6.140,10.000,
1787273174.029,/auto_vel_raw,0.0000,0.0000,,,
1787273174.048,odom,0.0000,0.0000,6.140,10.000,
1787273174.061,/auto_vel,0.0000,0.0000,,,
1787273174.062,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.063,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.064,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.072,odom,0.0000,0.0000,6.140,10.000,
1787273174.082,/auto_vel_raw,0.0000,0.0000,,,
1787273174.091,odom,0.0000,0.0000,6.140,10.000,
1787273174.094,/auto_vel,0.0000,0.0000,,,
1787273174.094,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.095,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.095,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.112,odom,0.0000,0.0000,6.140,10.000,
1787273174.131,/auto_vel_raw,0.0000,0.0000,,,
1787273174.132,odom,0.0000,0.0000,6.140,10.000,
1787273174.152,odom,0.0000,0.0000,6.140,10.000,
1787273174.154,/auto_vel,0.0000,0.0000,,,
1787273174.154,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.156,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.156,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.171,odom,0.0000,0.0000,6.140,10.000,
1787273174.191,odom,0.0000,0.0000,6.140,10.000,
1787273174.211,odom,0.0000,0.0000,6.140,10.000,
1787273174.232,odom,0.0000,0.0000,6.140,10.000,
1787273174.251,odom,0.0000,0.0000,6.140,10.000,
1787273174.271,odom,0.0000,0.0000,6.140,10.000,
1787273174.291,odom,0.0000,0.0000,6.140,10.000,
1787273174.312,odom,0.0000,0.0000,6.140,10.000,
1787273174.331,odom,0.0000,0.0000,6.140,10.000,
1787273174.355,odom,0.0000,0.0000,6.140,10.000,
1787273174.374,odom,0.0000,0.0000,6.140,10.000,
1787273174.394,odom,0.0000,0.0000,6.140,10.000,
1787273174.414,odom,0.0000,0.0000,6.140,10.000,
1787273174.434,odom,0.0000,0.0000,6.140,10.000,
1787273174.455,odom,0.0000,0.0000,6.140,10.000,
1787273174.474,odom,0.0000,0.0000,6.140,10.000,
1787273174.494,odom,0.0000,0.0000,6.140,10.000,
1787273174.513,/auto_vel_raw,0.0000,0.0000,,,
1787273174.515,odom,0.0000,0.0000,6.140,10.000,
1787273174.519,/auto_vel_raw,0.0000,0.0000,,,
1787273174.521,/auto_vel_raw,0.0000,0.0000,,,
1787273174.526,/auto_vel,0.0000,0.0000,,,
1787273174.528,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.529,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.530,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.536,odom,0.0000,0.0000,6.140,10.000,
1787273174.538,/auto_vel_raw,0.0000,0.0000,,,
1787273174.539,/auto_vel,0.0000,0.0000,,,
1787273174.539,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.540,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.541,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.558,odom,0.0000,0.0000,6.140,10.000,
1787273174.569,/auto_vel,0.0000,0.0000,,,
1787273174.570,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.571,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.571,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.577,odom,0.0000,0.0000,6.140,10.000,
1787273174.587,/auto_vel_raw,0.0000,0.0000,,,
1787273174.597,odom,0.0000,0.0000,6.140,10.000,
1787273174.600,/auto_vel,0.0000,0.0000,,,
1787273174.600,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.601,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.601,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.618,odom,0.0000,0.0000,6.140,10.000,
1787273174.637,odom,0.0000,0.0000,6.140,10.000,
1787273174.639,/auto_vel_raw,0.0000,0.0000,,,
1787273174.659,odom,0.0000,0.0000,6.140,10.000,
1787273174.672,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.673,/auto_vel,0.0000,0.0000,,,
1787273174.674,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.674,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.679,odom,0.0000,0.0000,6.140,10.000,
1787273174.689,/auto_vel_raw,0.0000,0.0000,,,
1787273174.699,odom,0.0000,0.0000,6.140,10.000,
1787273174.701,/auto_vel,0.0000,0.0000,,,
1787273174.701,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.702,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.703,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.718,odom,0.0000,0.0000,6.140,10.000,
1787273174.739,/auto_vel_raw,0.0000,0.0000,,,
1787273174.740,odom,0.0000,0.0000,6.140,10.000,
1787273174.759,odom,0.0000,0.0000,6.140,10.000,
1787273174.762,/auto_vel,0.0000,0.0000,,,
1787273174.762,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.764,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.765,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.781,odom,0.0000,0.0000,6.140,10.000,
1787273174.792,/auto_vel_raw,0.0000,0.0000,,,
1787273174.800,odom,0.0000,0.0000,6.140,10.000,
1787273174.803,/auto_vel,0.0000,0.0000,,,
1787273174.804,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.804,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.806,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.820,odom,0.0000,0.0000,6.140,10.000,
1787273174.841,odom,0.0000,0.0000,6.140,10.000,
1787273174.842,/auto_vel_raw,0.0000,0.0000,,,
1787273174.863,odom,0.0000,0.0000,6.140,10.000,
1787273174.865,/auto_vel,0.0000,0.0000,,,
1787273174.869,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.869,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.870,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.884,odom,0.0000,0.0000,6.140,10.000,
1787273174.895,/auto_vel_raw,0.0000,0.0000,,,
1787273174.903,odom,0.0000,0.0000,6.140,10.000,
1787273174.907,/auto_vel,0.0000,0.0000,,,
1787273174.908,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.909,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.909,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.924,odom,0.0000,0.0000,6.140,10.000,
1787273174.945,/auto_vel_raw,0.0000,0.0000,,,
1787273174.945,odom,0.0000,0.0000,6.140,10.000,
1787273174.966,odom,0.0000,0.0000,6.140,10.000,
1787273174.967,/auto_vel,0.0000,0.0000,,,
1787273174.967,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273174.969,/cmd_vel_bruto,0.0000,0.0000,,,
1787273174.970,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273174.987,odom,0.0000,0.0000,6.140,10.000,
1787273174.997,/auto_vel_raw,0.0000,0.0000,,,
1787273175.006,odom,0.0000,0.0000,6.140,10.000,
1787273175.009,/auto_vel,0.0000,0.0000,,,
1787273175.010,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273175.011,/cmd_vel_bruto,0.0000,0.0000,,,
1787273175.012,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273175.027,odom,0.0000,0.0000,6.140,10.000,
1787273175.049,odom,0.0000,0.0000,6.140,10.000,
1787273175.050,/auto_vel_raw,0.0000,0.0000,,,
1787273175.071,odom,0.0000,0.0000,6.140,10.000,
1787273175.082,/auto_vel,0.0000,0.0000,,,
1787273175.083,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787273175.084,/cmd_vel_bruto,0.0000,0.0000,,,
1787273175.085,/hoverboard_base_controller/cmd_vel,0.0000,0.0000,,,
1787273175.088,odom,0.0000,0.0000,6.140,10.000,
1787273175.099,/auto_vel_raw,0.0000,0.0000,,,
1787273175.108,odom,0.0000,0.0000,6.140,10.000,
1787273175.112,/auto_vel,0.0000,0.0000,,,
