i,angulo,alcance,x,y,ate_parede
0,-3.1416,1.303,-7.798,-2.503,0.25
1,-3.1241,1.295,-7.79,-2.526,0.25
2,-3.1067,1.301,-7.796,-2.549,0.25
3,-3.0892,1.294,-7.787,-2.571,0.2
4,-3.0718,1.3,-7.792,-2.594,0.2
5,-3.0543,1.289,-7.78,-2.615,0.15
6,-3.0369,1.302,-7.79,-2.639,0.15
7,-3.0194,1.312,-7.797,-2.663,0.1
8,-3.002,1.312,-7.795,-2.686,0.1
9,-2.9845,1.3,-7.779,-2.706,0.05
10,-2.9671,1.272,-7.748,-2.724,0.05
11,-2.9496,1.246,-7.718,-2.741,0.05
12,-2.9322,1.256,-7.723,-2.764,0.0
13,-2.9147,1.199,-7.663,-2.773,0.0
14,-2.8972,1.212,-7.671,-2.796,0.0
15,-2.8798,1.185,-7.639,-2.809,0.0
16,-2.8623,1.161,-7.61,-2.823,0.0
17,-2.8449,1.148,-7.592,-2.838,0.0
18,-2.8274,1.052,-7.495,-2.827,0.0
19,-2.81,0.949,-7.392,-2.811,0.0
20,-2.7925,0.95,-7.387,-2.827,0.0
21,-2.7751,0.946,-7.378,-2.841,0.0
22,-2.7576,1.001,-7.423,-2.877,0.0
23,-2.7402,1.008,-7.422,-2.896,0.0
24,-2.7227,0.996,-7.404,-2.907,0.0
25,-2.7053,0.993,-7.394,-2.922,0.0
26,-2.6878,0.972,-7.368,-2.928,0.0
27,-2.6704,0.977,-7.365,-2.946,0.0
28,-2.6529,0.947,-7.33,-2.947,0.0
29,-2.6354,0.944,-7.32,-2.96,0.0
30,-2.618,0.885,-7.261,-2.944,0.0
31,-2.6005,0.785,-7.168,-2.906,0.0
32,-2.5831,0.774,-7.151,-2.912,0.0
33,-2.5656,0.765,-7.136,-2.918,0.0
34,-2.5482,0.772,-7.135,-2.933,0.0
35,-2.5307,0.761,-7.118,-2.938,0.0
36,-2.5133,0.754,-7.104,-2.944,0.0
37,-2.4958,0.758,-7.1,-2.958,0.0
38,-2.4784,0.766,-7.098,-2.973,0.0
39,-2.4609,0.783,-7.103,-2.994,0.0
40,-2.4435,0.771,-7.085,-2.997,0.05
41,-2.426,0.766,-7.072,-3.004,0.071
42,-2.4086,0.783,-7.076,-3.026,0.071
43,-2.3911,0.763,-7.052,-3.022,0.071
44,-2.3736,0.766,-7.045,-3.033,0.1
45,-2.3562,0.769,-7.038,-3.045,0.1
46,-2.3387,0.751,-7.015,-3.041,0.1
47,-2.3213,0.761,-7.013,-3.058,0.141
48,-2.3038,0.954,-7.132,-3.21,0.25
49,-2.2864,0.849,-7.051,-3.142,0.158
50,-2.2689,0.937,-7.096,-3.22,0.255
51,-2.2515,0.942,-7.087,-3.234,0.255
52,-2.234,0.953,-7.08,-3.252,0.304
53,-2.2166,0.994,-7.092,-3.295,0.304
54,-2.1991,1.053,-7.112,-3.353,0.4
55,-2.1817,1.066,-7.104,-3.374,0.4
56,-2.1642,2.511,-7.895,-4.585,0.45
57,-2.1468,2.5,-7.852,-4.6,0.45
58,-2.1293,2.545,-7.839,-4.662,0.35
59,-2.1118,2.613,-7.836,-4.743,0.3
60,-2.0944,2.694,-7.837,-4.837,0.2
61,-2.0769,2.367,-7.638,-4.573,0.45
62,-2.0595,2.349,-7.593,-4.577,0.45
63,-2.042,2.324,-7.546,-4.573,0.45
64,-2.0246,2.709,-7.677,-4.938,0.1
