i,angulo,alcance,x,y,ate_parede
126,-0.9425,2.684,1.38,-2.042,0.05
127,-0.925,2.763,1.456,-2.096,0.1
128,-0.9076,2.791,1.511,-2.1,0.071
129,-0.8901,2.64,1.488,-1.944,0.18
130,-0.8727,2.641,1.53,-1.924,0.18
131,-0.8552,2.646,1.573,-1.907,0.206
132,-0.8378,2.695,1.638,-1.928,0.15
133,-0.8203,2.768,1.715,-1.967,0.15
134,-0.8029,2.869,1.809,-2.029,0.071
135,-0.7854,3.018,1.931,-2.128,0.05
136,-0.7679,3.753,2.379,-2.715,0.05
137,-0.7505,3.089,2.06,-2.13,0.1
138,-0.733,3.187,2.16,-2.179,0.05
139,-0.7156,3.351,2.302,-2.278,0.0
140,-0.6981,3.459,2.415,-2.33,0.0
141,-0.6807,3.421,2.439,-2.262,0.05
142,-0.6632,3.435,2.494,-2.236,0.05
143,-0.6458,3.103,2.325,-1.944,0.071
144,-0.6283,3.06,2.338,-1.876,0.05
145,-0.6109,3.034,2.36,-1.821,0.05
146,-0.5934,3.012,2.384,-1.77,0.071
147,-0.576,3.008,2.42,-1.731,0.071
148,-0.5585,3.008,2.457,-1.693,0.071
149,-0.5411,3.021,2.503,-1.665,0.1
150,-0.5236,3.224,2.688,-1.764,0.05
151,-0.5061,3.278,2.766,-1.759,0.05
152,-0.4887,4.375,3.635,-2.431,0.1
153,-0.4712,4.323,3.644,-2.339,0.1
154,-0.4538,4.269,3.65,-2.247,0.1
155,-0.4363,4.015,3.495,-2.033,0.112
156,-0.4189,3.983,3.512,-1.958,0.05
157,-0.4014,3.939,3.517,-1.877,0.05
158,-0.384,3.945,3.562,-1.824,0.0
159,-0.3665,3.938,3.595,-1.763,0.0
160,-0.3491,4.079,3.751,-1.782,0.15
161,-0.3316,3.879,3.619,-1.616,0.0
162,-0.3142,3.861,3.639,-1.549,0.0
163,-0.2967,3.822,3.639,-1.472,0.0
164,-0.2793,3.805,3.657,-1.406,0.0
165,-0.2618,3.802,3.685,-1.346,0.0
166,-0.2443,4.126,4.004,-1.432,0.206
167,-0.2269,3.983,3.908,-1.306,0.071
168,-0.2094,3.958,3.914,-1.232,0.05
169,-0.192,3.879,3.871,-1.137,0.0
170,-0.1745,3.855,3.875,-1.066,0.0
171,-0.1571,3.843,3.89,-0.999,0.071
172,-0.1396,3.851,3.921,-0.939,0.1
173,-0.1222,3.846,3.939,-0.874,0.141
174,-0.1047,3.877,3.991,-0.821,0.158
175,-0.0873,3.91,4.044,-0.767,0.1
176,-0.0698,4.163,4.306,-0.775,0.18
177,-0.0524,4.165,4.329,-0.705,0.112
178,-0.0349,4.162,4.345,-0.634,0.15
179,-0.0175,4.166,4.366,-0.565,0.18
180,-0.0,4.163,4.38,-0.494,0.2
181,0.0175,4.164,4.396,-0.423,0.25
182,0.0349,4.158,4.405,-0.35,0.18
183,0.0524,4.473,4.728,-0.332,0.112
184,0.0698,4.384,4.653,-0.242,0.05
185,0.0873,4.633,4.911,-0.199,0.05
186,0.1047,4.661,4.948,-0.122,0.1
187,0.1222,4.674,4.97,-0.043,0.1
188,0.1396,4.684,4.988,0.038,0.158
189,0.1571,4.695,5.004,0.118,0.18
190,0.1745,4.717,5.031,0.199,0.206
191,0.192,4.721,5.038,0.281,0.25
192,0.2094,4.741,5.06,0.364,0.25
193,0.2269,4.761,5.08,0.446,0.25
194,0.2443,4.778,5.096,0.53,0.3
195,0.2618,4.803,5.119,0.614,0.3
196,0.2793,4.832,5.143,0.7,0.35
197,0.2967,7.264,7.563,0.965,0.45
198,0.3142,7.273,7.562,1.092,0.45
199,0.3316,3.093,3.394,0.761,0.3
200,0.3491,3.07,3.364,0.812,0.25
201,0.3665,3.069,3.357,0.865,0.2
202,0.384,3.118,3.397,0.926,0.15
203,0.4014,3.118,3.387,0.98,0.1
204,0.4189,3.117,3.376,1.033,0.0
205,0.4363,3.141,3.388,1.091,0.0
206,0.4538,2.859,3.102,1.08,0.05
207,0.4712,2.882,3.113,1.134,0.0
208,0.4887,2.883,3.101,1.183,0.0
209,0.5061,2.213,2.443,1.043,0.112
210,0.5236,2.164,2.386,1.066,0.05
211,0.5411,2.152,2.363,1.098,0.0
212,0.5585,2.152,2.35,1.133,0.0
