i,angulo,alcance,x,y,ate_parede
124,-0.9774,2.666,1.46,-1.984,0.141
125,-0.9599,2.758,1.553,-2.028,0.071
126,-0.9425,2.713,1.563,-1.964,0.158
127,-0.925,2.637,1.551,-1.876,0.206
128,-0.9076,2.636,1.585,-1.845,0.255
129,-0.8901,2.681,1.65,-1.848,0.25
130,-0.8727,2.695,1.694,-1.827,0.25
131,-0.8552,2.772,1.782,-1.851,0.25
132,-0.8378,2.858,1.877,-1.878,0.224
133,-0.8203,3.865,2.632,-2.548,0.0
134,-0.8029,3.032,2.073,-1.926,0.283
135,-0.7854,3.106,2.164,-1.938,0.206
136,-0.7679,3.676,2.627,-2.274,0.0
137,-0.7505,3.61,2.619,-2.183,0.05
138,-0.733,3.567,2.626,-2.107,0.05
139,-0.7156,3.508,2.619,-2.023,0.05
140,-0.6981,3.471,2.628,-1.952,0.0
141,-0.6807,3.132,2.391,-1.702,0.112
142,-0.6632,3.086,2.386,-1.631,0.18
143,-0.6458,3.061,2.396,-1.573,0.18
144,-0.6283,3.066,2.43,-1.531,0.224
145,-0.6109,3.039,2.436,-1.472,0.269
146,-0.5934,3.018,2.446,-1.416,0.354
147,-0.576,3.038,2.491,-1.381,0.35
148,-0.5585,3.218,2.674,-1.423,0.3
149,-0.5411,3.294,2.768,-1.41,0.364
150,-0.5236,4.384,3.762,-1.861,0.15
151,-0.5061,4.339,3.757,-1.773,0.15
152,-0.4887,4.283,3.739,-1.681,0.05
153,-0.4712,4.057,3.565,-1.52,0.05
154,-0.4538,3.992,3.534,-1.429,0.1
155,-0.4363,3.97,3.541,-1.357,0.05
156,-0.4189,3.986,3.581,-1.298,0.05
157,-0.4014,3.941,3.564,-1.217,0.071
158,-0.384,3.944,3.59,-1.154,0.071
159,-0.3665,3.89,3.561,-1.071,0.141
160,-0.3491,3.854,3.548,-0.996,0.2
161,-0.3316,3.837,3.552,-0.927,0.2
162,-0.3142,3.812,3.545,-0.856,0.206
163,-0.2967,3.804,3.554,-0.789,0.224
164,-0.2793,3.813,3.58,-0.727,0.25
165,-0.2618,4.667,4.429,-0.846,0.283
166,-0.2443,4.673,4.451,-0.767,0.269
167,-0.2269,3.875,3.682,-0.543,0.206
168,-0.2094,3.867,3.686,-0.475,0.224
169,-0.192,3.846,3.675,-0.405,0.283
170,-0.1745,3.844,3.682,-0.339,0.32
171,-0.1571,3.866,3.712,-0.274,0.335
172,-0.1396,3.859,3.712,-0.207,0.427
173,-0.1222,3.896,3.755,-0.142,0.4
174,-0.1047,4.162,4.025,-0.09,0.158
175,-0.0873,4.158,4.025,-0.018,0.212
176,-0.0698,4.155,4.024,0.055,0.25
177,-0.0524,4.156,4.026,0.127,0.292
178,-0.0349,4.152,4.022,0.2,0.381
179,-0.0175,4.158,4.027,0.273,0.427
180,-0.0,4.163,4.029,0.345,0.5
181,0.0175,4.434,4.296,0.435,0.4
182,0.0349,4.392,4.248,0.509,0.45
183,0.0524,4.418,4.267,0.588,0.45
184,0.0698,4.669,4.509,0.693,0.2
185,0.0873,4.675,4.504,0.775,0.2
186,0.1047,4.685,4.502,0.857,0.2
187,0.1222,4.7,4.504,0.94,0.2
188,0.1396,4.71,4.5,1.023,0.206
189,0.1571,4.731,4.505,1.108,0.25
190,0.1745,4.739,4.495,1.19,0.32
191,0.192,4.76,4.497,1.276,0.354
192,0.2094,4.779,4.495,1.361,0.43
193,0.2269,4.805,4.498,1.449,0.45
194,0.2443,4.827,4.496,1.535,0.35
195,0.2618,7.265,6.795,2.353,0.071
196,0.2793,7.284,6.774,2.48,0.18
197,0.2967,7.1,6.559,2.538,0.391
198,0.3142,3.076,2.749,1.239,0.05
199,0.3316,3.081,2.735,1.291,0.05
200,0.3491,3.107,2.739,1.351,0.05
201,0.3665,3.123,2.732,1.407,0.05
202,0.384,3.131,2.717,1.46,0.071
203,0.4014,3.147,2.708,1.516,0.112
204,0.4189,2.975,2.531,1.489,0.112
205,0.4363,2.917,2.455,1.508,0.071
206,0.4538,2.892,2.409,1.541,0.071
207,0.4712,2.26,1.835,1.273,0.0
208,0.4887,2.164,1.733,1.258,0.0
209,0.5061,2.148,1.699,1.282,0.0
210,0.5236,2.156,1.687,1.318,0.0
211,0.5411,2.163,1.672,1.354,0.0
212,0.5585,2.162,1.65,1.384,0.05
213,0.576,2.157,1.624,1.412,0.0
214,0.5934,2.153,1.598,1.44,0.05
215,0.6109,2.155,1.578,1.472,0.0
216,0.6283,2.109,1.518,1.472,0.05
217,0.6458,2.115,1.5,1.505,0.071
218,0.6632,2.162,1.512,1.564,0.112
219,0.6807,1.876,1.273,1.402,0.0
220,0.6981,1.829,1.217,1.394,0.0
221,0.7156,1.781,1.16,1.385,0.05
222,0.733,1.746,1.113,1.382,0.0
223,0.7505,1.729,1.08,1.392,0.0
224,0.7679,1.713,1.047,1.401,0.0
225,0.7854,1.712,1.025,1.421,0.0
226,0.8029,1.743,1.023,1.464,0.0
227,0.8203,1.726,0.989,1.471,0.0
228,0.8378,1.801,1.014,1.548,0.05
229,0.8552,1.813,0.996,1.577,0.05
230,0.8727,1.883,1.014,1.652,0.071
231,0.8901,1.751,0.91,1.566,0.05
232,0.9076,1.719,0.866,1.558,0.05
233,0.925,1.688,0.824,1.549,0.0
234,0.9425,1.805,0.864,1.663,0.071
235,0.9599,1.659,0.759,1.557,0.0
236,0.9774,1.642,0.726,1.558,0.05
237,0.9948,1.854,0.808,1.755,0.0
238,1.0123,1.62,0.665,1.568,0.1
239,1.0297,1.599,0.631,1.563,0.15
240,1.0472,1.578,0.596,1.557,0.15
241,1.0647,1.573,0.57,1.566,0.15
242,1.0821,1.551,0.536,1.558,0.141
243,1.0996,1.546,0.509,1.564,0.141
244,1.117,1.533,0.479,1.564,0.112
245,1.1345,1.537,0.456,1.578,0.112
246,1.1519,1.608,0.457,1.653,0.05
247,1.1694,1.926,0.541,1.961,0.1
248,1.1868,1.749,0.451,1.806,0.05
249,1.2043,1.911,0.474,1.97,0.141
250,1.2217,1.834,0.419,1.906,0.15
251,1.2392,1.827,0.386,1.909,0.15
252,1.2566,1.815,0.352,1.907,0.112
253,1.2741,1.808,0.32,1.907,0.071
254,1.2915,1.794,0.286,1.902,0.071
255,1.309,1.783,0.253,1.898,0.05
256,1.3265,1.781,0.222,1.903,0.071
257,1.3439,1.77,0.19,1.897,0.071
258,1.3614,1.768,0.159,1.9,0.05
259,1.3788,1.763,0.128,1.9,0.071
260,1.3963,1.756,0.096,1.898,0.071
261,1.4137,1.749,0.065,1.894,0.112
262,1.4312,1.743,0.034,1.892,0.158
263,1.4486,1.742,0.004,1.894,0.158
264,1.4661,1.735,-0.027,1.889,0.206
265,1.4835,1.738,-0.057,1.893,0.206
266,1.501,1.737,-0.087,1.893,0.255
267,1.5184,1.74,-0.118,1.896,0.25
