i,angulo,alcance,x,y,ate_parede
124,-0.9774,2.341,1.162,-2.061,0.0
125,-0.9599,2.407,1.231,-2.097,0.0
126,-0.9425,2.679,1.409,-2.307,0.0
127,-0.925,2.718,1.469,-2.315,0.0
128,-0.9076,2.763,1.534,-2.327,0.0
129,-0.8901,2.649,1.509,-2.206,0.05
130,-0.8727,2.635,1.539,-2.168,0.0
131,-0.8552,2.642,1.581,-2.147,0.0
132,-0.8378,2.702,1.654,-2.167,0.0
133,-0.8203,2.754,1.723,-2.178,0.05
134,-0.8029,2.783,1.78,-2.17,0.0
135,-0.7854,3.009,1.963,-2.311,0.0
136,-0.7679,3.054,2.033,-2.31,0.0
137,-0.7505,3.135,2.127,-2.334,0.0
138,-0.733,3.161,2.185,-2.316,0.0
139,-0.7156,3.246,2.284,-2.338,0.0
140,-0.6981,3.397,2.432,-2.403,0.05
141,-0.6807,3.491,2.542,-2.426,0.05
142,-0.6632,3.466,2.565,-2.364,0.0
143,-0.6458,3.104,2.334,-2.079,0.1
144,-0.6283,3.068,2.342,-2.015,0.0
145,-0.6109,3.039,2.354,-1.955,0.05
146,-0.5934,3.043,2.39,-1.917,0.0
147,-0.576,3.015,2.4,-1.857,0.0
148,-0.5585,3.007,2.426,-1.811,0.05
149,-0.5411,3.037,2.482,-1.786,0.0
150,-0.5236,3.245,2.683,-1.86,0.0
151,-0.5061,3.35,2.802,-1.871,0.05
152,-0.4887,4.381,3.704,-2.376,0.05
153,-0.4712,4.33,3.701,-2.284,0.05
154,-0.4538,4.281,3.698,-2.195,0.05
155,-0.4363,4.015,3.504,-1.999,0.071
156,-0.4189,3.978,3.505,-1.92,0.05
157,-0.4014,3.956,3.518,-1.849,0.05
158,-0.384,3.924,3.521,-1.773,0.05
159,-0.3665,3.941,3.566,-1.719,0.0
160,-0.3491,4.087,3.728,-1.717,0.071
161,-0.3316,3.895,3.581,-1.575,0.05
162,-0.3142,3.836,3.552,-1.489,0.05
163,-0.2967,3.835,3.577,-1.427,0.05
164,-0.2793,3.803,3.571,-1.353,0.05
165,-0.2618,3.794,3.585,-1.288,0.05
166,-0.2443,3.905,3.712,-1.261,0.0
167,-0.2269,4.707,4.498,-1.437,0.1
168,-0.2094,4.684,4.5,-1.351,0.0
169,-0.192,3.866,3.734,-1.055,0.071
170,-0.1745,3.86,3.745,-0.988,0.0
171,-0.1571,3.853,3.755,-0.921,0.0
172,-0.1396,3.852,3.769,-0.855,0.05
173,-0.1222,3.846,3.777,-0.788,0.05
174,-0.1047,3.879,3.822,-0.728,0.0
175,-0.0873,3.896,3.851,-0.665,0.0
176,-0.0698,4.156,4.119,-0.636,0.0
177,-0.0524,4.154,4.127,-0.564,0.05
178,-0.0349,4.154,4.135,-0.492,0.05
179,-0.0175,4.146,4.135,-0.419,0.05
180,-0.0,4.148,4.143,-0.347,0.0
181,0.0175,4.156,4.156,-0.275,0.0
182,0.0349,4.159,4.163,-0.203,0.0
183,0.0524,4.389,4.396,-0.136,0.0
184,0.0698,4.397,4.405,-0.06,0.0
185,0.0873,4.413,4.421,0.017,0.0
186,0.1047,4.664,4.671,0.101,0.0
187,0.1222,4.675,4.679,0.183,0.0
188,0.1396,4.685,4.684,0.265,0.0
189,0.1571,4.691,4.684,0.347,0.05
190,0.1745,4.71,4.696,0.43,0.0
191,0.192,4.725,4.702,0.514,0.0
192,0.2094,4.739,4.706,0.598,0.0
193,0.2269,4.759,4.714,0.682,0.0
194,0.2443,4.776,4.718,0.767,0.0
195,0.2618,4.797,4.724,0.853,0.0
196,0.2793,4.837,4.747,0.943,0.0
197,0.2967,7.261,7.095,1.552,0.0
198,0.3142,7.229,7.036,1.668,0.1
199,0.3316,3.091,2.999,0.752,0.05
200,0.3491,3.072,2.968,0.799,0.05
201,0.3665,3.095,2.975,0.857,0.0
202,0.384,3.104,2.968,0.912,0.0
203,0.4014,3.109,2.955,0.964,0.0
204,0.4189,2.868,2.71,0.935,0.05
205,0.4363,2.92,2.742,1.0,0.0
206,0.4538,2.989,2.788,1.073,0.05
207,0.4712,2.899,2.685,1.087,0.0
208,0.4887,2.871,2.64,1.123,0.0
209,0.5061,2.626,2.396,1.066,0.071
210,0.5236,2.169,1.965,0.911,0.05
211,0.5411,2.15,1.931,0.937,0.05
212,0.5585,2.144,1.909,0.968,0.05
213,0.576,2.174,1.918,1.015,0.0
214,0.5934,2.159,1.887,1.041,0.0
