i,angulo,alcance,x,y,ate_parede
124,-0.9774,2.623,1.434,-1.949,0.141
125,-0.9599,2.677,1.503,-1.964,0.18
126,-0.9425,2.681,1.543,-1.939,0.158
127,-0.925,2.649,1.559,-1.884,0.206
128,-0.9076,2.644,1.591,-1.851,0.25
129,-0.8901,2.66,1.636,-1.832,0.25
130,-0.8727,2.682,1.685,-1.817,0.3
131,-0.8552,2.728,1.751,-1.819,0.3
132,-0.8378,2.795,1.833,-1.834,0.255
133,-0.8203,2.987,2.004,-1.933,0.25
134,-0.8029,3.071,2.101,-1.954,0.255
135,-0.7854,3.067,2.135,-1.911,0.269
136,-0.7679,3.152,2.235,-1.928,0.158
137,-0.7505,3.32,2.398,-1.995,0.0
138,-0.733,3.541,2.606,-2.091,0.05
139,-0.7156,3.513,2.624,-2.026,0.05
140,-0.6981,3.48,2.634,-1.957,0.0
141,-0.6807,3.104,2.368,-1.685,0.141
142,-0.6632,3.067,2.371,-1.62,0.18
143,-0.6458,3.048,2.385,-1.565,0.25
144,-0.6283,3.045,2.412,-1.52,0.224
145,-0.6109,3.025,2.424,-1.464,0.316
146,-0.5934,3.012,2.441,-1.413,0.354
147,-0.576,3.017,2.472,-1.37,0.354
148,-0.5585,3.211,2.667,-1.42,0.3
149,-0.5411,3.298,2.771,-1.412,0.364
150,-0.5236,4.364,3.745,-1.852,0.15
151,-0.5061,5.139,4.473,-2.128,0.292
152,-0.4887,5.103,4.48,-2.032,0.269
153,-0.4712,4.013,3.525,-1.501,0.1
154,-0.4538,4.049,3.587,-1.452,0.0
155,-0.4363,3.977,3.547,-1.359,0.05
156,-0.4189,3.95,3.548,-1.285,0.05
157,-0.4014,3.923,3.547,-1.211,0.071
158,-0.384,3.964,3.609,-1.16,0.071
159,-0.3665,3.9,3.571,-1.075,0.141
160,-0.3491,3.859,3.552,-0.997,0.2
161,-0.3316,3.824,3.539,-0.923,0.2
162,-0.3142,3.831,3.563,-0.861,0.206
163,-0.2967,3.799,3.55,-0.788,0.224
164,-0.2793,3.926,3.689,-0.753,0.1
165,-0.2618,4.035,3.812,-0.71,0.0
166,-0.2443,4.701,4.478,-0.773,0.292
167,-0.2269,3.885,3.691,-0.545,0.158
168,-0.2094,3.855,3.674,-0.473,0.224
169,-0.192,3.879,3.707,-0.41,0.25
170,-0.1745,3.849,3.688,-0.339,0.292
171,-0.1571,3.852,3.698,-0.273,0.335
172,-0.1396,3.884,3.737,-0.209,0.4
173,-0.1222,3.887,3.746,-0.142,0.4
174,-0.1047,4.16,4.023,-0.09,0.158
175,-0.0873,4.157,4.024,-0.018,0.212
176,-0.0698,4.16,4.029,0.055,0.25
177,-0.0524,4.154,4.025,0.127,0.292
178,-0.0349,4.158,4.028,0.2,0.381
179,-0.0175,4.159,4.028,0.273,0.427
180,-0.0,4.163,4.029,0.345,0.5
181,0.0175,4.407,4.269,0.433,0.427
182,0.0349,4.39,4.246,0.508,0.45
183,0.0524,4.411,4.261,0.587,0.45
184,0.0698,4.669,4.508,0.693,0.2
185,0.0873,4.679,4.508,0.775,0.2
186,0.1047,4.686,4.503,0.857,0.2
187,0.1222,4.694,4.499,0.939,0.2
188,0.1396,4.71,4.5,1.023,0.206
189,0.1571,4.726,4.5,1.107,0.25
190,0.1745,4.741,4.497,1.191,0.32
191,0.192,4.755,4.492,1.274,0.354
192,0.2094,4.783,4.498,1.362,0.43
193,0.2269,4.796,4.49,1.446,0.45
194,0.2443,4.837,4.505,1.538,0.35
195,0.2618,7.263,6.793,2.352,0.071
196,0.2793,7.273,6.763,2.476,0.18
197,0.2967,7.107,6.565,2.54,0.391
198,0.3142,3.075,2.749,1.238,0.05
199,0.3316,3.094,2.747,1.295,0.0
200,0.3491,3.107,2.738,1.35,0.05
201,0.3665,3.121,2.73,1.406,0.05
202,0.384,3.14,2.725,1.464,0.071
203,0.4014,2.899,2.485,1.409,0.05
204,0.4189,2.851,2.419,1.433,0.0
205,0.4363,2.886,2.428,1.494,0.05
206,0.4538,2.936,2.448,1.562,0.112
207,0.4712,2.255,1.831,1.27,0.0
208,0.4887,2.201,1.765,1.277,0.0
209,0.5061,2.156,1.706,1.286,0.0
210,0.5236,2.157,1.687,1.319,0.0
211,0.5411,2.209,1.711,1.379,0.0
212,0.5585,2.183,1.667,1.396,0.05
213,0.576,2.15,1.619,1.408,0.0
214,0.5934,2.147,1.594,1.436,0.05
215,0.6109,2.153,1.576,1.47,0.0
216,0.6283,2.113,1.521,1.474,0.05
217,0.6458,2.126,1.508,1.512,0.071
218,0.6632,2.157,1.508,1.56,0.112
219,0.6807,1.861,1.262,1.392,0.0
220,0.6981,1.831,1.218,1.396,0.0
221,0.7156,1.802,1.175,1.399,0.05
222,0.733,1.758,1.122,1.391,0.0
223,0.7505,1.733,1.083,1.395,0.0
224,0.7679,1.711,1.046,1.4,0.0
225,0.7854,1.709,1.023,1.419,0.0
226,0.8029,1.716,1.005,1.443,0.0
227,0.8203,1.8,1.037,1.527,0.0
228,0.8378,1.722,0.963,1.487,0.05
229,0.8552,1.781,0.976,1.552,0.0
230,0.8727,1.819,0.975,1.601,0.05
231,0.8901,1.754,0.911,1.569,0.05
232,0.9076,1.73,0.872,1.567,0.05
233,0.925,1.705,0.833,1.563,0.0
234,0.9425,1.679,0.795,1.558,0.0
235,0.9599,1.904,0.89,1.764,0.0
236,0.9774,1.661,0.736,1.574,0.05
237,0.9948,1.628,0.694,1.561,0.05
238,1.0123,1.632,0.671,1.578,0.1
239,1.0297,1.755,0.705,1.7,0.0
240,1.0472,1.579,0.597,1.558,0.15
241,1.0647,1.635,0.597,1.621,0.1
242,1.0821,1.558,0.539,1.564,0.15
243,1.0996,1.535,0.504,1.555,0.141
244,1.117,1.532,0.479,1.562,0.112
245,1.1345,1.645,0.497,1.678,0.05
246,1.1519,1.561,0.44,1.609,0.071
247,1.1694,1.737,0.476,1.784,0.05
248,1.1868,1.864,0.49,1.915,0.071
249,1.2043,1.914,0.474,1.972,0.141
250,1.2217,1.844,0.422,1.916,0.15
251,1.2392,1.83,0.387,1.912,0.15
252,1.2566,1.813,0.352,1.905,0.112
253,1.2741,1.809,0.32,1.908,0.071
254,1.2915,1.796,0.286,1.904,0.071
255,1.309,1.793,0.255,1.908,0.05
256,1.3265,1.781,0.222,1.903,0.071
257,1.3439,1.768,0.189,1.895,0.071
258,1.3614,1.767,0.159,1.899,0.05
259,1.3788,1.759,0.127,1.896,0.071
260,1.3963,1.75,0.096,1.892,0.071
261,1.4137,1.746,0.065,1.892,0.112
262,1.4312,1.746,0.035,1.895,0.158
263,1.4486,1.743,0.004,1.894,0.158
264,1.4661,1.745,-0.026,1.898,0.206
265,1.4835,1.739,-0.057,1.894,0.206
266,1.501,1.736,-0.087,1.892,0.255
267,1.5184,1.744,-0.118,1.9,0.25
268,1.5359,2.311,-0.154,2.467,0.071
269,1.5533,2.351,-0.195,2.507,0.1
270,1.5708,2.31,-0.235,2.464,0.05
271,1.5882,2.319,-0.275,2.471,0.05
272,1.6057,2.334,-0.317,2.483,0.1
273,1.6232,2.367,-0.361,2.512,0.1
274,1.6406,2.343,-0.399,2.484,0.1
275,1.6581,2.35,-0.44,2.485,0.1
276,1.6755,2.358,-0.482,2.488,0.112
277,1.693,2.357,-0.523,2.481,0.112
278,1.7104,2.361,-0.564,2.477,0.158
279,1.7279,2.384,-0.609,2.492,0.18
280,1.7453,2.394,-0.652,2.493,0.224
281,1.7628,2.421,-0.699,2.51,0.269
282,1.7802,2.434,-0.743,2.512,0.316
283,1.7977,2.3,-0.748,2.372,0.3
284,1.8151,2.147,-0.743,2.214,0.304
285,1.8326,2.01,-0.737,2.072,0.3
286,1.85,1.879,-0.729,1.938,0.224
287,1.8675,1.854,-0.752,1.903,0.18
288,1.885,1.853,-0.782,1.891,0.212
289,1.9024,1.861,-0.815,1.886,0.25
290,1.9199,1.87,-0.848,1.883,0.25
291,1.9373,1.876,-0.881,1.876,0.25
292,1.9548,1.837,-0.894,1.827,0.212
293,1.9722,1.539,-0.795,1.545,0.05
294,1.9897,1.508,-0.805,1.505,0.1
295,2.0071,1.432,-0.793,1.425,0.05
296,2.0246,1.375,-0.788,1.364,0.05
