i,angulo,alcance,x,y,ate_parede
130,-0.8727,2.334,6.673,-0.592,0.05
131,-0.8552,2.35,6.717,-0.59,0.05
132,-0.8378,2.467,6.803,-0.679,0.0
133,-0.8203,2.434,6.827,-0.631,0.05
134,-0.8029,2.362,6.833,-0.548,0.05
135,-0.7854,2.287,6.835,-0.463,0.05
136,-0.7679,2.237,6.847,-0.401,0.0
137,-0.7505,2.191,6.858,-0.342,0.05
138,-0.733,2.124,6.857,-0.264,0.05
139,-0.7156,2.068,6.86,-0.198,0.05
140,-0.6981,2.016,6.862,-0.135,0.05
141,-0.6807,1.975,6.869,-0.082,0.071
142,-0.6632,1.975,6.898,-0.062,0.071
143,-0.6458,2.001,6.941,-0.063,0.05
144,-0.6283,1.999,6.968,-0.042,0.05
145,-0.6109,1.961,6.973,0.01,0.05
146,-0.5934,1.921,6.975,0.062,0.05
147,-0.576,1.891,6.982,0.106,0.05
148,-0.5585,1.863,6.988,0.149,0.0
149,-0.5411,1.825,6.988,0.199,0.0
150,-0.5236,1.796,6.992,0.241,0.0
151,-0.5061,1.77,6.997,0.282,0.0
152,-0.4887,1.745,7.001,0.321,0.0
153,-0.4712,1.715,7.002,0.363,0.05
154,-0.4538,1.687,7.002,0.404,0.05
155,-0.4363,1.669,7.009,0.438,0.05
156,-0.4189,1.642,7.008,0.478,0.05
157,-0.4014,1.614,7.005,0.518,0.05
158,-0.384,1.601,7.014,0.547,0.05
159,-0.3665,1.582,7.016,0.581,0.05
160,-0.3491,1.559,7.015,0.616,0.05
161,-0.3316,1.549,7.023,0.644,0.05
162,-0.3142,1.526,7.021,0.679,0.05
163,-0.2967,1.508,7.021,0.711,0.05
164,-0.2793,1.501,7.03,0.737,0.05
165,-0.2618,1.487,7.032,0.767,0.05
166,-0.2443,1.474,7.035,0.795,0.05
167,-0.2269,1.464,7.04,0.822,0.0
168,-0.2094,1.448,7.038,0.853,0.0
169,-0.192,1.414,7.02,0.891,0.05
170,-0.1745,1.421,7.038,0.91,0.0
171,-0.1571,1.421,7.05,0.932,0.0
172,-0.1396,1.408,7.049,0.959,0.0
173,-0.1222,1.397,7.049,0.986,0.0
174,-0.1047,1.386,7.049,1.013,0.0
175,-0.0873,1.382,7.055,1.037,0.0
176,-0.0698,1.373,7.055,1.062,0.0
177,-0.0524,1.367,7.058,1.087,0.0
178,-0.0349,1.361,7.061,1.111,0.0
179,-0.0175,1.353,7.061,1.136,0.05
180,-0.0,1.347,7.062,1.161,0.05
181,0.0175,1.344,7.066,1.184,0.05
182,0.0349,1.336,7.065,1.209,0.05
183,0.0524,1.334,7.069,1.232,0.05
184,0.0698,1.326,7.067,1.256,0.05
185,0.0873,1.321,7.067,1.28,0.05
186,0.1047,1.317,7.068,1.303,0.05
187,0.1222,1.318,7.073,1.326,0.05
