i,angulo,alcance,x,y,ate_parede
123,-0.9948,2.291,0.837,-1.996,0.071
124,-0.9774,2.294,0.873,-1.978,0.071
125,-0.9599,2.306,0.914,-1.968,0.141
126,-0.9425,2.316,0.953,-1.955,0.112
127,-0.925,2.522,1.101,-2.105,0.0
128,-0.9076,2.551,1.154,-2.105,0.05
129,-0.8901,2.617,1.229,-2.133,0.05
130,-0.8727,2.631,1.274,-2.117,0.0
131,-0.8552,2.596,1.289,-2.062,0.0
132,-0.8378,2.584,1.317,-2.024,0.0
133,-0.8203,2.578,1.349,-1.991,0.071
134,-0.8029,2.612,1.405,-1.988,0.112
135,-0.7854,2.589,1.424,-1.941,0.141
136,-0.7679,2.632,1.487,-1.943,0.18
137,-0.7505,2.673,1.549,-1.941,0.158
138,-0.733,2.722,1.617,-1.944,0.15
139,-0.7156,3.06,1.892,-2.148,0.05
140,-0.6981,3.113,1.967,-2.145,0.071
141,-0.6807,2.973,1.901,-2.011,0.158
142,-0.6632,2.969,1.933,-1.97,0.158
143,-0.6458,3.046,2.025,-1.981,0.212
144,-0.6283,3.152,2.141,-2.008,0.2
145,-0.6109,3.204,2.217,-1.998,0.15
146,-0.5934,4.115,2.973,-2.509,0.05
147,-0.576,3.487,2.512,-2.077,0.05
148,-0.5585,3.736,2.75,-2.173,0.112
149,-0.5411,3.944,2.959,-2.237,0.25
150,-0.5236,3.781,2.862,-2.09,0.071
151,-0.5061,3.838,2.946,-2.066,0.1
152,-0.4887,3.521,2.711,-1.843,0.0
153,-0.4712,3.493,2.719,-1.776,0.0
154,-0.4538,3.49,2.746,-1.722,0.05
155,-0.4363,3.463,2.753,-1.656,0.141
156,-0.4189,3.444,2.764,-1.593,0.18
157,-0.4014,3.462,2.808,-1.548,0.25
158,-0.384,3.626,2.982,-1.564,0.269
159,-0.3665,4.822,4.097,-2.004,0.255
160,-0.3491,4.791,4.103,-1.915,0.354
161,-0.3316,5.519,4.807,-2.117,0.05
162,-0.3142,4.468,3.867,-1.642,0.05
163,-0.2967,4.462,3.889,-1.567,0.141
164,-0.2793,4.418,3.874,-1.479,0.158
165,-0.2618,4.398,3.881,-1.4,0.15
166,-0.2443,4.404,3.91,-1.329,0.112
167,-0.2269,4.564,4.085,-1.301,0.05
168,-0.2094,4.356,3.907,-1.168,0.05
169,-0.192,4.318,3.89,-1.085,0.05
170,-0.1745,4.285,3.877,-1.005,0.05
171,-0.1571,4.282,3.89,-0.931,0.1
172,-0.1396,4.481,4.1,-0.898,0.25
173,-0.1222,4.438,4.074,-0.813,0.15
174,-0.1047,4.427,4.076,-0.735,0.1
175,-0.0873,4.368,4.03,-0.65,0.0
176,-0.0698,4.341,4.014,-0.571,0.0
177,-0.0524,4.331,4.013,-0.495,0.1
178,-0.0349,4.342,4.032,-0.421,0.15
179,-0.0175,4.341,4.038,-0.345,0.1
180,-0.0,4.375,4.077,-0.272,0.1
181,0.0175,4.631,4.337,-0.207,0.05
182,0.0349,4.637,4.346,-0.126,0.0
183,0.0524,4.632,4.342,-0.045,0.05
184,0.0698,4.625,4.335,0.036,0.1
185,0.0873,4.632,4.341,0.117,0.071
186,0.1047,4.636,4.342,0.198,0.158
187,0.1222,5.009,4.71,0.301,0.0
188,0.1396,4.872,4.568,0.377,0.141
189,0.1571,4.874,4.562,0.462,0.15
190,0.1745,5.14,4.819,0.577,0.0
191,0.192,5.149,4.816,0.667,0.0
192,0.2094,5.162,4.816,0.758,0.0
193,0.2269,5.169,4.81,0.848,0.0
194,0.2443,5.183,4.807,0.939,0.0
195,0.2618,5.198,4.805,1.031,0.05
196,0.2793,5.212,4.8,1.123,0.1
197,0.2967,5.232,4.799,1.216,0.2
198,0.3142,5.245,4.79,1.308,0.3
199,0.3316,5.269,4.789,1.403,0.4
200,0.3491,7.693,7.089,2.178,0.2
201,0.3665,3.512,3.06,1.052,0.0
202,0.384,3.523,3.053,1.114,0.0
203,0.4014,3.549,3.057,1.181,0.0
204,0.4189,3.544,3.031,1.237,0.0
205,0.4363,3.332,2.812,1.218,0.0
206,0.4538,3.572,3.012,1.364,0.05
207,0.4712,3.322,2.758,1.321,0.0
208,0.4887,3.375,2.783,1.396,0.0
209,0.5061,2.653,2.106,1.139,0.141
210,0.5236,2.568,2.01,1.143,0.071
211,0.5411,2.564,1.986,1.181,0.112
212,0.5585,2.577,1.976,1.227,0.071
213,0.576,2.578,1.955,1.267,0.05
214,0.5934,2.552,1.911,1.293,0.05
215,0.6109,2.52,1.86,1.314,0.05
216,0.6283,2.5,1.821,1.341,0.05
217,0.6458,2.283,1.615,1.258,0.0
218,0.6632,2.206,1.53,1.247,0.1
219,0.6807,2.156,1.467,1.25,0.1
220,0.6981,2.095,1.396,1.244,0.1
221,0.7156,2.052,1.339,1.247,0.05
222,0.733,2.056,1.32,1.278,0.0
223,0.7505,2.16,1.378,1.372,0.071
224,0.7679,2.059,1.277,1.335,0.0
225,0.7854,2.06,1.254,1.363,0.0
226,0.8029,2.048,1.221,1.381,0.0
227,0.8203,2.035,1.188,1.399,0.0
228,0.8378,1.994,1.134,1.395,0.0
229,0.8552,1.962,1.087,1.397,0.0
230,0.8727,1.915,1.03,1.387,0.0
231,0.8901,1.898,0.994,1.397,0.0
232,0.9076,1.872,0.952,1.4,0.0
233,0.925,1.853,0.915,1.407,0.0
234,0.9425,1.846,0.886,1.423,0.0
235,0.9599,1.863,0.871,1.456,0.0
236,0.9774,1.867,0.849,1.48,0.0
237,0.9948,1.876,0.828,1.506,0.05
238,1.0123,1.863,0.794,1.515,0.05
239,1.0297,1.878,0.776,1.546,0.0
240,1.0472,1.918,0.77,1.598,0.0
241,1.0647,1.961,0.765,1.652,0.05
242,1.0821,2.027,0.771,1.727,0.0
243,1.0996,2.12,0.788,1.825,0.05
244,1.117,2.011,0.702,1.749,0.0
245,1.1345,1.985,0.659,1.743,0.05
246,1.1519,1.963,0.618,1.74,0.05
247,1.1694,1.942,0.579,1.737,0.0
248,1.1868,1.93,0.543,1.74,0.0
249,1.2043,1.912,0.505,1.738,0.0
250,1.2217,1.892,0.467,1.734,0.0
251,1.2392,1.872,0.429,1.729,0.0
252,1.2566,1.865,0.396,1.734,0.0
253,1.2741,1.851,0.36,1.732,0.0
254,1.2915,1.834,0.324,1.728,0.0
