t,x,y,yaw,dist
2.2238,10.46468,6.6558,-0.63104,8.62511
2.2437,10.46702,6.65856,-0.67547,8.62794
2.2641,10.46914,6.66154,-0.72023,8.63059
2.2851,10.47127,6.66442,-0.76401,8.63324
2.3039,10.47342,6.66721,-0.80681,8.63588
2.3259,10.47558,6.66991,-0.84863,8.63852
2.3453,10.47774,6.67251,-0.88949,8.64115
2.3653,10.4799,6.67503,-0.9294,8.64376
2.3873,10.48207,6.67746,-0.96836,8.64635
2.4067,10.48422,6.67981,-1.00639,8.64892
2.4266,10.48637,6.68207,-1.0435,8.65146
2.4468,10.4885,6.68425,-1.07969,8.65398
2.4665,10.49062,6.68635,-1.11499,8.65647
2.4868,10.49276,6.68837,-1.14944,8.65896
2.5071,10.49495,6.69026,-1.18336,8.66148
2.5266,10.49721,6.69201,-1.2169,8.66403
2.5478,10.49947,6.69367,-1.24993,8.66658
2.5665,10.50172,6.69526,-1.28214,8.66909
2.5868,10.50395,6.69677,-1.31358,8.67157
2.6069,10.5062,6.69817,-1.34454,8.67406
2.6265,10.50849,6.69948,-1.3754,8.67656
2.6465,10.51079,6.70073,-1.40588,8.67906
2.6663,10.51306,6.7019,-1.43564,8.68152
2.6868,10.51532,6.70301,-1.46473,8.68394
2.7068,10.51755,6.70405,-1.49321,8.68634
2.7268,10.5198,6.705,-1.52153,8.68873
2.7465,10.52205,6.70588,-1.54951,8.69111
2.7668,10.52428,6.70671,-1.5769,8.69346
2.789,10.52648,6.70747,-1.60369,8.69577
2.8084,10.52865,6.70818,-1.6299,8.69804
2.828,10.53081,6.70883,-1.65566,8.70027
2.8485,10.53295,6.70943,-1.68105,8.70249
2.8681,10.53507,6.70997,-1.70585,8.70468
2.8885,10.53716,6.71045,-1.73005,8.70682
2.908,10.53921,6.71089,-1.7537,8.70892
2.9284,10.54123,6.7113,-1.77693,8.71097
2.949,10.54322,6.71167,-1.79976,8.71301
2.9678,10.5452,6.712,-1.82197,8.71501
2.9887,10.54714,6.71228,-1.84358,8.71697
3.0084,10.54904,6.71252,-1.86468,8.71887
3.028,10.55089,6.71277,-1.88533,8.72074
3.0482,10.55272,6.71303,-1.90556,8.72259
3.068,10.55455,6.71333,-1.92507,8.72443
3.088,10.55633,6.71366,-1.94402,8.72625
3.1081,10.55808,6.71393,-1.96271,8.72802
3.1292,10.5598,6.71415,-1.98115,8.72975
3.1485,10.56151,6.71436,-1.99908,8.73146
3.1679,10.56319,6.71461,-2.01625,8.73316
3.1895,10.56484,6.71489,-2.03283,8.73483
3.2099,10.56645,6.71512,-2.04912,8.73645
3.2296,10.56801,6.7153,-2.06512,8.73803
3.2495,10.56956,6.71548,-2.08058,8.73958
3.2702,10.57109,6.71571,-2.09522,8.74112
3.29,10.57257,6.71596,-2.10926,8.74263
3.3096,10.57401,6.71618,-2.12296,8.74408
3.3302,10.57541,6.71636,-2.13636,8.74549
3.3498,10.57678,6.71653,-2.14917,8.74686
3.3699,10.57813,6.71676,-2.16116,8.74823
3.3896,10.57944,6.71703,-2.17251,8.74956
3.4099,10.58069,6.71726,-2.1835,8.75084
3.4296,10.58189,6.71746,-2.19417,8.75206
3.4505,10.58307,6.71766,-2.20423,8.75325
3.4694,10.58423,6.71792,-2.21344,8.75444
3.4903,10.58535,6.71822,-2.22198,8.7556
3.5096,10.58641,6.7185,-2.23015,8.75669
3.53,10.58741,6.71876,-2.23797,8.75773
3.5502,10.5883,6.71897,-2.24476,8.75864
3.57,10.58918,6.71925,-2.25071,8.75955
3.5896,10.59,6.71955,-2.25614,8.76041
3.6097,10.59077,6.71983,-2.2613,8.76123
3.6295,10.59154,6.7201,-2.26644,8.76204
3.6503,10.59213,6.72034,-2.26984,8.76266
3.6694,10.59269,6.72058,-2.27273,8.76326
3.6895,10.59323,6.72084,-2.27545,8.76384
3.7099,10.59375,6.72112,-2.27804,8.76441
3.7297,10.59427,6.72141,-2.28061,8.76497
3.7502,10.59455,6.72171,-2.28078,8.76531
3.7696,10.59482,6.72201,-2.28081,8.76563
3.7895,10.59508,6.72232,-2.28084,8.76594
3.8094,10.59534,6.72262,-2.28086,8.76626
3.8294,10.5956,6.72292,-2.28089,8.76658
3.8526,10.59562,6.72323,-2.27847,8.76666
3.8695,10.59561,6.72355,-2.2759,8.76671
3.8893,10.5956,6.72386,-2.27333,8.76676
3.9096,10.59559,6.72417,-2.27075,8.76681
3.9296,10.59558,6.72448,-2.26818,8.76686
3.9497,10.59535,6.72481,-2.26336,8.7667
3.9698,10.5951,6.72514,-2.25841,8.76652
3.9898,10.59485,6.72547,-2.25346,8.76633
4.0094,10.59459,6.72579,-2.24851,8.76615
4.0304,10.59433,6.72612,-2.24357,8.76596
4.0494,10.59412,6.72627,-2.24049,8.76578
4.0694,10.59395,6.72639,-2.23801,8.76564
4.0901,10.5938,6.72651,-2.23561,8.76551
4.1098,10.59365,6.72663,-2.23321,8.76539
4.1297,10.59349,6.72675,-2.2308,8.76526
4.1501,10.59348,6.72676,-2.23071,8.76525
4.17,10.59348,6.72676,-2.23071,8.76525
4.1895,10.59348,6.72676,-2.23071,8.76525
