t,x,y,yaw,dist
2.2518,1.96867,4.98649,-0.28644,8.83
2.2713,1.96878,4.98975,-0.32549,8.8293
2.2916,1.9689,4.99293,-0.36355,8.8286
2.3116,1.96909,4.99605,-0.40089,8.82784
2.331,1.96937,4.9991,-0.43751,8.82702
2.3512,1.96966,5.00207,-0.47316,8.8262
2.3714,1.97007,5.00497,-0.50825,8.82527
2.3914,1.97063,5.00782,-0.54286,8.8242
2.4115,1.97134,5.01059,-0.57697,8.82301
2.4315,1.97211,5.0133,-0.61028,8.82176
2.4515,1.97287,5.01593,-0.64254,8.82054
2.4714,1.97372,5.01849,-0.67409,8.81924
2.4915,1.9747,5.02096,-0.7051,8.81784
2.5122,1.97575,5.02338,-0.73599,8.81637
2.5314,1.97683,5.02575,-0.76632,8.81488
2.5511,1.97789,5.02804,-0.7956,8.81343
2.571,1.979,5.03024,-0.82411,8.81195
2.5912,1.98018,5.03238,-0.85243,8.81041
2.6122,1.98142,5.03449,-0.88074,8.80881
2.6314,1.98267,5.03654,-0.90851,8.80722
2.6514,1.98389,5.03852,-0.93526,8.80566
2.6716,1.98512,5.04042,-0.96118,8.80411
2.6914,1.98641,5.04226,-0.98695,8.80252
2.7113,1.98774,5.04407,-1.01271,8.80089
2.731,1.98908,5.04583,-1.03796,8.79926
2.7511,1.99038,5.04752,-1.06223,8.79768
2.7711,1.99166,5.04915,-1.08561,8.79613
2.7914,1.99298,5.05072,-1.1088,8.79456
2.8114,1.99433,5.05227,-1.132,8.79296
2.8314,1.99568,5.05377,-1.1547,8.79136
2.851,1.99699,5.0552,-1.17647,8.78982
2.8722,1.99827,5.05658,-1.19734,8.78832
2.8912,1.99955,5.05793,-1.21793,8.78682
2.9119,2.00086,5.05925,-1.23853,8.7853
2.9311,2.00217,5.06053,-1.25866,8.78379
2.9515,2.00343,5.06175,-1.27792,8.78234
2.971,2.00465,5.06292,-1.29632,8.78093
2.9917,2.00586,5.06408,-1.31435,8.77954
3.0116,2.00709,5.06522,-1.33237,8.77813
3.0317,2.0083,5.06632,-1.34996,8.77674
3.0517,2.00948,5.06737,-1.36673,8.7754
3.0715,2.01061,5.06837,-1.3827,8.77411
3.0912,2.01171,5.06938,-1.3982,8.77285
3.1115,2.01282,5.07037,-1.41366,8.77158
3.1313,2.01392,5.07134,-1.4287,8.77033
3.1511,2.01497,5.07226,-1.44298,8.76913
3.1711,2.01598,5.07313,-1.45651,8.76798
3.1911,2.01696,5.07401,-1.46957,8.76687
3.2116,2.01793,5.07491,-1.48245,8.76576
3.2313,2.01888,5.07578,-1.49495,8.76467
3.2512,2.01979,5.07661,-1.50673,8.76363
3.2714,2.02066,5.07739,-1.51782,8.76264
3.2909,2.02148,5.07818,-1.52847,8.76169
3.3113,2.0223,5.07901,-1.53885,8.76075
3.3326,2.02309,5.07982,-1.54883,8.75982
3.3521,2.02384,5.08058,-1.55813,8.75895
3.3724,2.02454,5.08131,-1.56679,8.75814
3.3912,2.02521,5.08204,-1.57498,8.75736
3.4122,2.02586,5.08281,-1.58291,8.75658
3.4316,2.02644,5.08349,-1.58987,8.75589
3.451,2.02697,5.08413,-1.59618,8.75526
3.4716,2.02746,5.08475,-1.6019,8.75467
3.4911,2.02792,5.0854,-1.60732,8.7541
3.5122,2.02837,5.08609,-1.61251,8.75354
3.5316,2.02868,5.08661,-1.61601,8.75314
3.5515,2.02894,5.08711,-1.61887,8.7528
3.5711,2.02918,5.08763,-1.62149,8.75247
3.5912,2.02942,5.08816,-1.62409,8.75215
3.6112,2.02966,5.08869,-1.62669,8.75182
3.6315,2.0297,5.08911,-1.62692,8.7517
3.6516,2.02973,5.08951,-1.62695,8.75161
3.6712,2.02975,5.08991,-1.62697,8.75152
3.6913,2.02978,5.09031,-1.627,8.75142
