t,x,y,yaw,dist
2.2908,2.34947,4.85057,-1.30068,8.48289
2.3109,2.35145,4.8451,-1.30589,8.48207
2.3306,2.35341,4.83961,-1.311,8.4813
2.3508,2.35533,4.83409,-1.31604,8.48057
2.3717,2.3572,4.82856,-1.32099,8.47989
2.3908,2.35886,4.82296,-1.32362,8.47944
2.4109,2.36047,4.81736,-1.32581,8.47904
2.4307,2.36205,4.81173,-1.32787,8.47868
2.4509,2.36361,4.80609,-1.32982,8.47835
2.4718,2.36516,4.80044,-1.33175,8.47803
2.4907,2.3665,4.79477,-1.33126,8.47792
2.5107,2.36784,4.7891,-1.33062,8.47783
2.5309,2.36917,4.78343,-1.32998,8.47774
2.5506,2.37051,4.77776,-1.32934,8.47765
2.571,2.37186,4.77209,-1.3287,8.47755
2.5907,2.37316,4.76645,-1.32764,8.4775
2.6121,2.37447,4.76082,-1.32657,8.47744
2.6316,2.37579,4.75518,-1.32551,8.47737
2.6516,2.37712,4.74955,-1.32445,8.47731
2.6708,2.37845,4.74392,-1.32339,8.47724
2.6906,2.37977,4.73831,-1.32222,8.47718
2.7106,2.3811,4.73269,-1.32105,8.47712
2.7309,2.38243,4.72708,-1.31988,8.47705
2.7509,2.38378,4.72147,-1.31871,8.47699
2.7719,2.38513,4.71586,-1.31753,8.47692
2.7907,2.3865,4.71024,-1.31651,8.47683
2.811,2.38789,4.7046,-1.31555,8.47674
2.8306,2.38928,4.69897,-1.31458,8.47664
2.8514,2.39067,4.69334,-1.31361,8.47655
2.8717,2.39207,4.68772,-1.31265,8.47645
2.8919,2.39349,4.68208,-1.31173,8.47635
2.9126,2.3949,4.67645,-1.31081,8.47624
2.9321,2.39633,4.67082,-1.30989,8.47613
2.9522,2.39776,4.66519,-1.30897,8.47603
2.9727,2.39919,4.65956,-1.30806,8.47592
2.9935,2.40063,4.65393,-1.30715,8.47581
3.0136,2.40208,4.6483,-1.30625,8.47569
3.0335,2.40353,4.64268,-1.30535,8.47558
3.0547,2.40498,4.63705,-1.30445,8.47546
3.074,2.40644,4.63143,-1.30355,8.47535
3.0936,2.40791,4.6258,-1.30267,8.47523
3.1142,2.40938,4.62018,-1.3018,8.47511
3.1339,2.41086,4.61455,-1.30092,8.47498
3.1538,2.41235,4.60893,-1.30005,8.47486
3.1738,2.41384,4.60331,-1.29917,8.47474
3.1938,2.41533,4.59769,-1.29828,8.47461
3.214,2.41682,4.59208,-1.29738,8.47449
3.2346,2.41832,4.58646,-1.29649,8.47436
3.256,2.41983,4.58085,-1.29559,8.47423
3.2768,2.42134,4.57524,-1.2947,8.47411
3.2988,2.42286,4.56963,-1.29381,8.47397
3.3189,2.42438,4.56402,-1.29293,8.47384
3.3386,2.42591,4.55841,-1.29205,8.47371
3.3586,2.42744,4.5528,-1.29117,8.47357
3.3818,2.42898,4.54719,-1.29028,8.47344
3.4015,2.43052,4.54159,-1.28939,8.4733
3.4213,2.43207,4.53599,-1.2885,8.47317
3.4415,2.43362,4.53039,-1.28761,8.47303
3.461,2.43518,4.52479,-1.28672,8.47289
3.4821,2.43674,4.51919,-1.28582,8.47275
3.5025,2.4383,4.51359,-1.28493,8.47261
3.5225,2.43988,4.508,-1.28404,8.47246
3.5426,2.44145,4.5024,-1.28314,8.47232
3.5625,2.44303,4.49681,-1.28225,8.47217
3.5837,2.44462,4.49122,-1.28135,8.47203
3.6027,2.44621,4.48563,-1.28046,8.47188
3.6225,2.44781,4.48004,-1.27956,8.47173
3.6424,2.44941,4.47446,-1.27866,8.47158
3.6638,2.45101,4.46887,-1.27777,8.47143
3.6839,2.45262,4.46329,-1.27687,8.47128
3.7035,2.45424,4.45771,-1.27598,8.47112
3.7236,2.45586,4.45213,-1.27508,8.47097
3.7439,2.45749,4.44655,-1.27418,8.47081
3.764,2.45912,4.44097,-1.27329,8.47065
3.7837,2.46075,4.43539,-1.27239,8.4705
3.8033,2.46239,4.42982,-1.2715,8.47034
3.8245,2.46404,4.42424,-1.2706,8.47017
3.8437,2.46569,4.41867,-1.2697,8.47001
3.8637,2.46735,4.4131,-1.26881,8.46985
3.8839,2.46901,4.40753,-1.26791,8.46968
3.9037,2.47067,4.40196,-1.26702,8.46952
3.9236,2.47234,4.3964,-1.26612,8.46935
