limiar,anda_util_m,freou_s,v_ao_soltar,sobra_m,total_m,x,y
0.3,0.0398,0.0,0.126,0.102,0.1419,4.9,1.643
0.25,0.1005,0.079,0.127,0.0117,0.1246,4.991,1.631
0.2,0.119,0.44,0.198,-0.0413,0.1871,4.952,1.59
0.15,0.0628,0.18,0.127,0.0436,0.1234,5.005,1.565
0.1,0.1129,0.34,0.099,-0.0282,0.1426,5.028,1.55
