limiar,anda_util_m,freou_s,v_ao_soltar,sobra_m,total_m,x,y
0.9,0.0317,0.549,-0.127,-0.1155,-0.0936,7.407,-0.985
0.9,0.2272,0.0,0.255,0.0483,0.2754,7.748,-1.048
0.9,0.0792,0.0,0.144,0.0309,0.1101,7.592,-0.991
