wz_pedido,wz_real,v_real,varrido_deg,x,y
0.0,-0.1162,0.2153,-19.98,-1.208,17.829
0.15,-0.0416,0.2426,-7.15,-1.191,17.617
-0.15,-0.1183,0.096,-20.33,-1.274,17.618
0.3,-0.0013,0.1914,-0.22,-1.317,17.416
-0.3,-0.2966,0.3155,-50.98,-1.691,17.042
0.5,0.0503,0.1715,8.65,-1.681,17.187
-0.5,-0.3776,0.2623,-64.9,-1.995,17.358
