t_wall,topic,vx,wz,px,py,extra
1787278340.978,odom,0.0000,0.0000,6.140,10.000,
1787278340.998,odom,0.0000,0.0000,6.140,10.000,
1787278341.019,/auto_vel_raw,0.0000,0.0000,,,
1787278341.019,odom,0.0000,0.0000,6.140,10.000,
1787278341.038,odom,0.0000,0.0000,6.140,10.000,
1787278341.059,odom,0.0000,0.0000,6.140,10.000,
1787278341.069,/auto_vel_raw,0.0000,0.0000,,,
1787278341.082,odom,0.0000,0.0000,6.140,10.000,
1787278341.103,odom,0.0000,0.0000,6.140,10.000,
1787278341.124,/auto_vel_raw,0.0000,0.0000,,,
1787278341.125,odom,0.0000,0.0000,6.140,10.000,
1787278341.145,odom,0.0000,0.0000,6.140,10.000,
1787278341.166,odom,0.0000,0.0000,6.140,10.000,
1787278341.175,/auto_vel_raw,0.0000,0.0000,,,
1787278341.185,odom,0.0000,0.0000,6.140,10.000,
1787278341.204,odom,0.0000,0.0000,6.140,10.000,
1787278341.228,/auto_vel_raw,0.0000,0.0000,,,
1787278341.228,odom,0.0000,0.0000,6.140,10.000,
1787278341.254,odom,0.0000,0.0000,6.140,10.000,
1787278341.278,odom,0.0000,0.0000,6.140,10.000,
1787278341.293,/auto_vel_raw,0.0000,0.0000,,,
1787278341.303,odom,0.0000,0.0000,6.140,10.000,
1787278341.328,odom,0.0000,0.0000,6.140,10.000,
1787278341.351,odom,0.0000,0.0000,6.140,10.000,
1787278341.353,/auto_vel_raw,0.0000,0.0000,,,
1787278341.373,odom,0.0000,0.0000,6.140,10.000,
1787278341.392,odom,0.0000,0.0000,6.140,10.000,
1787278341.401,/auto_vel_raw,0.0000,0.0000,,,
1787278341.411,odom,0.0000,0.0000,6.140,10.000,
1787278341.432,odom,0.0000,0.0000,6.140,10.000,
1787278341.453,odom,0.0000,0.0000,6.140,10.000,
1787278341.455,/auto_vel_raw,0.0000,0.0000,,,
1787278341.479,odom,0.0000,0.0000,6.140,10.000,
1787278341.503,odom,0.0000,0.0000,6.140,10.000,
1787278341.513,/auto_vel_raw,0.0000,0.0000,,,
1787278341.522,odom,0.0000,0.0000,6.140,10.000,
1787278341.524,/auto_vel,0.0000,0.0000,,,
1787278341.525,/compensador_rumo/cmd_vel,0.0000,0.0000,,,
1787278341.525,/cmd_vel_bruto,0.0000,0.0000,,,
