t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
31.1,seguindo,0.4847,-0.0417,-0.0803,-0.1273,-0.047,0.5,5.2165,7.7046,0.37,0.8617,-0.0899,0.0173
31.15,seguindo,0.5021,-0.0433,-0.0777,-0.1173,-0.0397,0.5,5.1999,4.7515,0.37,0.9117,-0.0916,0.0173
31.2,seguindo,0.5137,-0.0443,-0.0759,-0.1181,-0.0423,0.5,5.1889,4.7515,0.37,0.9117,-0.0916,0.0173
31.25,seguindo,0.531,-0.0458,-0.0731,-0.1195,-0.0464,0.5,5.1723,4.7515,0.37,0.9117,-0.0916,0.0175
31.3,seguindo,0.5426,-0.0468,-0.0712,-0.1091,-0.0378,0.5,5.1613,3.9349,0.37,0.9617,-0.0927,0.0176
31.35,seguindo,0.56,-0.0483,-0.0685,-0.1173,-0.0488,0.5,5.139,3.9349,0.37,0.9559,-0.0949,0.0196
31.4,seguindo,0.5716,-0.0492,-0.0667,-0.1184,-0.0517,0.5,5.1279,3.9349,0.37,0.9559,-0.0949,0.0199
31.45,seguindo,0.5889,-0.0506,-0.0639,-0.1082,-0.0443,0.5,5.1113,3.8361,0.37,1.0059,-0.0959,0.0203
31.5,seguindo,0.6005,-0.0514,-0.0621,-0.1092,-0.0471,0.5,5.1003,3.8361,0.37,1.0059,-0.0959,0.0207
31.55,seguindo,0.6179,-0.0527,-0.0594,-0.1107,-0.0514,0.5,5.0837,3.8361,0.37,1.0059,-0.0959,0.0212
31.6,seguindo,0.6295,-0.0536,-0.0576,-0.112,-0.0544,0.5,5.0726,3.8361,0.37,1.0059,-0.0959,0.0216
31.65,seguindo,0.6469,-0.0547,-0.0549,-0.1019,-0.047,0.5,5.056,4.1844,0.37,1.0559,-0.0966,0.0221
31.7,seguindo,0.6585,-0.0555,-0.0531,-0.1029,-0.0498,0.5,5.0449,4.1844,0.37,1.0559,-0.0966,0.0226
31.75,seguindo,0.6759,-0.0566,-0.0504,-0.1047,-0.0543,0.5,5.0282,4.1844,0.37,1.0559,-0.0966,0.023
31.8,seguindo,0.6875,-0.0574,-0.0486,-0.0421,0.0065,0.5,5.0171,5.2367,1.0,1.7059,-0.1003,0.0234
31.85,seguindo,0.7049,-0.0584,-0.046,-0.0418,0.0042,0.5,5.0005,5.2367,1.0,1.7059,-0.1003,0.0239
31.9,seguindo,0.7165,-0.0591,-0.0442,-0.0416,0.0026,0.5,4.9894,5.2367,1.0,1.7059,-0.1003,0.0242
31.95,seguindo,0.7339,-0.06,-0.0415,-0.0396,0.0019,0.5,4.9727,6.7098,1.0,1.7559,-0.1005,0.0246
32.0,seguindo,0.7455,-0.0607,-0.0397,-0.0394,0.0003,0.5,4.9616,6.7098,1.0,1.7559,-0.1005,0.0248
32.05,seguindo,0.7629,-0.0615,-0.037,-0.0392,-0.0022,0.5,4.9449,6.7098,1.0,1.7559,-0.1005,0.0252
32.1,seguindo,0.7745,-0.0621,-0.0352,-0.0391,-0.0038,0.5,4.9338,6.7098,1.0,1.7559,-0.1005,0.0254
32.15,seguindo,0.7919,-0.0629,-0.0326,-0.0373,-0.0047,0.5,4.9171,9.0531,1.0,1.8059,-0.1007,0.0256
32.2,seguindo,0.8036,-0.0634,-0.0308,-0.0372,-0.0064,0.5,4.9059,9.0531,1.0,1.8059,-0.1007,0.0259
32.25,seguindo,0.821,-0.0642,-0.0281,-0.038,-0.0099,0.5,4.8862,9.0531,1.0,1.8014,-0.1014,0.0215
32.3,seguindo,0.8326,-0.0646,-0.0263,-0.0366,-0.0103,0.5,4.875,12.751,1.0,1.8514,-0.1019,0.0216
32.35,seguindo,0.85,-0.0653,-0.0236,-0.0366,-0.013,0.5,4.8583,12.751,1.0,1.8514,-0.1019,0.0219
32.4,seguindo,0.8674,-0.0659,-0.0209,-0.0366,-0.0157,0.5,4.8415,12.751,1.0,1.8514,-0.1019,0.022
32.45,seguindo,0.8791,-0.0663,-0.0191,-0.0354,-0.0162,0.5,4.8303,18.6229,1.0,1.9014,-0.1024,0.0221
32.5,seguindo,0.8907,-0.0666,-0.0173,-0.0354,-0.0181,0.5,4.8192,18.6229,1.0,1.9014,-0.1024,0.0222
32.55,seguindo,0.9081,-0.0671,-0.0147,-0.0355,-0.0209,0.5,4.8024,18.6229,1.0,1.9014,-0.1024,0.0224
32.6,seguindo,0.9197,-0.0674,-0.0129,-0.0356,-0.0228,0.5,4.7912,18.6229,1.0,1.9014,-0.1024,0.0225
32.65,seguindo,0.9371,-0.0679,-0.0102,-0.0346,-0.0244,0.5,4.7744,28.0558,1.0,1.9514,-0.1029,0.0226
32.7,seguindo,0.9488,-0.0681,-0.0084,-0.0347,-0.0263,0.5,4.7632,28.0558,1.0,1.9514,-0.1029,0.0227
32.75,seguindo,0.9662,-0.0684,-0.0057,-0.035,-0.0293,0.5,4.7464,28.0558,1.0,1.9514,-0.1029,0.0228
32.8,seguindo,0.9778,-0.0687,-0.0039,-0.034,-0.0301,0.5,4.7352,43.4158,1.0,2.0014,-0.1034,0.0229
32.85,seguindo,0.9952,-0.0689,-0.0012,-0.0343,-0.0331,0.5,4.7184,43.4158,1.0,2.0014,-0.1034,0.023
32.9,seguindo,1.0069,-0.0691,0.0006,-0.0345,-0.0351,0.5,4.7072,43.4158,1.0,2.0014,-0.1034,0.0232
32.95,seguindo,1.0243,-0.0693,0.0032,-0.035,-0.0382,0.5,4.6904,43.4158,1.0,2.0014,-0.1034,0.0233
33.0,seguindo,1.0359,-0.0693,0.005,-0.0341,-0.0391,0.5,4.6791,68.7763,1.0,2.0514,-0.1039,0.0234
33.05,seguindo,1.0534,-0.0695,0.0077,-0.0345,-0.0423,0.5,4.6623,68.7763,1.0,2.0514,-0.1039,0.0237
33.1,seguindo,1.065,-0.0695,0.0095,-0.0349,-0.0444,0.5,4.6511,68.7763,1.0,2.0514,-0.1039,0.0238
33.15,seguindo,1.0824,-0.0695,0.0122,-0.0416,-0.0538,0.5,4.6381,111.2184,1.0,2.1052,-0.1121,0.0244
33.2,seguindo,1.094,-0.0695,0.014,-0.0421,-0.0561,0.5,4.6268,111.2184,1.0,2.1052,-0.1121,0.0247
33.25,seguindo,1.1115,-0.0695,0.0167,-0.0429,-0.0595,0.5,4.6099,111.2184,1.0,2.1052,-0.1121,0.0251
33.3,seguindo,1.1231,-0.0694,0.0184,-0.0434,-0.0619,0.5,4.5986,111.2184,1.0,2.1052,-0.1121,0.0254
33.35,seguindo,1.1405,-0.0693,0.0211,-0.043,-0.0641,0.5,4.5817,183.168,1.0,2.1552,-0.113,0.0259
33.4,seguindo,1.1522,-0.0692,0.0229,-0.0436,-0.0665,0.5,4.5705,183.168,1.0,2.1552,-0.113,0.0263
33.45,seguindo,1.1696,-0.069,0.0256,-0.0446,-0.0701,0.5,4.5535,183.168,1.0,2.1552,-0.113,0.0268
33.5,seguindo,1.1812,-0.0688,0.0273,-0.0439,-0.0712,0.5,4.5422,306.6297,1.0,2.2052,-0.1138,0.0272
33.55,seguindo,1.1987,-0.0685,0.0299,-0.045,-0.0749,0.5,4.5253,306.6297,1.0,2.2052,-0.1138,0.0278
33.6,seguindo,1.2103,-0.0683,0.0317,-0.0457,-0.0774,0.5,4.514,306.6297,1.0,2.2052,-0.1138,0.0283
33.65,seguindo,1.2277,-0.068,0.0345,-0.0469,-0.0813,0.5,4.4971,306.6297,1.0,2.2052,-0.1138,0.0289
