x,y
-0.039000004529953,-0.043999478220939636
0.010999996215105057,-0.043999479608139075
0.060999996960163116,-0.04399948176215199
0.11099999770522118,-0.04399948586489748
0.16099999845027924,-0.04399949414772372
0.2109999991953373,-0.04399951107573621
0.26099999994039536,-0.0439995456914251
0.3110000006854534,-0.04399961630563674
0.3610000014305115,-0.043999759876982826
0.41100000217556953,-0.04400005068063844
0.4610000029206276,-0.04400063724879106
0.5110000036656857,-0.04400181496979849
0.5610000044107437,-0.0440041676655463
0.6110000051558018,-0.0440088412485609
0.6610000059008598,-0.04401806729827537
0.7110000066459179,-0.044036152920588593
0.761000007390976,-0.04407132593583379
0.811000008136034,-0.044139116607459505
0.8610000088810921,-0.04426842764442653
0.9110000096261501,-0.044512147098157095
0.9610000103712082,-0.04496507912739951
1.0110000111162663,-0.045792851139986955
1.0610000118613243,-0.04727541922132039
1.1110000126063824,-0.049865548245357695
1.1610000133514404,-0.05425121789094164
1.2110000140964985,-0.06138235952893063
1.2610000148415565,-0.07236553715263258
1.3110000155866146,-0.0880488167240053
1.3610000163316727,-0.10810407482598439
1.4110000170767307,-0.1298948841611452
1.4610000178217888,-0.1499501424342659
1.5110000185668468,-0.16563342244185483
1.561000019311905,-0.17661660100512866
1.611000020056963,-0.18374774459581095
1.6610000208020208,-0.18813341825815208
1.7110000215470782,-0.19072355550549822
1.7610000222921351,-0.19220614035986633
1.8110000230371903,-0.19303394645881866
1.8610000237822424,-0.19348694748731293
1.9110000245272876,-0.19373080601607026
1.9610000252723179,-0.19386039605768343
2.0110000260173173,-0.19392874355190148
2.0610000267622497,-0.19396502144593902
2.1110000275070413,-0.19398528532660128
2.1610000282515336,-0.19399877471468924
2.2110000289953953,-0.19401172416680135
2.2610000297379287,-0.19402999113957503
2.3110000304776706,-0.19406144045815954
2.3610000312115598,-0.19411888125809706
2.4110000319331997,-0.19422435628694876
2.461000032629256,-0.1944156016379076
2.5110000332719906,-0.1947552255486198
2.56100003380382,-0.19534190093218326
2.6110000341054747,-0.19631914434120484
2.6610000339305047,-0.19786830471573977
2.711000032770947,-0.20015421375081632
2.761000029582671,-0.20316255363460284
2.8110000222256857,-0.2063429125216487
2.8610000063277945,-0.20804003548438627
2.910999972986677,-0.20520101527226295
2.96099990414342,-0.19592213952620463
3.0109997633129293,-0.17968766809095538
3.0609994771108306,-0.15747518702168312
3.1109988986585235,-0.12987660432129353
3.16099773557386,-0.09817793208673276
3.2109954093454154,-0.06318673281418756
3.2609907830676015,-0.024384896876278848
3.3109816395169145,0.01794182801412636
3.3609636921222674,0.06301544633659863
3.4109287360983793,0.11000470455034052
3.4608612480162657,0.15823320485449763
3.5107322546983504,0.20722153963048986
3.5604885495727903,0.25665750732419906
3.610034323409851,0.3063491626707861
3.6592011925460537,0.35618331757067456
3.707702217537512,0.40609530048412745
3.755067875350255,0.45604904899988313
3.8005716615836236,0.5060248099248241
3.843178416921749,0.556011850931235
3.881600157196489,0.6060042402824515
3.914619067901869,0.655998381689266
3.941850373181559,0.7059914430692596
3.9646639742441128,0.755980076551923
3.9845897344257666,0.8059589097492366
4.002258980979309,0.8559181985518399
4.0194849948850715,0.905839742149246
4.038890812542683,0.9556896105942368
4.063157567065381,1.0054053449897165
4.093996674019421,1.0548740240390755
4.130965260834869,1.1038961249458132
4.172663960775729,1.1521292351239898
4.217625854305505,1.1990076398852487
4.26467910321098,1.2436437634908808
4.31300479376429,1.2847451087933568
4.362075353690109,1.3206390917402124
4.411569150186511,1.3495894723479598
4.46129780283297,1.3706307175141734
4.5111542910649725,1.3847244471075024
4.561079258614429,1.3936013085004026
4.611040418446055,1.3989243117973922
4.661020487527169,1.4019686862648937
4.711010338292893,1.4035908051697707
4.761005205361957,1.4043009091771619
4.811002625342944,1.4043452809600887
4.861001335783943,1.4037625271769434
4.911000694597552,1.4024085560619586
4.9610003774096505,1.3999618774601572
5.0110002213336795,1.3959392799436212
5.061000145015926,1.389780716155133
5.111000108022093,1.3810925071626523
5.161000090344406,1.3700901235978082
5.211000082122468,1.3578262514573212
5.261000078514682,1.343798695849019
5.311000077151718,1.326305198380622
5.361000076877509,1.3032906562651663
5.411000077129148,1.2734945464376333
5.461000077632332,1.2377502814563455
5.5110000782517234,1.1978967828223035
5.56100007891655,1.1560005396604538
