x,y
-0.039000004529953,-0.043999478220939636
0.010999996215105057,-0.04399952815101488
0.060999996960163116,-0.04399959910771295
0.11099999770522118,-0.04399972049017617
0.16099999845027924,-0.04399994153565063
0.2109999991953373,-0.04400034999620896
0.26099999994039536,-0.04400110448007776
0.3110000006854534,-0.044002491178324686
0.3610000014305115,-0.044005022962362715
0.41100000217556953,-0.0440096107535355
0.4610000029206276,-0.04401785602628779
0.5110000036656857,-0.04403254250808926
0.5610000044107437,-0.044058448358209885
0.6110000051558018,-0.04410366079207797
0.6610000059008598,-0.04418165411667394
0.7110000066459179,-0.04431448300619503
0.761000007390976,-0.04453752333796211
0.811000008136034,-0.04490621151686798
0.8610000088810921,-0.0455050911058099
0.9110000096261501,-0.046459009206390685
0.9610000103712082,-0.04794528541758889
1.0110000111162663,-0.050203859910265845
1.0610000118613243,-0.05353971986311324
1.1110000126063824,-0.058308712957913116
1.1610000133514404,-0.06487566682852075
1.2110000140964985,-0.07353571330323203
1.2610000148415565,-0.0844006184343729
1.3110000155866144,-0.09727557570690684
1.3610000163316718,-0.11158403628067344
1.4110000170767287,-0.12641493506929413
1.4610000178217843,-0.14072340110451048
1.511000018566837,-0.1535983715400002
1.5610000193118845,-0.16446330287586458
1.6110000200569208,-0.17312339905889737
1.6610000208019347,-0.1796904456006796
1.7110000215469037,-0.18445960980513784
1.761000022291783,-0.18779578320225299
1.811000023036482,-0.19005492735512092
1.8610000237808215,-0.19154223023141004
1.9110000245244443,-0.19249798188469175
1.961000025266642,-0.1931001036821194
2.011000026006014,-0.19347446260235873
2.0610000267397965,-0.1937073020060999
2.111000027462554,-0.1938568371909076
2.1610000281636266,-0.19396288574447312
2.2110000288221716,-0.19405441345311314
2.261000029397573,-0.19415530007399043
2.311000029810946,-0.19428866040475096
2.3610000299096305,-0.1944798055597765
2.4110000293993075,-0.19475742717087452
2.4610000277148005,-0.19515182061653677
2.5110000237753876,-0.19568795433425346
2.561000015523736,-0.19637013639713372
2.6109999990619484,-0.19715451228606515
2.660999967042182,-0.19790687043221727
2.7109999056877387,-0.19834813758240966
2.7609997893169123,-0.19800035754469988
2.810999570350637,-0.1961611189272216
2.8609991612259273,-0.19194600171218845
2.910998401945029,-0.18442607843305867
2.9609970024101058,-0.1728274108502698
3.0109944410313645,-0.15667833056511718
3.060989788528605,-0.13584404821041965
3.110981405703207,-0.11045935506839104
3.160966432565185,-0.0808298405894268
3.2109399389487905,-0.04733269431465862
3.2608935387608975,-0.010367210723613325
3.3108131780456045,0.02963382890625061
3.3606756937442004,0.07219884417852496
3.4104436218235192,0.11684052545733989
3.4600576537256553,0.16309310763898138
3.5094261877400887,0.21054485174719792
3.5584117514097215,0.2588561393298172
3.606814910948019,0.3077628965298905
3.6543579023208363,0.3570697344525538
3.7006727930708014,0.40663794648560286
3.745302298193995,0.456372313327396
3.7877243094654234,0.5062090258599198
3.827411166724084,0.556105672643105
3.8639276460799055,0.6060333438653074
3.8970540698307254,0.6559704087137328
3.9268959014569518,0.7058972838473778
3.9539273975324547,0.7557913952599264
3.9789478581168094,0.8056214568066643
4.003004123602723,0.855340110384485
4.02730832497123,0.9048739164451818
4.05310014163475,0.9541097395169105
4.0814543579667335,1.0028769198484253
4.1130931664235355,1.0509255365642542
4.148286925524527,1.0979028956063
4.186893065170747,1.143333393123057
4.228487420506884,1.186610980619123
4.2725148806373845,1.2270174511913594
4.318409888607861,1.2637807802330863
4.36567015138083,1.2961809023996298
4.4138885256890035,1.3236906143802047
4.462756373275847,1.346108157994839
4.512051569352606,1.363614369548975
4.561620795990596,1.3767108402831945
4.61136182026732,1.3860820858765102
4.661208428576796,1.3924483814552469
4.711118791573511,1.3964524991729639
4.761067049096331,1.3985929358851528
4.811037513448451,1.3991973296519729
4.8610208258766185,1.398424013026652
4.911011485901186,1.3962817612425191
4.961006303641763,1.3926620540415957
5.011003451388479,1.3873802114266633
5.061001893316252,1.3802188038757206
5.11100104821439,1.3709588334148801
5.161000592923525,1.3593778440662512
5.21100034926296,1.3452060409727096
5.261000219742846,1.328079853614374
5.3110001513966605,1.30758835727533
5.361000115625812,1.2834248435124052
5.41100009706024,1.2555764670737923
5.461000087440814,1.224451911734101
5.5110000822641885,1.1908790976747567
5.56100007891655,1.1560005396604538
