limiar,giro_total_deg,freou_s,wz_ao_soltar,sobra_deg,x,y
1.1,27.28,0.174,0.609,16.96,-0.068,-0.082
1.0,27.74,0.221,0.612,16.73,-0.073,-0.115
0.9,13.82,0.278,0.605,3.53,-0.065,-0.128
0.8,27.77,0.22,0.626,16.74,-0.049,-0.16
0.9,26.98,0.18,0.61,16.69,-0.02,-0.176
1.0,27.67,0.22,0.622,16.63,0.016,-0.185
