t_s,hex
10.6423,aa550108000000000000000009
45.1199,aa550108000088ff000088ff09
45.1711,aa550108000088ff000088ff09
45.2210,aa550108000088ff000088ff09
45.2709,aa550108000088ff000088ff09
45.3210,aa550108000088ff000088ff09
45.3709,aa550108000088ff000088ff09
45.4209,aa550108000088ff000088ff09
45.4708,aa550108000088ff000088ff09
45.5208,aa550108000088ff000088ff09
45.5709,aa550108000088ff000088ff09
45.6205,aa550108000088ff000088ff09
45.6700,aa550108000088ff000088ff09
45.7192,aa550108000088ff000088ff09
45.7695,aa550108000088ff000088ff09
45.8194,aa550108000088ff000088ff09
45.8703,aa550108000088ff000088ff09
45.9206,aa550108000088ff000088ff09
45.9706,aa550108000088ff000088ff09
46.0209,aa550108000088ff000088ff09
46.0706,aa550108000088ff000088ff09
46.1206,aa550108000088ff000088ff09
46.1707,aa550108000088ff000088ff09
46.2208,aa550108000088ff000088ff09
46.2707,aa550108000088ff000088ff09
46.3208,aa550108000088ff000088ff09
46.3700,aa550108000088ff000088ff09
46.4198,aa550108000088ff000088ff09
46.4691,aa550108000088ff000088ff09
46.5196,aa550108000088ff000088ff09
46.5695,aa550108000088ff000088ff09
46.6205,aa550108000088ff000088ff09
46.6705,aa550108000088ff000088ff09
46.7208,aa550108000088ff000088ff09
46.7707,aa550108000088ff000088ff09
46.8208,aa550108000088ff000088ff09
46.8709,aa550108000088ff000088ff09
46.9209,aa550108000088ff000088ff09
46.9708,aa550108000088ff000088ff09
47.0208,aa550108000088ff000088ff09
47.0709,aa550108000088ff000088ff09
47.1206,aa550108000088ff000088ff09
47.1699,aa550108000088ff000088ff09
47.2198,aa550108000088ff000088ff09
47.2695,aa550108000088ff000088ff09
47.3195,aa550108000088ff000088ff09
47.3693,aa550108000088ff000088ff09
47.4206,aa550108000088ff000088ff09
47.4709,aa550108000088ff000088ff09
47.5208,aa550108000088ff000088ff09
47.5708,aa550108000088ff000088ff09
47.6208,aa550108000088ff000088ff09
47.6708,aa550108000088ff000088ff09
47.7207,aa550108000088ff000088ff09
47.7707,aa550108000088ff000088ff09
47.8208,aa550108000088ff000088ff09
47.8709,aa550108000088ff000088ff09
47.9193,aa550108000088ff000088ff09
47.9693,aa550108000088ff000088ff09
