t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
6.15,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.2,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.25,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.3,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.351,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.4,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.452,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.5,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.55,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.6,seguindo,-0.0,-0.0,-0.0,-0.2738,-0.2738,0.5,9.5083,21.9892,0.15,0.161,-0.0452,0.0441
6.65,seguindo,0.0027,0.0003,-0.0037,-0.28,-0.2763,0.5,9.5063,21.9892,0.15,0.161,-0.0452,0.0444
6.7,seguindo,0.0059,0.0007,-0.0088,-0.2879,-0.279,0.5,9.5039,21.9892,0.15,0.161,-0.0452,0.0449
6.75,seguindo,0.0135,0.0015,-0.0202,-0.3067,-0.2865,0.5,9.4983,21.9892,0.15,0.161,-0.0452,0.0457
6.8,seguindo,0.0198,0.0022,-0.0304,-0.3239,-0.2936,0.5,9.4936,21.9892,0.15,0.161,-0.0452,0.0464
6.85,seguindo,0.0322,0.003,-0.0461,-0.3579,-0.3118,0.5,9.4849,21.9892,0.15,0.161,-0.0452,0.0472
6.9,seguindo,0.0419,0.0033,-0.0563,-0.2833,-0.227,0.5,9.4783,13.9261,0.15,0.211,-0.0459,0.0476
6.95,seguindo,0.059,0.0035,-0.0723,-0.3143,-0.2421,0.5,9.4669,13.9261,0.15,0.211,-0.0459,0.0479
7.0,seguindo,0.0719,0.0033,-0.0825,-0.3403,-0.2578,0.5,9.4586,13.9261,0.15,0.211,-0.0459,0.0478
