t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
7.5,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.55,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.6,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.651,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.7,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.751,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.8,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.85,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.9,seguindo,-0.0,-0.0,-0.0,-0.039,-0.039,0.5,9.5019,19.6928,1.0,1.0357,-0.0404,0.0191
7.957,seguindo,0.0027,0.0003,-0.0037,-0.0404,-0.0367,0.5,9.4998,18.7554,1.0,1.0357,-0.0415,0.0194
8.001,seguindo,0.0059,0.0007,-0.0088,-0.0409,-0.0321,0.5,9.4974,18.7554,1.0,1.0357,-0.0415,0.0198
8.05,seguindo,0.0135,0.0015,-0.0202,-0.0412,-0.0211,0.5,9.4918,21.3362,1.0,1.0857,-0.0427,0.0207
8.1,seguindo,0.0199,0.0022,-0.0303,-0.0421,-0.0118,0.5,9.487,21.3362,1.0,1.0857,-0.0427,0.0214
8.151,seguindo,0.0322,0.003,-0.0462,-0.0434,0.0028,0.5,9.4782,21.3362,1.0,1.0857,-0.0427,0.0223
8.2,seguindo,0.0419,0.0033,-0.0563,-0.0441,0.0122,0.5,9.4715,21.3362,1.0,1.0857,-0.0427,0.0227
8.25,seguindo,0.059,0.0035,-0.0723,-0.045,0.0273,0.5,9.46,21.3362,1.0,1.0857,-0.0427,0.023
8.3,seguindo,0.0718,0.0033,-0.0825,-0.0444,0.0381,0.5,9.4516,27.3561,1.0,1.1357,-0.044,0.023
8.35,seguindo,0.0915,0.0028,-0.0974,-0.0447,0.0526,0.5,9.439,27.3561,1.0,1.1357,-0.044,0.0226
8.4,seguindo,0.1049,0.0021,-0.1064,-0.0369,0.0695,0.5,9.4307,69.7369,1.0,1.1359,-0.0359,0.0214
8.451,seguindo,0.1244,0.0008,-0.1173,-0.0354,0.0819,0.5,9.4188,91.452,1.0,1.1858,-0.0368,0.0203
8.5,seguindo,0.1372,-0.0002,-0.1233,-0.0349,0.0885,0.5,9.4111,91.452,1.0,1.1858,-0.0368,0.0194
8.55,seguindo,0.1558,-0.0021,-0.1297,-0.0337,0.0961,0.5,9.4002,91.452,1.0,1.1858,-0.0368,0.0178
8.6,seguindo,0.1681,-0.0035,-0.1328,-0.032,0.1008,0.5,9.3932,133.0383,1.0,1.2358,-0.0376,0.0166
8.652,seguindo,0.1861,-0.0057,-0.1342,-0.0304,0.1039,0.5,9.3832,133.0383,1.0,1.2358,-0.0376,0.0145
8.7,seguindo,0.1979,-0.0073,-0.1341,-0.0292,0.1049,0.5,9.3766,133.0383,1.0,1.2358,-0.0376,0.0131
8.75,seguindo,0.2151,-0.0099,-0.1315,-0.0267,0.1048,0.5,9.3673,207.7379,1.0,1.2858,-0.0385,0.0108
8.8,seguindo,0.2322,-0.0124,-0.1277,-0.0253,0.1023,0.5,9.3581,inf,1.0,1.2358,-0.0379,0.0076
8.851,seguindo,0.2435,-0.0141,-0.1245,-0.0239,0.1006,0.5,9.352,inf,1.0,1.2358,-0.0379,0.005
8.9,seguindo,0.2548,-0.0158,-0.1214,-0.0225,0.0989,0.5,9.3459,inf,1.0,1.2358,-0.0379,0.0036
8.951,seguindo,0.2718,-0.0182,-0.117,-0.0345,0.0825,0.5,9.3362,inf,1.0,1.2863,-0.0532,0.0029
9.0,seguindo,0.2831,-0.0197,-0.1142,-0.0333,0.0808,0.5,9.3299,inf,1.0,1.2863,-0.0532,0.0017
9.051,seguindo,0.3002,-0.022,-0.1103,-0.0317,0.0787,0.5,9.3203,inf,1.0,1.2863,-0.0532,-0.0
9.1,seguindo,0.3117,-0.0234,-0.1079,-0.0305,0.0774,0.5,9.3139,inf,1.0,1.2863,-0.0532,-0.0011
9.15,seguindo,0.3289,-0.0255,-0.1047,-0.029,0.0756,0.5,9.3042,inf,1.0,1.3363,-0.0548,-0.0026
9.201,seguindo,0.3461,-0.0275,-0.1016,-0.0275,0.0742,0.5,9.2944,inf,1.0,1.3363,-0.0548,-0.0041
