t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
8.2,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.251,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.3,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.35,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.4,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.451,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.5,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.55,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.6,seguindo,-0.0,-0.0,-0.0,-0.0809,-0.0809,0.5,9.6141,16.4021,0.37,0.3833,-0.0311,-0.0
8.65,seguindo,0.0027,0.0003,-0.0037,-0.0823,-0.0786,0.5,9.6121,16.4021,0.37,0.3833,-0.0311,0.0005
8.7,seguindo,0.0075,0.0009,-0.0114,-0.0849,-0.0735,0.5,9.6085,16.4021,0.37,0.3833,-0.0311,0.0016
8.75,seguindo,0.0134,0.0015,-0.0202,-0.0879,-0.0677,0.5,9.6041,16.4021,0.37,0.3833,-0.0311,0.0027
8.8,seguindo,0.0197,0.0022,-0.0303,-0.0912,-0.0609,0.5,9.5994,16.4021,0.37,0.3833,-0.0311,0.0039
8.85,seguindo,0.032,0.003,-0.0461,-0.0966,-0.0506,0.5,9.5908,16.4021,0.37,0.3833,-0.0311,0.0058
8.9,seguindo,0.0416,0.0033,-0.0562,-0.1003,-0.0441,0.5,9.5842,16.4021,0.37,0.3833,-0.0311,0.007
8.951,seguindo,0.0588,0.0035,-0.0722,-0.095,-0.0228,0.5,9.5728,10.2241,0.37,0.4793,-0.0366,0.0086
9.0,seguindo,0.078,0.0032,-0.0875,-0.0988,-0.0113,0.5,9.5603,10.2241,0.37,0.4793,-0.0366,0.01
9.05,seguindo,0.0913,0.0028,-0.0972,-0.101,-0.0038,0.5,9.552,10.2241,0.37,0.4793,-0.0366,0.0108
9.101,seguindo,0.1113,0.0018,-0.1109,-0.1039,0.007,0.5,9.5396,10.2241,0.37,0.4793,-0.0366,0.0115
9.151,seguindo,0.1242,0.0009,-0.1176,-0.1051,0.0125,0.5,9.5319,10.2241,0.37,0.4793,-0.0366,0.0117
9.2,seguindo,0.1371,-0.0002,-0.1239,-0.106,0.0179,0.5,9.5242,10.2241,0.37,0.4793,-0.0366,0.0118
9.25,seguindo,0.1558,-0.002,-0.1306,-0.0922,0.0384,0.5,9.5134,8.0411,0.37,0.5755,-0.0409,0.0115
9.3,seguindo,0.1742,-0.0041,-0.1352,-0.0913,0.0439,0.5,9.503,8.0411,0.37,0.5755,-0.0409,0.011
9.35,seguindo,0.186,-0.0057,-0.1349,-0.0899,0.045,0.5,9.4966,8.0411,0.37,0.5755,-0.0409,0.0104
9.4,seguindo,0.1977,-0.0074,-0.1345,-0.0884,0.0461,0.5,9.4902,8.0411,0.37,0.5755,-0.0409,0.0098
9.45,seguindo,0.215,-0.0099,-0.132,-0.0857,0.0463,0.5,9.481,8.0411,0.37,0.5755,-0.0409,0.0087
9.5,seguindo,0.2264,-0.0116,-0.1297,-0.0837,0.046,0.5,9.4749,8.0411,0.37,0.5755,-0.0409,0.0079
