t,estado,x,y,rumo,rumo_alvo,erro_rumo,v_alvo,dist,raio_curva,mira,alvo_x,alvo_y,desvio_lateral
4.3,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.351,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.4,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.45,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.5,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.55,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.6,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.65,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.7,seguindo,-0.0,-0.0,-0.0,-0.0435,-0.0435,0.5,9.4294,15887.5068,1.0,1.011,-0.044,0.044
4.75,seguindo,0.0027,0.0003,-0.0037,-0.0439,-0.0402,0.5,9.4273,15887.5068,1.0,1.011,-0.044,0.0443
4.8,seguindo,0.0075,0.0009,-0.0114,-0.0447,-0.0333,0.5,9.4236,15887.5068,1.0,1.011,-0.044,0.0449
4.85,seguindo,0.0135,0.0015,-0.0202,-0.0456,-0.0254,0.5,9.4192,15887.5068,1.0,1.011,-0.044,0.0455
4.9,seguindo,0.0199,0.0022,-0.0303,-0.0466,-0.0162,0.5,9.4144,15887.5068,1.0,1.011,-0.044,0.0462
4.95,seguindo,0.0323,0.003,-0.0461,-0.048,-0.0018,0.5,9.4056,15887.5068,1.0,1.011,-0.044,0.047
5.0,seguindo,0.0419,0.0033,-0.0563,-0.0464,0.0099,0.5,9.3989,8777.3191,1.0,1.061,-0.044,0.0473
5.05,seguindo,0.0591,0.0035,-0.0723,-0.0473,0.0249,0.5,9.3873,8777.3191,1.0,1.061,-0.044,0.0475
5.1,seguindo,0.072,0.0033,-0.0825,-0.0478,0.0347,0.5,9.3789,8777.3191,1.0,1.061,-0.044,0.0473
5.15,seguindo,0.0917,0.0027,-0.0973,-0.0458,0.0515,0.5,9.3662,4890.1563,1.0,1.111,-0.044,0.0467
5.2,seguindo,0.105,0.0021,-0.1064,-0.0458,0.0606,0.5,9.3578,4890.1563,1.0,1.111,-0.044,0.0461
5.25,seguindo,0.1245,0.0008,-0.1173,-0.0454,0.0719,0.5,9.3459,4890.1563,1.0,1.111,-0.044,0.0448
5.3,seguindo,0.1437,-0.0008,-0.1263,-0.0425,0.0838,0.5,9.3344,2749.4918,1.0,1.161,-0.044,0.0432
5.35,seguindo,0.156,-0.0021,-0.1294,-0.0417,0.0877,0.5,9.3273,2749.4918,1.0,1.161,-0.044,0.0419
5.401,seguindo,0.1743,-0.0042,-0.1334,-0.0403,0.0931,0.5,9.3167,2749.4918,1.0,1.161,-0.044,0.0398
5.45,seguindo,0.1861,-0.0058,-0.1334,-0.0373,0.0961,0.5,9.3102,1561.3738,1.0,1.211,-0.044,0.0382
5.5,seguindo,0.2038,-0.0082,-0.1331,-0.0356,0.0976,0.5,9.3004,1561.3738,1.0,1.211,-0.044,0.0358
