t,x,y
15.26,2.3679104985831407,4.986243030261244
15.28,2.3687191806875134,4.986463258867474
15.3,2.3691590098248105,4.986793670679208
15.32,2.369319391644751,4.987205207306904
15.34,2.369167590347823,4.987718638018434
15.36,2.3686997748859397,4.9883363895331145
15.38,2.367942724619709,4.989051863935787
15.4,2.3668678996136165,4.989880528529574
15.42,2.3655169797137554,4.990808618629823
15.44,2.3638445755619673,4.991857783700012
15.46,2.3618748626346644,4.993021153914862
15.48,2.3596271000966897,4.9942936867552845
15.5,2.357058980024256,4.995695473992334
15.52,2.354186465867524,4.997222007061043
15.54,2.3510347304660875,4.998866472072168
15.56,2.347582455380461,5.000639860204068
15.58,2.3438555253778155,5.002533882175884
15.6,2.339810657374908,5.004568153378919
15.62,2.3354766196232313,5.006733490083639
15.64,2.3308450491695583,5.009034333032569
15.66,2.3261086800094697,5.011379340047539
15.68,2.321369215279115,5.013721736323672
15.7,2.316635080190138,5.016069730200569
15.72,2.311903957513601,5.01842287494073
15.74,2.307199324266419,5.0207720738361035
15.76,2.3024991327818918,5.023124398291888
15.78,2.2978187788181628,5.025473299942344
15.8,2.2931420404234593,5.027824656527603
15.82,2.2884674321420198,5.030179600893103
15.84,2.2838108966347295,5.032529927220149
15.86,2.279157134513255,5.0348813239361165
15.88,2.274525170875107,5.0372260416969095
15.9,2.2698954498565014,5.039570323259351
15.92,2.265266374675904,5.041915351389051
15.94,2.260655620132278,5.0442532121788055
15.96,2.2560461460690804,5.046589438279469
15.98,2.2514390900743595,5.048930528742041
16.0,2.2468355912046616,5.051278606185126
16.02,2.2422356600592255,5.0536336652031615
16.04,2.2376393072247764,5.055995700372405
16.06,2.233046543280018,5.058364706253589
16.08,2.2284573787956035,5.060740677391819
16.1,2.223897760120917,5.063053999449212
16.12,2.219332573220265,5.065358085123939
16.14,2.2147801824248123,5.067650749603335
16.16,2.2102267667150404,5.069937891325171
16.18,2.2056816709079055,5.072214026457686
16.2,2.2011346554117623,5.074483688080292
16.22,2.196584703351723,5.076747381265606
16.24,2.19204317624347,5.078998210145219
16.26,2.187497936879233,5.081241267408143
16.28,2.182959203726275,5.083471968982106
16.3,2.1784162444915958,5.0856941001467355
16.32,2.173869204017363,5.087907942696472
16.34,2.1693271491288404,5.090107518403271
16.36,2.164780382011415,5.092297481124902
16.38,2.1602370412712877,5.094473254630676
16.4,2.155688561451564,5.096638475135258
16.42,2.151134732979849,5.098792668381547
16.44,2.1465823698413145,5.100931930066886
16.46,2.142024252685034,5.103059217847997
16.48,2.137466708845116,5.105171362278784
16.5,2.132903031738993,5.107270604957316
16.52,2.1283330308183044,5.109356464349719
16.54,2.1237601133173025,5.111426249391198
16.56,2.119180496277053,5.113481664082469
16.58,2.1145988354573384,5.1155199144870895
16.6,2.110010313982977,5.117543216289035
16.62,2.1054145889758487,5.119550712971971
16.64,2.1008128651623026,5.121540791224712
16.66,2.096203609201508,5.123514055717249
16.68,2.0915891596717766,5.125468849390012
16.7,2.086967243052657,5.1274066217893015
16.72,2.082337194423316,5.129325744789891
16.74,2.0776971821677215,5.131226462181667
16.76,2.0730489326113686,5.133107860264571
16.78,2.068393076124506,5.134969090570243
16.8,2.0637289180778167,5.136810378537333
16.82,2.059056354602615,5.138631236257432
16.84,2.054370218793187,5.140432466082998
16.86,2.0496751215466436,5.142211428711298
16.88,2.044970002484082,5.143968466045949
16.9,2.040255909790058,5.145702559899586
16.92,2.035532766773372,5.147413184863791
16.94,2.030792588811612,5.149103619911801
16.96,2.0260430590588117,5.150769126163121
16.98,2.0212802782065085,5.152411198470809
17.0,2.0165083599229114,5.15402803101019
17.02,2.0117271100443577,5.155618711032122
17.04,2.0069257557178815,5.157187458400864
17.06,2.002114848722492,5.158728549591777
17.08,1.9972878549282818,5.1602444194188
17.1,1.992451585399086,5.161732289332515
17.12,1.987605743309601,5.163190827318149
17.14,1.982970241664519,5.164502282055397
17.16,1.9786153905199804,5.165683597962768
17.18,1.974545848600075,5.16674582440467
17.2,1.9707981322561121,5.167700610728271
17.22,1.9673561967353153,5.168541790313139
17.24,1.9642190128813017,5.169271238810461
17.26,1.9613870351449623,5.169891736849541
17.28,1.9588611461699836,5.170406134244746
17.3,1.9566584548662815,5.170812925321369
17.32,1.954747347543456,5.171123135574009
17.34,1.9531445893246953,5.171335327894796
17.36,1.9518674132572407,5.171447756632612
17.38,1.9508995705045942,5.171466530565449
17.4,1.9502116994171261,5.171402594262815
17.42,1.9498666736987653,5.171241973787527
17.44,1.949801634367225,5.1710019152251885
17.46,1.9500640662794497,5.170673016079997
17.48,1.950638652180528,5.1702604259153535
17.5,1.951526082144751,5.169766070355307
17.52,1.9527431000419246,5.169187863717366
17.54,1.954257275854279,5.168534313823549
17.56,1.956085239541367,5.1678036016276065
17.58,1.9582429527730887,5.166992969066817
17.6,1.9607141456117614,5.16610676899398
17.62,1.9634993230966409,5.165146400053438
17.64,1.9665833918064677,5.164116533057123
17.66,1.969996898366441,5.163010748574593
17.68,1.9737094783067612,5.161836570807227
17.7,1.9777206845372792,5.160595036416503
17.72,1.9820762780950791,5.1592756784726355
17.74,1.986746254664808,5.15788527839286
17.76,1.9917303034635083,5.156424739487897
17.78,1.9970106634295817,5.154898788956061
17.8,2.0023087602682814,5.153387053863858
17.82,2.0076103629691557,5.151888055762277
17.84,2.012875516597443,5.150410491395581
17.86,2.018141373380397,5.1489467367948425
17.88,2.0233744818576267,5.147503737680159
17.9,2.028608885194051,5.146071670624451
17.92,2.0338459558140767,5.144649553782385
17.94,2.039321107919915,5.143173451639881
17.96,2.0448037666246126,5.1417058628121275
17.98,2.0502641167469955,5.140253348536758
18.0,2.055726641476552,5.138809030231122
18.02,2.0611910894824867,5.137371927380034
18.04,2.066621813805262,5.135953121729333
18.06,2.072051572977455,5.134538847111462
18.08,2.0773074621151237,5.133182235428029
18.1,2.0825677828870504,5.131824325821059
18.12,2.0878292555958513,5.13047056226056
18.14,2.0930520223087026,5.129136857820981
18.16,2.098269813437434,5.127803221685549
18.18,2.1034540324463715,5.126484096232885
18.2,2.1086359779548225,5.125165565077955
18.22,2.1138186815027806,5.123849367842681
18.24,2.1189571424389926,5.122556455937902
18.26,2.1240850161342335,5.121257165553266
18.28,2.129504744085575,5.119888003889871
18.3,2.1349905103743563,5.1185073656926985
18.32,2.1404926309785677,5.117108856231961
18.34,2.1459773487194593,5.115706759727616
18.36,2.1514586674163354,5.114300328992071
18.38,2.1569058840357873,5.112903417007365
18.4,2.162349251349271,5.111500653035692
18.42,2.1677918630086292,5.110093883559121
18.44,2.173207778881069,5.1086904324889675
18.46,2.178622500337717,5.107282140820481
18.48,2.183892694503173,5.105957988932595
18.5,2.1891542924192513,5.1046142404626575
18.52,2.1943994766724253,5.103251866724
18.54,2.199581181104888,5.101917144736189
18.56,2.204744096300238,5.100567580606541
18.58,2.209893474417601,5.099196074528479
18.6,2.215037527749919,5.097813815956758
18.62,2.2201797924039233,5.096423242100551
18.64,2.225279896492061,5.095046518659977
18.66,2.230367295813032,5.093652558258848
18.68,2.2356798969760643,5.092201542243391
18.7,2.2410105191809766,5.090723867442759
18.72,2.2463522000234497,5.089217394710799
18.74,2.251681087194028,5.087694222657836
18.76,2.2570001623489766,5.086153682722446
18.78,2.2622986646221865,5.084605539459585
18.8,2.2675933893666147,5.083042792300017
18.82,2.2728841527753074,5.081464928691216
18.84,2.2781381156407563,5.079890406638781
18.86,2.283382702302345,5.078296541381921
18.88,2.2884587024922087,5.0768348983783005
18.9,2.2935233983860326,5.075362457842514
18.92,2.2985756838692244,5.0738613373048285
18.94,2.3036213194156105,5.072323934231494
18.96,2.3086508709189757,5.070759453008186
18.98,2.3136495498405574,5.069181314206294
19.0,2.31863118792385,5.067576722087035
19.02,2.32359640957112,5.065944679546611
19.04,2.3285165074127523,5.0643165504544925
19.06,2.3334193185853658,5.0626628660893696
19.08,2.3385121847140025,5.060944216602601
19.1,2.343763863628273,5.059144134230745
19.12,2.3490208531080676,5.057302454591052
19.14,2.354279242623095,5.055424372479669
19.16,2.359539352304108,5.053503533380094
19.18,2.3648011569487113,5.05154023399221
19.2,2.3700646820176985,5.049533955147709
19.22,2.375329927886152,5.0474844620165795
19.24,2.380501934725825,5.045506560108367
19.26,2.3856499403170757,5.043520059230704
19.28,2.3907831836296474,5.041498472443242
19.3,2.395899421503409,5.039443753654532
19.32,2.400998885671657,5.037355778008183
19.34,2.4060643516150124,5.035250676186248
19.36,2.4111124516682585,5.033113086683152
19.38,2.4161415625843072,5.030943753146894
19.4,2.4211535696475464,5.028740562955114
19.42,2.426148373879479,5.026503367073717
19.44,2.43114027637858,5.024205303127154
19.46,2.436134322117836,5.021860926127576
19.48,2.4411273351096177,5.019470248089845
19.5,2.4461030582966248,5.017044459443438
19.52,2.4510609774375447,5.01458387928391
19.54,2.455985794673563,5.012109337365661
19.56,2.4608923083134258,5.00960025226279
19.58,2.4657822566941143,5.007053976261005
19.6,2.4706551719880103,5.004473638135016
19.62,2.4755111891036603,5.001859398669487
19.64,2.480260887595583,4.99936616635036
19.66,2.484986933717941,4.996864216766968
19.68,2.4897031895906103,4.99431652404566
19.7,2.494400653298777,4.991732843012299
19.72,2.499078197776374,4.989113090522372
19.74,2.5037152405153553,4.986477118049205
19.76,2.5083315388993683,4.983806890119821
19.78,2.512933968212479,4.981093949490287
19.8,2.5175153892770643,4.9783447527819344
19.82,2.522075879060995,4.975559562751298
19.84,2.526592858474422,4.972759041266905
19.86,2.5310873448717537,4.969924378246458
19.88,2.535563453718195,4.967049778653344
19.9,2.5400167787730985,4.964138884357843
19.92,2.5444472878300948,4.961192031130627
19.94,2.5488355128200317,4.958227054726434
19.96,2.553199696223079,4.955227482604899
19.98,2.557488364321037,4.952232900374589
20.0,2.5617423066775813,4.949222376105979
20.02,2.565970953010019,4.9461759338579006
20.04,2.5702587943007327,4.94298199719722
20.06,2.574663123486809,4.939587651716552
20.08,2.5790752614467785,4.936117809547304
20.1,2.5834914373646916,4.932589973126065
