t,x,y,yaw,dist
2.1487,2.3167,4.91685,-1.17528,8.50158
2.1676,2.31999,4.91197,-1.18803,8.49933
2.1876,2.32318,4.90703,-1.20003,8.49718
2.2071,2.32631,4.90207,-1.21191,8.49511
2.2276,2.32936,4.89707,-1.22379,8.49311
2.2481,2.33236,4.89204,-1.23567,8.49119
2.2672,2.33521,4.88652,-1.24549,8.48951
2.2872,2.33797,4.88095,-1.25462,8.48793
2.3068,2.34068,4.87535,-1.26372,8.48641
2.3267,2.34333,4.86972,-1.2728,8.48496
2.3472,2.34593,4.86407,-1.28188,8.48357
2.3672,2.34785,4.85957,-1.28909,8.48262
2.3877,2.34965,4.85512,-1.29519,8.48177
2.4073,2.35148,4.85074,-1.30235,8.48088
2.4272,2.35328,4.84636,-1.30956,8.48002
2.4483,2.35505,4.84196,-1.31677,8.47921
2.4675,2.35684,4.83666,-1.32127,8.47855
2.4875,2.35854,4.83109,-1.32435,8.47805
2.5072,2.36021,4.82551,-1.3273,8.47758
2.5271,2.36185,4.81989,-1.33016,8.47716
2.5478,2.36347,4.81426,-1.3329,8.47676
2.5674,2.36486,4.80859,-1.33314,8.47659
2.5875,2.36624,4.80293,-1.33323,8.47645
2.6073,2.36762,4.79726,-1.33331,8.4763
2.6278,2.369,4.79159,-1.33339,8.47616
2.6478,2.37038,4.78592,-1.33347,8.47603
2.6686,2.37167,4.78027,-1.33251,8.47598
2.6883,2.37296,4.77461,-1.33154,8.47593
2.7082,2.37426,4.76896,-1.33056,8.47588
2.7283,2.37557,4.76331,-1.32959,8.47583
2.7483,2.37688,4.75766,-1.32861,8.47578
2.7679,2.37821,4.752,-1.32777,8.47571
2.7882,2.37955,4.74633,-1.32696,8.47564
2.8081,2.38089,4.74066,-1.32615,8.47557
2.8285,2.38224,4.735,-1.32534,8.4755
2.8503,2.38359,4.72933,-1.32453,8.47543
2.8686,2.38499,4.72362,-1.32403,8.47533
2.8885,2.38639,4.71791,-1.32355,8.47523
2.9084,2.38779,4.71221,-1.32308,8.47513
2.9287,2.38919,4.7065,-1.3226,8.47504
2.9485,2.3906,4.7008,-1.32212,8.47494
2.9684,2.39199,4.69512,-1.32143,8.47487
2.9884,2.39338,4.68944,-1.32074,8.47479
3.0088,2.39477,4.68377,-1.32005,8.47471
3.0285,2.39617,4.67809,-1.31935,8.47464
3.0488,2.39757,4.67242,-1.31866,8.47456
3.0688,2.39895,4.66678,-1.31776,8.4745
3.0882,2.40033,4.66113,-1.31686,8.47444
3.1084,2.40173,4.65549,-1.31597,8.47438
3.1286,2.40312,4.64985,-1.31507,8.47432
3.1482,2.40452,4.64421,-1.31417,8.47426
3.1683,2.40593,4.63857,-1.31327,8.47419
3.1883,2.40734,4.63294,-1.31237,8.47412
3.2089,2.40876,4.6273,-1.31148,8.47406
3.2283,2.41018,4.62167,-1.31058,8.47399
3.2491,2.41161,4.61603,-1.30969,8.47392
3.2694,2.41304,4.6104,-1.30877,8.47385
3.2885,2.41447,4.60477,-1.30785,8.47377
3.3088,2.41591,4.59915,-1.30694,8.4737
3.3284,2.41736,4.59352,-1.30602,8.47363
3.3486,2.41881,4.5879,-1.30511,8.47355
3.3687,2.42026,4.58228,-1.30417,8.47348
3.3884,2.42172,4.57666,-1.30324,8.4734
3.4085,2.42318,4.57104,-1.3023,8.47332
3.4284,2.42465,4.56542,-1.30137,8.47324
3.4483,2.42612,4.55981,-1.30043,8.47316
3.4682,2.42761,4.55419,-1.29951,8.47308
3.488,2.42909,4.54858,-1.29859,8.473
3.5083,2.43058,4.54297,-1.29767,8.47291
3.5285,2.43208,4.53736,-1.29675,8.47282
3.5484,2.43358,4.53175,-1.29583,8.47273
3.5681,2.43509,4.52613,-1.29493,8.47264
3.5891,2.43661,4.52052,-1.29404,8.47255
3.6084,2.43813,4.51491,-1.29314,8.47245
3.6288,2.43965,4.50931,-1.29225,8.47236
3.6489,2.44118,4.5037,-1.29136,8.47226
3.6682,2.44272,4.49809,-1.29046,8.47216
3.6882,2.44426,4.49249,-1.28957,8.47206
3.7079,2.4458,4.48689,-1.28867,8.47196
3.7279,2.44735,4.48129,-1.28778,8.47186
3.748,2.44891,4.47569,-1.28689,8.47175
3.769,2.45047,4.47009,-1.286,8.47165
3.7883,2.45203,4.46449,-1.2851,8.47154
3.8081,2.4536,4.45889,-1.28421,8.47144
3.8283,2.45518,4.4533,-1.28332,8.47133
3.8486,2.45676,4.44771,-1.28243,8.47122
3.8683,2.45835,4.44212,-1.28154,8.47111
3.8886,2.45994,4.43653,-1.28065,8.471
3.9083,2.46153,4.43094,-1.27976,8.47088
3.9282,2.46313,4.42535,-1.27887,8.47077
3.948,2.46474,4.41976,-1.27798,8.47065
3.9683,2.46635,4.41418,-1.27709,8.47054
3.9883,2.46796,4.4086,-1.27619,8.47042
4.0084,2.46958,4.40301,-1.2753,8.4703
4.028,2.47121,4.39743,-1.27441,8.47018
4.0483,2.47284,4.39185,-1.27352,8.47006
4.0686,2.47447,4.38628,-1.27262,8.46993
4.088,2.47611,4.3807,-1.27173,8.46981
4.1083,2.47776,4.37513,-1.27083,8.46969
4.1283,2.47941,4.36956,-1.26994,8.46956
4.1493,2.48106,4.36399,-1.26905,8.46943
4.1713,2.48272,4.35842,-1.26815,8.4693
4.1896,2.48439,4.35285,-1.26726,8.46917
4.2097,2.48606,4.34728,-1.26636,8.46904
4.2297,2.48773,4.34172,-1.26547,8.46891
4.25,2.48941,4.33615,-1.26457,8.46878
4.2696,2.4911,4.33059,-1.26367,8.46864
4.2897,2.49279,4.32503,-1.26278,8.46851
4.3097,2.49448,4.31947,-1.26188,8.46837
4.3297,2.49618,4.31391,-1.26099,8.46823
4.3497,2.49788,4.30836,-1.26009,8.46809
4.3698,2.49959,4.3028,-1.2592,8.46795
4.3897,2.50131,4.29725,-1.2583,8.46781
4.4102,2.50303,4.2917,-1.25741,8.46767
4.4297,2.50475,4.28615,-1.25651,8.46752
4.4495,2.50648,4.2806,-1.25562,8.46738
4.4696,2.50822,4.27506,-1.25472,8.46723
4.4897,2.50996,4.26951,-1.25383,8.46708
4.5095,2.5117,4.26397,-1.25293,8.46693
