t,x,y,yaw,dist
0.0,2.0,5.0,0.0,8.79673
0.0012,2.0,5.0,0.0,8.79673
0.0019,2.0,5.0,0.0,8.79673
0.0025,2.0,5.0,0.0,8.79673
0.003,2.0,5.0,0.0,8.79673
0.0052,2.0,5.0,0.0,8.79673
0.0249,2.0,5.0,0.0,8.79673
0.0462,2.0,5.0,0.0,8.79673
0.0662,2.0,5.0,0.0,8.79673
0.0863,2.0,5.0,0.0,8.79673
0.1069,2.0,5.0,0.0,8.79673
0.1259,2.0,5.0,0.0,8.79673
0.1462,2.0,5.0,0.0,8.79673
0.1658,2.0,5.0,0.0,8.79673
0.1866,2.0,5.0,0.0,8.79673
0.2061,2.0,5.0,0.0,8.79673
0.2262,2.0,5.0,0.0,8.79673
0.2457,2.0,5.0,0.0,8.79673
0.2664,2.0,5.0,0.0,8.79673
0.2863,2.0,5.0,0.0,8.79673
0.306,2.0,5.0,0.0,8.79673
0.326,2.0,5.0,0.0,8.79673
0.3459,2.0,5.0,0.0,8.79673
0.3664,2.0,5.0,0.0,8.79673
0.3873,2.0,5.0,0.0,8.79673
0.4064,2.0,5.0,0.0,8.79673
0.4265,2.0,5.0,0.0,8.79673
0.446,2.0,5.0,0.0,8.79673
0.4664,2.0,5.0,0.0,8.79673
0.4859,2.0,5.0,0.0,8.79673
0.5071,2.0,5.0,0.0,8.79673
0.5268,2.00114,5.00009,-0.00113,8.79559
0.546,2.00274,5.0003,-0.0037,8.79398
0.5668,2.00434,5.0005,-0.00627,8.79237
0.5858,2.00595,5.0007,-0.00884,8.79076
0.6069,2.00755,5.00089,-0.01141,8.78915
0.6262,2.01028,5.00115,-0.0151,8.78641
0.6462,2.01351,5.00151,-0.02027,8.78318
0.6661,2.01673,5.00186,-0.02544,8.77994
0.6865,2.01996,5.00219,-0.0306,8.77671
0.7071,2.02319,5.00251,-0.03577,8.77348
0.7269,2.02711,5.00293,-0.04292,8.76954
0.746,2.03128,5.00337,-0.05067,8.76537
0.7661,2.03544,5.00377,-0.05841,8.7612
0.7861,2.03961,5.00414,-0.06615,8.75703
0.8063,2.04378,5.00448,-0.07389,8.75287
0.8263,2.04797,5.00498,-0.084,8.74866
0.846,2.05217,5.00545,-0.09429,8.74444
0.866,2.05637,5.00587,-0.10457,8.74024
0.8863,2.06057,5.00625,-0.11486,8.73603
0.9069,2.06478,5.00659,-0.12515,8.73183
0.9264,2.06906,5.00707,-0.13785,8.72754
0.946,2.07335,5.0075,-0.15074,8.72324
0.9668,2.07765,5.00789,-0.16362,8.71894
0.9859,2.08196,5.00821,-0.1765,8.71465
1.006,2.08627,5.00849,-0.18938,8.71036
1.0263,2.09073,5.00886,-0.20466,8.70591
1.0461,2.09522,5.00918,-0.22011,8.70144
1.066,2.09971,5.00944,-0.23557,8.69698
1.0862,2.1042,5.00962,-0.25102,8.69252
1.1062,2.1087,5.00973,-0.26648,8.68808
1.1264,2.11311,5.01,-0.28431,8.6837
1.1461,2.1175,5.01021,-0.30231,8.67934
1.1659,2.1219,5.01034,-0.32031,8.675
1.1863,2.1263,5.01038,-0.33831,8.67066
1.206,2.13069,5.01035,-0.35631,8.66635
1.2262,2.13523,5.01039,-0.37673,8.66188
1.2459,2.13978,5.01035,-0.3973,8.65741
1.2659,2.14433,5.01021,-0.41787,8.65297
1.2862,2.14888,5.00998,-0.43845,8.64854
1.3064,2.15342,5.00966,-0.45902,8.64413
1.3264,2.15799,5.00925,-0.4799,8.63971
1.3461,2.16256,5.00874,-0.50078,8.63532
1.3659,2.16711,5.00814,-0.52166,8.63096
1.3861,2.17165,5.00745,-0.54254,8.62662
1.406,2.17617,5.00666,-0.56342,8.62232
1.4262,2.1807,5.00574,-0.58408,8.61805
1.4463,2.18522,5.0047,-0.60455,8.6138
1.4663,2.18972,5.00357,-0.62502,8.60958
1.486,2.1942,5.00235,-0.64549,8.60541
1.506,2.19865,5.00103,-0.66596,8.60128
1.5261,2.20308,4.99959,-0.68621,8.59719
1.5465,2.20751,4.99801,-0.70614,8.59314
1.5664,2.21191,4.99633,-0.72605,8.58913
1.5861,2.21628,4.99457,-0.74597,8.58517
1.6061,2.2206,4.99273,-0.76589,8.58126
1.6261,2.22491,4.99076,-0.78558,8.5774
1.6459,2.22922,4.98863,-0.80486,8.57357
1.6664,2.23349,4.98638,-0.82386,8.5698
1.6859,2.2377,4.98404,-0.84281,8.5661
1.7063,2.24188,4.98163,-0.8618,8.56245
1.7261,2.24605,4.97915,-0.88088,8.55883
1.7458,2.25022,4.9766,-0.89998,8.55521
1.7659,2.2544,4.97397,-0.91911,8.55161
1.7872,2.25858,4.97128,-0.93827,8.54802
1.8075,2.26277,4.96851,-0.95745,8.54444
1.826,2.26694,4.96553,-0.97603,8.54091
1.8459,2.27112,4.96249,-0.99447,8.53739
1.8659,2.27529,4.95938,-1.01291,8.53389
1.8859,2.27944,4.9562,-1.03136,8.53044
1.9062,2.28351,4.95295,-1.0498,8.52707
1.9261,2.28748,4.94919,-1.06677,8.5239
1.9458,2.29137,4.94533,-1.08286,8.52084
1.966,2.29518,4.94143,-1.09865,8.51786
1.986,2.29892,4.93747,-1.11444,8.51496
2.0064,2.30258,4.93347,-1.13023,8.51215
2.0259,2.30614,4.92901,-1.14457,8.50954
2.046,2.30961,4.92449,-1.15816,8.50703
2.066,2.313,4.91993,-1.17163,8.5046
2.086,2.31633,4.91533,-1.1851,8.50225
2.1059,2.31958,4.91069,-1.19858,8.49998
2.126,2.32272,4.90561,-1.21052,8.49792
2.1459,2.32576,4.90048,-1.22176,8.49596
2.1658,2.32874,4.89533,-1.2329,8.49407
2.186,2.33165,4.89014,-1.24404,8.49226
2.206,2.33451,4.88493,-1.25518,8.49052
2.2273,2.33721,4.87922,-1.26412,8.48903
2.2462,2.33982,4.87343,-1.27235,8.48764
2.2668,2.34238,4.86763,-1.28052,8.48632
2.2861,2.34489,4.8618,-1.28867,8.48505
2.3062,2.34735,4.85595,-1.29679,8.48385
2.3261,2.34939,4.85042,-1.30259,8.483
2.3459,2.35136,4.84495,-1.30775,8.4822
2.3666,2.3533,4.83945,-1.31281,8.48144
2.386,2.3552,4.83393,-1.31779,8.48072
2.4061,2.35707,4.82838,-1.32269,8.48006
2.4261,2.3587,4.82279,-1.32526,8.47963
2.4459,2.3603,4.8172,-1.32739,8.47924
2.4658,2.36186,4.81158,-1.32939,8.47889
2.486,2.36341,4.80594,-1.33129,8.47858
2.5062,2.36494,4.8003,-1.33318,8.47828
2.5262,2.36627,4.79463,-1.33267,8.47818
2.5468,2.3676,4.78895,-1.33201,8.47809
2.5675,2.36893,4.78328,-1.33135,8.47801
2.5872,2.37026,4.77761,-1.33069,8.47793
2.6074,2.37159,4.77193,-1.33003,8.47784
2.6272,2.37289,4.7663,-1.32897,8.47779
2.6472,2.3742,4.76066,-1.3279,8.47774
2.6674,2.37551,4.75502,-1.32684,8.47769
2.687,2.37682,4.74939,-1.32578,8.47763
2.7069,2.37814,4.74376,-1.32471,8.47757
2.727,2.37946,4.73814,-1.32354,8.47752
2.7472,2.38078,4.73253,-1.32236,8.47747
2.7676,2.38211,4.72692,-1.32119,8.47741
2.787,2.38344,4.7213,-1.32002,8.47735
2.807,2.38478,4.7157,-1.31884,8.47729
2.827,2.38615,4.71007,-1.31782,8.47721
2.8472,2.38753,4.70443,-1.31685,8.47712
2.8675,2.38891,4.6988,-1.31589,8.47704
