t,cmd_v,cmd_wz,v_esq,v_dir,x,y,yaw
0.02052450180053711,0.1,0.3,0.0,0.0,,,
0.04099869728088379,0.1,0.3,0.0,0.0,,,
0.061528921127319336,0.1,0.3,0.0,0.0,,,
0.07777190208435059,0.1,0.3,0.0,0.0,0.2517185688269513,-0.14127727416531347,-0.038172130598876454
0.0792999267578125,0.1,0.3,0.0,0.0,0.25115683388359933,-0.1445588936751528,-0.03417244211390874
0.08016419410705566,0.1,0.3,0.0,0.0,0.24916793727557046,-0.1473861627316179,-0.037549881496102895
0.08096790313720703,0.1,0.3,0.0,0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08158659934997559,0.1,0.3,0.0,0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08185744285583496,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.0826101303100586,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08291172981262207,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08354449272155762,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08383345603942871,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08448362350463867,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08476686477661133,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08541750907897949,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08573627471923828,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08644413948059082,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08672857284545898,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08741545677185059,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08768486976623535,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08827352523803711,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.0888671875,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.08942365646362305,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.0895993709564209,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.11017465591430664,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.13138437271118164,0.1,0.3,0.0,-0.0,0.24798307668421787,-0.1481444604043515,-0.03505409744034713
0.14307355880737305,0.1,0.3,0.0,-0.0,1.5965377299015735,-0.15723922283723518,-0.05744185001367608
0.14440178871154785,0.1,0.3,0.0,-0.0,1.5973320556721393,-0.15519511668884686,-0.05471877843057229
0.14523029327392578,0.1,0.3,0.0,-0.0,1.5949876996380068,-0.1551236148130258,-0.05691136414807447
0.14594292640686035,0.1,0.3,0.0,-0.0,1.5978261147104313,-0.1561564921822832,-0.0574894423203782
0.14661407470703125,0.1,0.3,0.0,-0.0,1.5939929822820655,-0.15828700612492083,-0.05596465866906402
0.14727139472961426,0.1,0.3,0.0,-0.0,1.5923735811899524,-0.15989024396813972,-0.05549835776181036
0.16782045364379883,0.1,0.3,0.0,-0.0,1.5923735811899524,-0.15989024396813972,-0.05549835776181036
0.1805269718170166,0.1,0.3,0.0,-0.0,0.2484108012639313,-0.1490545083670773,-0.03629916990426001
0.18161487579345703,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18190336227416992,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18210148811340332,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18264389038085938,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18283891677856445,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18337631225585938,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18357062339782715,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18398141860961914,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.1841425895690918,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18456292152404785,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18472695350646973,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18511509895324707,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18529367446899414,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.18570470809936523,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.1858656406402588,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.20657563209533691,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.22744488716125488,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.23798274993896484,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.23829102516174316,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.23870491981506348,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.2388472557067871,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.23919057846069336,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.23940706253051758,0.1,0.3,0.0,-0.0,1.5928282858762488,-0.1580852725673719,-0.051886281872602365
0.2478945255279541,0.1,0.3,0.0,-0.0,0.28481167065785734,-0.13989811893072684,-0.033750092654603006
0.2483670711517334,0.1,0.3,0.0,-0.0,0.2829337836446204,-0.14015670387240514,-0.034030395378735714
0.2487165927886963,0.1,0.3,0.0,-0.0,0.282472964127425,-0.14697595819511025,-0.03514367398193319
0.24901604652404785,0.1,0.3,0.0,-0.0,0.2817293435608717,-0.1525145150923207,-0.03521439585046714
