dente,fase,t,cmd_v,v_esq,v_dir,x,y,yaw
0,sobe,1.1920928955078125e-06,2.086162567138672e-08,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.006155967712402344,0.00010772943496704102,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.011821985244750977,0.0002068847417831421,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.017447710037231445,0.0003053349256515503,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.023317337036132812,0.0004080533981323243,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.029370546340942383,0.0005139845609664918,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.03543591499328613,0.0006201285123825074,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.041397809982299805,0.0007244616746902466,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.04735589027404785,0.0008287280797958375,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.05338478088378906,0.0009342336654663087,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.059389591217041016,0.0010393178462982178,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.06534075736999512,0.0011434632539749146,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.07126402854919434,0.001247120499610901,0.0,-0.0,0.18902594574944767,0.07918279954615283,0.8633652782828798
0,sobe,0.07716894149780273,0.001350456476211548,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.07985854148864746,0.0013975244760513308,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08014941215515137,0.001402614712715149,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08030533790588379,0.0014053434133529665,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.0807337760925293,0.0014128410816192627,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08090806007385254,0.0014158910512924196,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08129262924194336,0.001422621011734009,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08143758773803711,0.0014251577854156496,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.0817720890045166,0.0014310115575790407,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08191776275634766,0.0014335608482360842,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08223366737365723,0.0014390891790390017,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.0823667049407959,0.0014414173364639283,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08268594741821289,0.0014470040798187256,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08282303810119629,0.001449403166770935,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08315682411193848,0.0014552444219589234,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08329272270202637,0.0014576226472854616,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08362150192260742,0.00146337628364563,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08376336097717285,0.001465858817100525,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
0,sobe,0.08419084548950195,0.0014733397960662842,0.0,-0.0,0.19031316614581748,0.07989621632701174,0.8619786445343279
