t,cmd_v,cmd_wz,v_esq,v_dir,x,y,yaw
0.00601506233215332,0.0,-0.3,0.0,-0.0,0.019058871461227263,-0.017046186003483586,-0.031665227007348126
0.007050752639770508,0.0,-0.3,0.0,-0.0,1.3531138656341146,-0.031014159903393144,-0.028844164661655534
0.007840633392333984,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.028488874435424805,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03177237510681152,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.032837629318237305,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03315901756286621,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03379368782043457,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03405141830444336,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.0346064567565918,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03483700752258301,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03532290458679199,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03551506996154785,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.036035776138305664,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03624558448791504,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03667569160461426,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
0.03723335266113281,0.0,-0.3,0.0,-0.0,0.00585823536565194,-0.009471133870362046,-0.023332388098989645
