t,cmd_v,v_esq,v_dir,x,y,yaw
0.02150249481201172,0.1,0.0,0.0,,,
0.042527198791503906,0.1,0.0,0.0,,,
0.06309390068054199,0.1,0.0,0.0,,,
0.08365106582641602,0.1,0.0,0.0,,,
0.10480952262878418,0.1,0.0,0.0,,,
0.12572860717773438,0.1,0.0,0.0,,,
0.12724947929382324,0.1,0.0,0.0,,,
0.12762069702148438,0.1,0.0,-0.0,,,
0.12817955017089844,0.1,0.0,-0.0,,,
0.12844586372375488,0.1,0.0,-0.0,,,
0.12890958786010742,0.1,0.0,-0.0,,,
0.12908244132995605,0.1,0.0,-0.0,,,
0.1295032501220703,0.1,0.0,-0.0,,,
0.12967658042907715,0.1,0.0,-0.0,,,
0.13004422187805176,0.1,0.0,-0.0,,,
0.13021159172058105,0.1,0.0,-0.0,,,
0.13060426712036133,0.1,0.0,-0.0,,,
0.13075613975524902,0.1,0.0,-0.0,,,
0.1311180591583252,0.1,0.0,-0.0,,,
0.13129067420959473,0.1,0.0,-0.0,,,
0.13165760040283203,0.1,0.0,-0.0,,,
0.13179302215576172,0.1,0.0,-0.0,,,
0.13266706466674805,0.1,0.0,-0.0,,,
0.1329352855682373,0.1,0.0,-0.0,,,
0.14189720153808594,0.1,0.0,-0.0,,,
0.14238429069519043,0.1,0.0,-0.0,,,
0.14316010475158691,0.1,0.0,-0.0,,,
0.14347243309020996,0.1,0.0,-0.0,,,
0.1440575122833252,0.1,0.0,-0.0,,,
0.1443026065826416,0.1,0.0,-0.0,,,
0.14484095573425293,0.1,0.0,-0.0,,,
0.1450481414794922,0.1,0.0,-0.0,,,
0.1456136703491211,0.1,0.0,-0.0,,,
0.1458296775817871,0.1,0.0,-0.0,,,
0.14628267288208008,0.1,0.0,-0.0,,,
0.14646506309509277,0.1,0.0,-0.0,,,
0.14687132835388184,0.1,0.0,-0.0,,,
0.14703583717346191,0.1,0.0,-0.0,,,
0.14743876457214355,0.1,0.0,-0.0,,,
0.1475996971130371,0.1,0.0,-0.0,,,
0.14796972274780273,0.1,0.0,-0.0,,,
0.148118257522583,0.1,0.0,-0.0,,,
0.148512601852417,0.1,0.0,-0.0,,,
0.14867234230041504,0.1,0.0,-0.0,,,
0.15875887870788574,0.1,0.0,-0.0,-0.017600038159593552,-0.031631970279621106,0.015953432690968498
0.1598951816558838,0.1,0.0,-0.0,1.3521797081244202,-0.025676178826686814,0.016724424078912132
0.16067790985107422,0.1,0.0,-0.0,-0.016199021204005522,-0.03130863076532446,0.01638193355066299
0.1613447666168213,0.1,0.0,-0.0,1.3553585497942333,-0.027408635998211018,0.014874150896972109
0.1619429588317871,0.1,0.0,-0.0,-0.01497867171415365,-0.03050467905579616,0.015677645495689577
0.16252899169921875,0.1,0.0,-0.0,1.3529580192883812,-0.027294218831233577,0.016718643473413144
0.16310429573059082,0.1,0.0,-0.0,-0.014935532898354269,-0.029099599956621276,0.014620897563449812
0.1636338233947754,0.1,0.0,-0.0,1.352185646379703,-0.025254927330518904,0.011717960070451134
0.16411304473876953,0.1,0.0,-0.0,1.3521346476347365,-0.02327397662854416,0.017738922027632754
0.16460227966308594,0.1,0.0,-0.0,-0.015838558485057344,-0.028216509406172288,0.010994930738741405
0.18073201179504395,0.1,0.0,-0.0,0.009482904408556873,-0.024096444790894175,0.015761408120037953
0.18131566047668457,0.1,0.0,-0.0,0.009729267260223974,-0.023709442858631132,0.014820569207387153
0.1817646026611328,0.1,0.0,-0.0,0.010850425449389163,-0.02142523310863822,0.014772404396572724
0.18220734596252441,0.1,0.0,-0.0,0.008170045365833517,-0.02233021492435064,0.014577172820197739
0.1826305389404297,0.1,0.0,-0.0,0.005820257720181496,-0.021830863874766192,0.01331473286215418
0.20303130149841309,0.1,0.0,-0.0,0.005820257720181496,-0.021830863874766192,0.01331473286215418
0.2182631492614746,0.1,0.0,-0.0,1.3539455097393645,-0.023931415792943122,0.011159314848523956
0.21854686737060547,0.1,0.0,-0.0,1.3539455097393645,-0.023931415792943122,0.011159314848523956
0.21872878074645996,0.1,0.0,-0.0,1.3539455097393645,-0.023931415792943122,0.011159314848523956
0.21930217742919922,0.1,0.0,-0.0,-0.013770418683567051,-0.027884857406048853,0.015504460604228719
0.21949124336242676,0.1,0.0,-0.0,-0.013770418683567051,-0.027884857406048853,0.015504460604228719
0.2196512222290039,0.1,0.0,-0.0,-0.013770418683567051,-0.027884857406048853,0.015504460604228719
0.22013568878173828,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22031855583190918,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22047185897827148,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22082948684692383,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22098946571350098,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22133922576904297,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22148609161376953,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2218172550201416,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22196269035339355,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2222900390625,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2224292755126953,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2227461338043213,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2228858470916748,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22321152687072754,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22335410118103027,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22366976737976074,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.22381019592285156,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2442924976348877,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2652854919433594,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.2868056297302246,0.1,0.0,-0.0,0.005071478225561609,-0.020962360231209627,0.013206412222115084
0.29598212242126465,0.1,0.0,-0.0,1.3553572222600836,-0.02131412579739214,0.018391106035483988
0.29805421829223633,0.1,0.0,-0.0,-0.009483686102763268,-0.028056905913566275,0.017055269142420736
0.3001677989959717,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3110005855560303,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3113443851470947,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31182098388671875,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3119797706604004,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31235551834106445,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3125026226043701,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31284427642822266,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31298065185546875,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3133237361907959,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3134591579437256,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31382274627685547,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31398439407348633,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3143458366394043,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3144826889038086,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3148193359375,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31496334075927734,0.1,0.0,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.31533217430114746,0.1,0.5236,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.315479040145874,0.1,0.5236,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3359110355377197,0.1,0.5236,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.35666847229003906,0.1,0.5236,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3776552677154541,0.1,0.5236,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.3988642692565918,0.1,0.5236,-0.0,0.006315413077670672,-0.021332127567515922,0.014064256596750866
0.4096410274505615,0.1,0.5236,-0.0,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.411609411239624,0.1,0.5236,-0.0,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4120059013366699,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.41263532638549805,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4128391742706299,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4133028984069824,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.413485050201416,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.41389894485473633,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.41405725479125977,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.414459228515625,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.41461873054504395,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4149806499481201,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.41512274742126465,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4154832363128662,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.41562700271606445,0.1,0.5236,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4159524440765381,0.1,0.83776,0.83776,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.41608381271362305,0.1,0.83776,1.0472,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4164109230041504,0.1,0.83776,1.0472,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4167649745941162,0.1,0.83776,1.0472,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4173157215118408,0.1,0.83776,1.0472,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4174833297729492,0.1,0.83776,1.0472,-0.006252417910581119,-0.029022425033599718,0.015277428691835085
0.4189929962158203,0.1,0.83776,1.0472,0.006985054087651888,-0.021707353046816476,0.011173713810547449
0.4196295738220215,0.1,0.83776,1.0472,1.3614313728408787,-0.022318077160395945,0.012552871954620086
0.44050097465515137,0.1,0.83776,1.0472,1.3614313728408787,-0.022318077160395945,0.012552871954620086
0.4614737033843994,0.1,0.83776,1.0472,1.3614313728408787,-0.022318077160395945,0.012552871954620086
0.482621431350708,0.1,0.83776,1.0472,1.3614313728408787,-0.022318077160395945,0.012552871954620086
