t,x,y,yaw,alvo_x,alvo_y,dist,rumo_alvo,erro,v_alvo,cmd_v,cmd_wz,saiu_v,saiu_wz
3.1,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.15,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.2,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.251,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.3,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.35,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.4,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.45,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.501,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.55,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.6,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.651,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.7,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.751,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.8,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.854,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.901,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
3.95,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.0,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.05,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.1,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.152,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
4.201,-0.0,0.0,-0.0,nan,nan,,nan,nan,nan,0.0,0.0,0.0,0.0
