t,cmd_v,cmd_wz,v_esq,v_dir,x,y,yaw
0.021307945251464844,0.1,0.3,0.0,-0.0,0.024606774559005822,-0.025605088512004437,-0.06372151563999456
0.04247641563415527,0.1,0.3,0.0,-0.0,0.024606774559005822,-0.025605088512004437,-0.06372151563999456
0.06094002723693848,0.1,0.3,0.0,-0.0,0.017472385580960714,-0.029476097869835422,-0.05901552944822037
0.06137204170227051,0.1,0.3,0.0,-0.0,0.017472385580960714,-0.029476097869835422,-0.05901552944822037
0.061582326889038086,0.1,0.3,0.0,-0.0,0.017472385580960714,-0.029476097869835422,-0.05901552944822037
0.06233024597167969,0.1,0.3,0.0,-0.0,0.02699385375396594,-0.028496902548185567,-0.0673696056428356
0.06255483627319336,0.1,0.3,0.0,-0.0,0.02699385375396594,-0.028496902548185567,-0.0673696056428356
0.06276106834411621,0.1,0.3,0.0,-0.0,0.02699385375396594,-0.028496902548185567,-0.0673696056428356
0.06348609924316406,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06382489204406738,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06408071517944336,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06473040580749512,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06496548652648926,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06547117233276367,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06569409370422363,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06617116928100586,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06635308265686035,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.0667879581451416,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06696391105651855,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06740736961364746,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06756734848022461,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06803035736083984,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06819939613342285,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06856727600097656,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.06873416900634766,0.1,0.3,0.0,-0.0,1.3413897796814567,-0.028032858079818906,-0.07791254734667694
0.08869266510009766,0.1,0.3,0.0,-0.0,0.016187559360535262,-0.031166142032169726,-0.05879624343450049
0.08985137939453125,0.1,0.3,0.0,-0.0,0.026639786083173852,-0.028937015460713384,-0.06599405568567644
0.1034088134765625,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.12454652786254883,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.1460871696472168,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15375947952270508,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15425348281860352,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.1549549102783203,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.1552109718322754,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15576934814453125,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15599656105041504,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15648365020751953,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.1566774845123291,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15711283683776855,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15728068351745605,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.1576976776123047,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.157867431640625,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15827679634094238,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15871119499206543,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15933609008789062,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.15953469276428223,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.1599903106689453,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.16016602516174316,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.16055727005004883,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.16073012351989746,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.181410551071167,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.20279717445373535,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.2241501808166504,0.1,0.3,0.0,-0.0,1.3410079371280443,-0.026030544159398362,-0.07898190993351686
0.22612929344177246,0.1,0.3,0.0,-0.0,1.3425808695200787,-0.028249355688518125,-0.07999139464921849
0.22652554512023926,0.1,0.3,0.0,-0.0,1.3425808695200787,-0.028249355688518125,-0.07999139464921849
0.22683405876159668,0.1,0.3,0.0,-0.0,1.3425808695200787,-0.028249355688518125,-0.07999139464921849
0.227827787399292,0.1,0.3,0.0,-0.0,0.014933597451714535,-0.03058123694900763,-0.06034551492359371
0.2281341552734375,0.1,0.3,0.0,-0.0,0.014933597451714535,-0.03058123694900763,-0.06034551492359371
