t,cmd_v,cmd_wz,x,y,yaw
0.0008802413940429688,0.1,0.0,0.05649450052666301,-0.014156592597198259,-0.06239405864636684
0.021609067916870117,0.1,0.0,0.05649450052666301,-0.014156592597198259,-0.06239405864636684
0.042672157287597656,0.1,0.0,0.05649450052666301,-0.014156592597198259,-0.06239405864636684
0.06383991241455078,0.1,0.0,0.05649450052666301,-0.014156592597198259,-0.06239405864636684
0.08507108688354492,0.1,0.0,0.05649450052666301,-0.014156592597198259,-0.06239405864636684
0.08831429481506348,0.1,0.0,0.053409814574051945,-0.014741751309340167,-0.06085442949594125
0.0901787281036377,0.1,0.0,0.050783471557396605,-0.03589378300251151,-0.04866268928498147
0.0909576416015625,0.1,0.0,0.0393030691794498,-0.025999351229025514,-0.05778795814274795
0.11177587509155273,0.1,0.0,0.0393030691794498,-0.025999351229025514,-0.05778795814274795
0.1327052116394043,0.1,0.0,0.0393030691794498,-0.025999351229025514,-0.05778795814274795
0.15357017517089844,0.1,0.0,0.0393030691794498,-0.025999351229025514,-0.05778795814274795
0.17472028732299805,0.1,0.0,0.0393030691794498,-0.025999351229025514,-0.05778795814274795
0.19574952125549316,0.1,0.0,0.0393030691794498,-0.025999351229025514,-0.05778795814274795
0.21683645248413086,0.1,0.0,0.0393030691794498,-0.025999351229025514,-0.05778795814274795
0.22118759155273438,0.1,0.0,0.05245728904837846,-0.01447640651874482,-0.06086066366782492
0.22222399711608887,0.1,0.0,0.048955919829617715,-0.03756467359021333,-0.04931667269588352
0.22290635108947754,0.1,0.0,0.03645849459541029,-0.024075132845308864,-0.061616502043372275
0.24357962608337402,0.1,0.0,0.03645849459541029,-0.024075132845308864,-0.061616502043372275
0.2645580768585205,0.1,0.0,0.03645849459541029,-0.024075132845308864,-0.061616502043372275
0.2808079719543457,0.1,0.0,0.05895618618856616,-0.01415951908166603,-0.06525215492060074
0.28199005126953125,0.1,0.0,0.055282032273689954,-0.03641382038162191,-0.048333825365465814
0.283038854598999,0.1,0.0,0.03991000551701098,-0.020482248506383,-0.0645447156209125
0.3037898540496826,0.1,0.0,0.03991000551701098,-0.020482248506383,-0.0645447156209125
0.3247702121734619,0.1,0.0,0.03991000551701098,-0.020482248506383,-0.0645447156209125
0.34586596488952637,0.1,0.0,0.03991000551701098,-0.020482248506383,-0.0645447156209125
0.3668088912963867,0.1,0.0,0.03991000551701098,-0.020482248506383,-0.0645447156209125
0.38776111602783203,0.1,0.0,0.03991000551701098,-0.020482248506383,-0.0645447156209125
0.40856432914733887,0.1,0.0,0.03991000551701098,-0.020482248506383,-0.0645447156209125
0.41805028915405273,0.1,0.0,0.0783564017892964,-0.014505241317346932,-0.07269862719011916
0.4191908836364746,0.1,0.0,0.07703693718889003,-0.04134200182479479,-0.06074836566561597
0.41995763778686523,0.1,0.0,0.058010880753081646,-0.02146631255342415,-0.07128677518438171
0.4407174587249756,0.1,0.0,0.058010880753081646,-0.02146631255342415,-0.07128677518438171
0.46181225776672363,0.1,0.0,0.058010880753081646,-0.02146631255342415,-0.07128677518438171
0.4828362464904785,0.1,0.0,0.058010880753081646,-0.02146631255342415,-0.07128677518438171
0.48962831497192383,0.1,0.0,0.10438548590751154,-0.01616441047839983,-0.08544725728880569
0.4907073974609375,0.1,0.0,0.10457434800259925,-0.045051720188416154,-0.07330398684125344
0.4915134906768799,0.1,0.0,0.0831300463282347,-0.02365881823909905,-0.08468245458852637
0.5123035907745361,0.1,0.0,0.0831300463282347,-0.02365881823909905,-0.08468245458852637
0.5335783958435059,0.1,0.0,0.0831300463282347,-0.02365881823909905,-0.08468245458852637
0.5542685985565186,0.1,0.0,0.0831300463282347,-0.02365881823909905,-0.08468245458852637
