t,cmd_v,cmd_wz,x,y,yaw
0.02074122428894043,0.25,0.0,0.10299578958986726,-0.0508098817966588,0.031047811628301898
0.04117298126220703,0.25,0.0,0.10299578958986726,-0.0508098817966588,0.031047811628301898
0.06160593032836914,0.25,0.0,0.10299578958986726,-0.0508098817966588,0.031047811628301898
0.06403231620788574,0.25,0.0,0.10359402177741658,-0.05163503846946299,0.028895716398369492
0.0843803882598877,0.25,0.0,0.10359402177741658,-0.05163503846946299,0.028895716398369492
0.10492110252380371,0.25,0.0,0.10359402177741658,-0.05163503846946299,0.028895716398369492
0.1253340244293213,0.25,0.0,0.10359402177741658,-0.05163503846946299,0.028895716398369492
0.14582562446594238,0.25,0.0,0.10359402177741658,-0.05163503846946299,0.028895716398369492
0.16625046730041504,0.25,0.0,0.10359402177741658,-0.05163503846946299,0.028895716398369492
0.16675686836242676,0.25,0.0,0.10158906469352347,-0.05569935900908841,0.026699478910706596
0.18707966804504395,0.25,0.0,0.10158906469352347,-0.05569935900908841,0.026699478910706596
0.2073202133178711,0.25,0.0,0.10158906469352347,-0.05569935900908841,0.026699478910706596
0.22771883010864258,0.25,0.0,0.10158906469352347,-0.05569935900908841,0.026699478910706596
0.22920703887939453,0.25,0.0,0.10975405410071393,-0.05608789395333654,0.02415715609806348
0.24961113929748535,0.25,0.0,0.10975405410071393,-0.05608789395333654,0.02415715609806348
0.2701737880706787,0.25,0.0,0.10975405410071393,-0.05608789395333654,0.02415715609806348
0.2908592224121094,0.25,0.0,0.10975405410071393,-0.05608789395333654,0.02415715609806348
0.3114955425262451,0.25,0.0,0.10975405410071393,-0.05608789395333654,0.02415715609806348
0.33092546463012695,0.25,0.0,0.12441433103345736,-0.058522885901656316,0.014906161124907473
0.35133790969848633,0.25,0.0,0.12441433103345736,-0.058522885901656316,0.014906161124907473
0.3718385696411133,0.25,0.0,0.12441433103345736,-0.058522885901656316,0.014906161124907473
0.39235973358154297,0.25,0.0,0.12441433103345736,-0.058522885901656316,0.014906161124907473
0.4131941795349121,0.25,0.0,0.12441433103345736,-0.058522885901656316,0.014906161124907473
0.4192845821380615,0.25,0.0,0.14831971759635726,-0.060657638265647025,0.004893560443020142
0.4398038387298584,0.25,0.0,0.14831971759635726,-0.060657638265647025,0.004893560443020142
